Linux and GNU - GNU Project	Linux と GNU - GNU プロジェクト
Many computer users run a modified version of the GNU system (18k characters)  every day, without realizing it.	多くのコンピュータユーザは、それとは気づかぬまま毎日 GNU システム (18k キャラクタ) の変更されたバージョンを使っていますが、
Through a peculiar turn of events, the version of GNU which is widely used today is more often known as ``Linux'',	ひょんなことから今日広く使われている GNU のあるバージョンは「Linux」としてより広く知られています。
and many users are not aware of the extent of its connection with the GNU Project.	そして、多くのユーザは GNU プロジェクト がどれほど深く Linux とつながっているか気づいていません。
There really is a Linux,	たしかに、Linux というものは存在します。
Linux is the kernel:	それはカーネルであり、人びとはそれを使っているのです。
The kernel is an essential part of an operating system, but useless by itself;	しかし、カーネルをそのものだけで使うわけにはいきません。
it can only function in the context of a complete operating system.	カーネルはオペレーティングシステム全体の一部として初めて使えるようになります。
Linux is normally used in a combination with the GNU operating system:	Linux は通常 GNU オペレーティングシステムと組み合わせて使われます。
the whole system is basically GNU, with Linux functioning as its kernel.	システム自体は基本的には GNU で、カーネルとして Linux が機能しているのです。
Many users are not fully aware of the distinction between the kernel, which is Linux, and the whole system, which they also call ``Linux''.	多くのユーザは、カーネルとしての Linux と、彼らがこちらもまた「Linux」と呼んでいるところのシステム全体との区別がよく分かっていないのです。
The ambiguous use of the name doesn't promote understanding.	名称のあいまいな使い方は理解を促進しません。
Programmers generally know that Linux is a kernel.	ふつう、プログラマたちは Linux はカーネルの一つであると分かっているのですが、
But since they have generally heard the whole system called ``Linux'' as well, they often envisage a history that would justify naming the whole system after the kernel.	彼らはシステム全体もまた「Linux」と呼ばれていることをよく聞いているので、その名称にふさわしい歴史を思い浮かべてしまうことが多いのです。
For example, many believe that once Linus Torvalds finished writing Linux, the kernel, its users looked around for other free software to go with it, and found that (for no particular reason) most everything necessary to make a Unix-like system was already available.	例えば彼らの多くは、 Linus Torvalds がカーネルを書き上げたのち、彼の友人たちが他のフリーソフトウェアを探し回ってみたところ、どういうわけか Unix ライクなシステムを作るのに必要なものはすでにほぼすべて揃っていた、というようなことを信じています。
