The arrest of Arsene Lupin	アルセーヌ・ルパンの逮捕
THE strangest of journeys!	とても不思議な旅行だった！
And yet it had begun so well!	あんなにいい感じで始まったのにな！
I, for my part, had never made a voyage that started under better auspices.	あれより良い状況で始まった旅行はなかったよ。
The Province is a swift and comfortable transatlantic liner, commanded by the most genial of men.	アルスター号はスピードが速くて快適な大西洋横断定期船だったし、船員も愛想が良かった。
The company gathered on board was of a very select character.	船には特に選ばれた人たちだけが乗っていた。
Acquaintances were formed and amusements organized.	新たな交友関係ができたし、楽しい遊びも計画された。
We had the delightful feeling of being separated from the rest of the world,	ぼくたちは、ぼくたちだけの世界にいるみたいな心地よい感覚を共有していた。
reduced to our own devices, as though upon an unknown island, and obliged, therefore, to make friends with one another.	まるで未知の島に取り残されたみたいな感覚があって、それ故に互いに親しくならなければいけないように感じたんだ。
And we grew more and more intimate. . . .	だから、みんなすごく親しくなってしまったんだ…。
Have you ever reflected on the element of originality and surprise contained in this grouping of a number of people who, but a day earlier, had never seen one another, and who are now, for a few days, destined to live together in the closest contact, between the infinite sky and the boundless sea, defying the fury of the ocean, the alarming onslaught of the waves, the malice of the winds, and the distressing calmness of the slumbering waters ?	君はこういうふうに考えないかい？驚くべき風変わりなことがここにはあるんだ。今言ったように、それまで互いに知らなかった人たちが、何日間も、無限に続く空と果てしない海との間にある船という閉じた空間で一緒に過ごす運命になって、海の猛威に挑み、波が絶え間なく襲いかかってきたり、転覆するような風や眠っているように不気味に凪いでいる海面の驚異に警告を発したりするんだよ！
Life itself, in fact, with its storms and its greatnesses, its monotony and its variety, becomes a sort of tragic epitome;	そういった生活にはね、嵐も、偉大さも、単調さも複雑さもあるのだからして、一種の悲劇的な主題になりうるんだ。
and that, perhaps, is why we enjoy with a fevered haste and an intensified delight this short voyage of which we see the end.	たぶん、それだからこそ、終わりが見える短期間の船旅を、むりやりにでも非常に熱心に楽しむんだろうね。
But, of late years, a thing has happened	だけど、近年になって事情が変わった。
that adds curiously to the excitement of the passage.	船旅の興奮に新たな要因が加わったんだ。
The little floating island is no longer entirely separated from the world from which we believed ourselves cut adrift.	かっての孤島は、もうぼくたちが思っているような「世界から切り離された空間」ではないんだよ。
One link remains, and is at intervals tied and at intervals untied in mid-ocean.	大海原の真ん中ではときどき切れるんだけど、たまに一本の糸がやってくるんだ。
The wireless telegraph!	無線電信だよ！
As who should say a summons from another world, whence we receive news in the most mysterious fashion!	まるで別世界から召喚を受けるように、今言った不思議な空間にニュースを持ってくるんだ。
The imagination no longer has the resource of picturing wires along which the invisible message glides:	もうメッセージを伝える線を想像することはできない。
the mystery is even more insoluble, more poetic;	神秘は前よりわかりにくくなり、いっそう詩的になってきた。
and we must have recourse to the winds to explain the new miracle.	ぼくたちは、その新しい奇跡を解くのに、風の力を借りなければいけないんだよ。
And so, from the start, we felt that we were being followed, escorted, even preceded by that distant voice	そもそもの始まりから、なにかにあとをつけられているように感じていたし、もうそいつに追いつかれているかも、とか、遠くからささやいてきたかも、という感じさえしていた。
which, from time to time, whispered to one of us a few words from the continent which we had quitted.	ときどき、ぼくたちが後にした大陸から、誰かが乗客のひとりになにかささやいているみたいだったよ。
Two of my friends spoke to me.	友だちが二人、ぼくに話しかけてきた。
Ten others, twenty others sent to all of us, through space, their sad or cheery greetings.	ほかに十人から二十人くらいが、良い悪いにかかわらず、ぼくたちに声を送ってきていた。
Now, on the stormy afternoon of the second day,	そんなある日のこと、航海の二日目に嵐にあったんだ。
when we were five hundred miles from the French coast,	フランスの海岸から五百マイルくらいの地点だった。
the wireless telegraph sent us a message of the following tenor:	無線電信がぼくたちにこんなメッセージを送ってきたんだ。
"Arsene Lupin on board your ship, first class, fair hair, wound on right forearm, travelling alone under alias R--"	アルセーヌルパンキセンチュウニアリ　イットウ　キンパツ　ミギウデニキズ　ヒトリタビ　ナマエヲＲ…
At that exact moment, a violent thunderclap burst in the dark sky.	ここまでメッセージが来たときに、暗い空に激しい雷鳴が響き渡った。
The electric waves were interrupted.	電信はここで終わってしまったんだ。
The rest of the message failed to reach us.	残りはついに届かなかった。
We knew only the initial of the name under which Arsene Lupin was concealing his identity.	ぼくたちには、アルセーヌ・ルパンが身を隠すためにつかう偽名のイニシャルだけしか分からなかったんだ。
Had the news been any other, I have no doubt but that the secret would have been scrupulously kept by the telegraph-clerks and the captain and his officers.	ほかの種類のニュースだったら、電信を受けた船員と船長とで、良心的に秘密を守ることができただろう。
But there are certain events that appear to overcome the strictest discretion.	だけど、今あげたニュースは間違いなく、どんなに慎重に隠そうとしても広まってしまうものだったんだね。
Before the day was past, though no one could have told how the rumor had got about, we all knew that the famous Arsene Lupin was hidden in our midst.	どこから広まったのかは分からないんだけれども、あまり日がたたないうちに、アルセーヌ・ルパンが船にひそんでいることが明らかになってしまった。
Arsene Lupin in our midst!	乗客の中にルパンがいるんだ！
The mysterious housebreaker whose exploits had been related in all the newspapers for months!	もう何ヶ月も、あらゆる新聞にその名が挙がっている、あの不思議な怪盗が！
The baffling individual with whom Ganimard, our greatest detective, had entered upon that duel to the death of which the details were being unfolded in so picturesque a fashion!	フランスの誇る名探偵であるガニマールが、その詳細が絵巻になるような命がけの闘いを挑んだ、あのルパンが！
Arsene Lupin, the fastidious gentleman who confines his operations to country-houses and fashionable drawing-rooms,	アルセーヌ・ルパンは、自らの好みに従って、田舎の邸宅と上流社会の客間でしか仕事をしない紳士なんだ。
and who one night, after breaking in at Baron Schormann's, had gone away empty-handed, leaving his visiting card:	ある夜など、ショルマン男爵家に忍びこんだ後、何もとらずに自分の名刺を置いていったんだよ。
Arsene Lupin	アルセーヌ・ルパン
Gentleman	怪盗紳士
with these words added in pencil:	そこには鉛筆でこう書いてあった。
"Will return when your things are genuine."	「あなたの持ち物が本物になったときに、また参上いたします。」
Arsene Lupin, the man with a thousand disguises,	アルセーヌ・ルパンは、千の顔を持つ男なんだ。
by turns chauffeur, opera-singer, book-maker, gilded youth, young man, old man, Marseillese bagman, Russian doctor, Spanish bull-fighter!	運転手・オペラ歌手・賭元・金持ちの子息・青年・老人・マルセイユの外交官・ロシアの医者・スペインの闘牛士と、なんにでも変装できるんだ！
Picture the situation:	状況はこうだ。
Arsene Lupin moving about within the comparatively restricted compass of a transatlantic liner, nay -- more, within the small space reserved to the first-class passengers -- where one might come across him at any moment, in the saloon, the drawing-room, the smoking-room!	アルセーヌ・ルパンが、大西洋横断定期船という比較的限定された範囲内で動きまわっていて――一等船客という集団の中、と言い換えてもいいね――いつ何時、サロンや客間や喫煙室といった場所ですれ違うかもしれないんだ！
Why, Arsene Lupin might be that gentleman over there . . . or this one close by . . . or my neighbor at table . . . or the passenger sharing my stateroom . . .	アルセーヌ・ルパンはあそこにいる紳士かも……いや、すぐ近くのこの紳士かも……テーブルでとなりにいるあの人か……大広間にいるあの人かもしれない……。
"And just think, this is going to last for five days!"	「考えてもみて、こんな状態があと五日間続くのよ！」
cried Miss Nellie Underdown, on the following day.	次の日にはネリー・アンダーダウン嬢に泣きつかれたよ。
"Why, it's awful!	「何てひどいことでしょう！
I do hope they'll, catch him!"	彼にはぜひ捕まっていただきたいですわ。」
And, turning to me,	そして、ぼくに向かってこう言ったのさ。
" Do say, Monsieur d'Andrezy,	「ねえ教えて、ダンドレジーさん。
you're such friends with the captain,	あなたは船長と仲がよろしかったですわね。
haven't you heard anything?"	なにかお聞きになりまして？」
I wished that I had, if only to please Nellie Underdown.	ネリー・アンダーダウン嬢を喜ばせるために、なにか言ってあげたかったね。
She was one of those magnificent creatures that become the cynosure of all eyes wherever they may be.	だって、彼女はとてもすばらしくて、どこにいても注目の的になる人だったからね。
Their beauty is as dazzling as their fortune.	その美しさは宝石のように輝いていた。
A court of fervent enthusiasts follow in their train.	熱心な崇拝者の列が彼女の後ろにあったよ。
She had been brought up in Paris by her French mother,	ネリーはフランス人の母親によってパリで育てられた。
and was now on her way to Chicago to join her father, Underdown, the American millionaire.	そのときは、彼女の父で、アメリカの大富豪であるアンダーダウン氏の元へ行くためにシカゴへ向かう途中だった。
A friend, Lady Gerland, was chaperoning her on the voyage.	ジェラード嬢という友だちが彼女に付き添っていたよ。
I had paid her some slight attentions from the first.	ぼくは航海のはじめから彼女に興味がなくはなかった。
But, almost immediately, in the rapid intimacy of ocean travel, her charms had gained upon me,	だけどね、航海中に急速に仲が進展して、彼女の魅力にぼくはまいってしまった。
and my emotions now exceeded those of a mere flirtation whenever her great dark eyes met mine.	ネリーの、大きく見開いた黒い目に見つめられると、いつもぼくは単なる気まぐれというには小さすぎる高ぶりを覚えたものだ。
She, on her side, received my devotion with a certain favor.	彼女の方でも、ぼくの献身に特別な好意を抱いてくれたんだ。
She condescended to laugh at my jokes and to be interested in my stories.	ぼくの話には笑ってくれるし、興味を持ってぼくの話を聞いてくれた。
A vague sympathy seemed to respond to the assiduity which I displayed.	ぼくが時折見せる献身に対して、ばくぜんと同情を示してくれたりもしたんだ。
One rival alone, perhaps, could have given me cause for anxiety:	ひとりライバルがいてね、そいつが心配の種だった。
a rather good-looking fellow, well-dressed and reserved in manner,	確かにそいつは美男子だったし、上品な身なりをしていて、マナーも完璧だった。
show silent humor seemed at times to attract her more than did my somewhat "butterfly" Parisian ways.	そいつが静かに話をしだすと、このぼくが示す「あけすけな」パリジャン気質よりも彼女の気をひくらしかった。
He happened to form one of the group of admirers surrounding Miss Underdown at the moment when she spoke to me.	彼もまたアンダーダウン嬢を取り囲む崇拝者のひとりだった。
We were on deck, comfortably installed in our chairs.	ぼくたちはデッキにいて、そこの椅子に気持ちよく座っていた。
The storm of the day before had cleared the sky.	前の日の嵐で、空はすっかり晴れわたっていた。
It was a delightful afternoon.	楽しい午後だったねえ。
"I have heard nothing very definite,"	「確かなことは何も聞いていません。」
I replied.	ぼくはそう答えた。
"But why should we not be able to conduct our own inquiry	「しかし、ぼくたち自身で調査ができないか、そう思っています。
just as well as old Ganimard, Lupin's personal enemy, might do?"	ちょうど、ルパンの個人的な敵だった老ガニマールがやったみたいにうまくできないものでしょうか。」
"I say, you're going very fast!"	「まあ、気が早いこと。」
"Why?	「なぜでしょう？
Is the problem so complicated?"	難しいとお考えなのですか？」
"Most complicated."	「とても難しいですわ。」
"You only say that because you forget the clews	「あなたはひとつ忘れておられます。
which we possess towards its solution."	ぼくたちはすでに解答へ至る道しるべを持っているのです。」
"Which clews?"	「どういうことですの？」
"First, Lupin is travelling under the name of Monsieur R-----."	「第一に、ルパンはＲで始まる名前で旅行している。」
"That's rather vague."	「それはかなりあいまいですわね。」
"Secondly, he's travelling alone."	「第二に、彼はひとりで旅行している。」
"If you consider that a sufficient detail!"	「そんなことがなんになるのでしょう！」
"Thirdly, he is fair."	「第三に、彼は金髪である。」
"Well, then?"	「そうですわね。それで？」
"Then we need only consult the list of first-class passengers and proceed by elimination."	「以上から、ぼくたちは乗船名簿を調べて、あてはまらない人をチェックすればいいのです。」
I had the list in my pocket.	ぼくはポケットに名簿を持っていた。
I took it out and glanced through it:	それを取り出して、目を通していった。
"To begin with, I see that there are only thirteen persons whose names begin with an R."	「まず始めに、名前がＲで始まる人が十三人しかいないことがすでに分かっています。」
"Only thirteen?"	「たった13人ですか？」
"In the first class, yes.	「一等船室にはそれだけです。
Of these thirteen R's, as you can ascertain for yourself,	このことについては、あなたご自身で確かめることができます。
Of these thirteen R's, as you can ascertain for yourself,	うち九人は妻とか子ども、従者を連れています。
That leaves four solitary passengers:	そのため、四人だけが残ります。
the Marquis de Raverdan . . ."	ド・ラベルタン侯爵―。」
"Secretary of legation,"	「公使の秘書ですわ。」
interrupted Miss Underdown.	アンダーダウン嬢がさえぎった。
"I know him."	「私、あの人を存じ上げてます。」
"Major Rawson . . . "	「ローソン中佐……。」
"That's my uncle,"	「私のおじです。」
said someone.	誰かが言った。
"Signor Rivolta . . . "	「リボルタさん……。」
"Here!"	「私だ。」
