Most terribly cold it was;	ひどく寒い日でした。
it snowed, and was nearly quite dark, and evening--the last evening of the year.	雪も降っており、すっかり暗くなり、もう夜 ―― 今年さいごの夜でした。
In this cold and darkness there went along the street a poor little girl,	この寒さと暗闇の中、一人のあわれな少女が道を歩いておりました。
bareheaded, and with naked feet.	頭に何もかぶらず、足に何もはいていません。
When she left home she had slippers on,	家を出るときには靴をはいていました。
it is true;	ええ、確かにはいていたんです。
but what was the good of that?	でも、靴は何の役にも立ちませんでした。
They were very large slippers, which her mother had hitherto worn;	それはとても大きな靴で、 これまで少女のお母さんがはいていたものでした。
so large were they;	たいそう大きい靴でした。
and the poor little thing lost them as she scuffled away across the street,	かわいそうに、道を大急ぎで渡ったとき、少女はその靴をなくしてしまいました。
because of two carriages that rolled by dreadfully fast.	二台の馬車が猛スピードで走ってきたからです。
One slipper was nowhere to be found;	片方の靴はどこにも見つかりませんでした。
the other had been laid hold of by an urchin, and off he ran with it;	もう片方は浮浪児が見つけ、走ってそれを持っていってしまいました。
he thought it would do capitally for a cradle when he some day or other should have children himself.	その浮浪児は、いつか自分に子どもができたらゆりかごにできると思ったのです。
So the little maiden walked on with her tiny naked feet,	それで少女は小さな裸の足で歩いていきました。
that were quite red and blue from cold.	両足は冷たさのためとても赤く、また青くなっておりました。
She carried a quantity of matches in an old apron, and she held a bundle of them in her hand.	少女は古いエプロンの中にたくさんのマッチを入れ、 手に一たば持っていました。
Nobody had bought anything of her the whole livelong day;	日がな一日、誰も少女から何も買いませんでした。
no one had given her a single farthing.	わずか一円だって少女にあげる者はおりませんでした。
She crept along trembling with cold and hunger	寒さと空腹で震えながら、 少女は歩き回りました
--a very picture of sorrow,	――　まさに悲惨を絵に描いたようです。
the poor little thing!	かわいそうな子！
The flakes of snow covered her long fair hair,	ひらひらと舞い降りる雪が少女の長くて金色の髪を覆いました。
which fell in beautiful curls around her neck;	その髪は首のまわりに美しくカールして下がっています。
but of that, of course, she never once now thought.	でも、もちろん、少女はそんなことなんか考えていません。
From all the windows the candles were gleaming, and it smelt so deliciously of roast goose,	どの窓からも蝋燭の輝きが広がり、 鵞鳥を焼いているおいしそうな香りがしました。
for you know it was New Year's Eve;	ご存知のように、今日は大みそかです。
yes, of that she thought.	そうです、少女はそのことを考えていたのです。
In a corner formed by two houses,	二つの家が街の一角をなしていました。
of which one advanced more than the other,	そのうち片方が前にせり出しています。
she seated herself down and cowered together.	少女はそこに座って小さくなりました。
Her little feet she had drawn close up to her, but she grew colder and colder,	引き寄せた少女の小さな足は体にぴったりくっつきましたが、 少女はどんどん寒くなってきました。
and to go home she did not venture,	けれど、家に帰るなんて冒険はできません。
for she had not sold any matches and could not bring a farthing of money:	マッチはまったく売れていないし、 たったの一円も持って帰れないからです。
from her father she would certainly get blows,	このまま帰ったら、きっとお父さんにぶたれてしまいます。
and at home it was cold too,	それに家だって寒いんです。
for above her she had only the roof, through which the wind whistled, even though the largest cracks were stopped up with straw and rags.	大きなひび割れだけは、わらとぼろ切れでふさいでいますが、 上にあるものは風が音をたてて吹き込む天井だけなのですから。
Her little hands were almost numbed with cold.	少女の小さな両手は冷たさのためにもうかじかんでおりました。
Oh!	ああ！
a match might afford her a world of comfort, if she only dared take a single one out of the bundle, draw it against the wall, and warm her fingers by it.	たばの中からマッチを取り出して、 壁にこすり付けて、指をあたためれば、 それがたった一本のマッチでも、少女は ほっとできるでしょう。
She drew one out.	少女は一本取り出しました。
"Rischt!"	≪シュッ！≫
how it blazed,	何という輝きでしょう。
how it burnt!	何とよく燃えることでしょう。
It was a warm, bright flame, like a candle, as she held her hands over it:	温かく、輝く炎で、 上に手をかざすとまるで蝋燭のようでした。
it was a wonderful light.	すばらしい光です。
It seemed really to the little maiden as though she were sitting before a large iron stove,	小さな少女には、 まるで大きな鉄のストーブの前に実際に座っているようでした。
with burnished brass feet and a brass ornament at top.	そのストーブにはぴかぴかした真鍮の足があり、てっぺんには真鍮の飾りがついていました。
The fire burned with such blessed influence;	その炎は、まわりに祝福を与えるように燃えました。
it warmed so delightfully.	いっぱいの喜びで満たすように、炎はまわりをあたためます。
The little girl had already stretched out her feet to warm them too;	少女は足ものばして、あたたまろうとします。
but--the small flame went out, the stove vanished:	しかし、―― 小さな炎は消え、ストーブも消えうせました。
she had only the remains of the burnt-out match in her hand.	残ったのは、手の中の燃え尽きたマッチだけでした。
She rubbed another against the wall:	少女はもう一本壁にこすりました。
it burned brightly, and where the light fell on the wall, there the wall became transparent like a veil, so that she could see into the room.	マッチは明るく燃え、その明かりが壁にあたったところはヴェールのように透け、 部屋の中が見えました。
On the table was spread a snow-white tablecloth;	テーブルの上には雪のように白いテーブルクロスが広げられ、
upon it was a splendid porcelain service, and the roast goose was steaming famously with its stuffing of apple and dried plums.	その上には豪華な磁器が揃えてあり、焼かれた鵞鳥はおいしそうな湯気を上げ、 その中にはリンゴと乾しプラムが詰められていました。
And what was still more capital to behold was, the goose hopped down from the dish, reeled about on the floor with knife and fork in its breast, till it came up to the poor little girl;	さらに驚いたことには、 鵞鳥は皿の上からぴょんと飛び降りて、胸にナイフとフォークを刺したまま床の上をよろよろと歩いて、 あわれな少女のところまでやってきたのです。
when--the match went out and nothing but the thick, cold, damp wall was left behind.	ちょうどそのとき――マッチが消え、厚く、冷たく、じめじめした壁だけが残りました。
She lighted another match.	少女はもう一本マッチをともしました。
Now there she was sitting under the most magnificent Christmas tree:	すると、少女は最高に大きなクリスマスツリーの下に座っていました。
it was still larger, and more decorated than the one which she had seen through the glass door in the rich merchant's house.	そのツリーは、金持ち商人の家のガラス戸を通して見たことのあるものよりもずっと大きく、 もっとたくさん飾り付けがしてありました。
Thousands of lights were burning on the green branches, and gaily-colored pictures, such as she had seen in the shop-windows, looked down upon her.	何千もの光が緑の枝の上で燃え、 店のショーウインドウの中で見たことがあるような楽しい色合いの絵が少女を見おろしています。
The little maiden stretched out her hands towards them	少女は両手をそちらへのばして
when--the match went out.	――そのとき、マッチが消えました。
The lights of the Christmas tree rose higher and higher, she saw them now as stars in heaven;	クリスマスツリーの光は高く高く上っていき、もう天国の星々のように見えました。
one fell down and formed a long trail of fire.	そのうちの一つが流れ落ち、長い炎の尾となりました。
"Someone is just dead!"	「いま、誰かが亡くなったんだわ！」
said the little girl;	と少女は言いました。
for her old grandmother,	というのは、おばあさん
the only person who had loved her, and who was now no more,	――少女を愛したことのあるたった一人の人、いまはもう亡きおばあさん
had told her,	――がこんなことを言ったからです。
that when a star falls, a soul ascends to God.	星が一つ、流れ落ちるとき、魂が一つ、神さまのところへと引き上げられるのよ、と。
She drew another match against the wall:	マッチをもう一本、壁でこすりました。
it was again light, and in the lustre there stood the old grandmother,	すると再び明るくなり、その光輝の中におばあさんが立っていました。
so bright and radiant, so mild, and with such an expression of love.	とても明るく光を放ち、とても柔和で、愛にあふれた表情をしていました。
"Grandmother!"	「おばあちゃん！」
cried the little one.	と小さな子は大きな声をあげました。
"Oh, take me with you!	「お願い、わたしを連れてって！
You go away when the match burns out;	マッチが燃えつきたら、おばあちゃんも行ってしまう。
you vanish like the warm stove, like the delicious roast goose, and like the magnificent Christmas tree!"	あったかいストーブみたいに、 おいしそうな鵞鳥みたいに、 それから、あの大きなクリスマスツリーみたいに、 おばあちゃんも消えてしまう！」
And she rubbed the whole bundle of matches quickly against the wall,	少女は急いで、一たばのマッチをありったけ壁にこすりつけました。
for she wanted to be quite sure of keeping her grandmother near her.	おばあさんに、しっかりそばにいてほしかったからです。
And the matches gave such a brilliant light that it was brighter than at noon-day:	マッチのたばはとてもまばゆい光を放ち、昼の光よりも明るいほどです。
never formerly had the grandmother been so beautiful and so tall.	このときほどおばあさんが美しく、大きく見えたことはありません。
She took the little maiden, on her arm,	おばあさんは、少女をその腕の中に抱きました。
and both flew in brightness and in joy so high, so very high, and then above was neither cold, nor hunger, nor anxiety	二人は、輝く光と喜びに包まれて、高く、とても高く飛び、 やがて、もはや寒くもなく、空腹もなく、心配もないところへ
--they were with God.	――神さまのみもとにいたのです。
But in the corner, at the cold hour of dawn, sat the poor girl,	けれど、あの街角には、夜明けの冷え込むころ、かわいそうな少女が座っていました。
with rosy cheeks and with a smiling mouth, leaning against the wall	薔薇のように頬を赤くし、口もとには微笑みを浮かべ、 壁にもたれて
--frozen to death on the last evening of the old year.	――古い一年の最後の夜に凍え死んでいたのです。
Stiff and stark sat the child there with her matches,	その子は売り物のマッチをたくさん持ち、体を硬直させてそこに座っておりました。
of which one bundle had been burnt.	マッチのうちの一たばは燃えつきていました。
"She wanted to warm herself,"	「あったかくしようと思ったんだなあ」
people said.	と人々は言いました。
No one had the slightest suspicion of what beautiful things she had seen;	少女がどんなに美しいものを見たのかを考える人は、 誰一人いませんでした。
no one even dreamed of the splendor in which, with her grandmother she had entered on the joys of a new year.	少女が、新しい年の喜びに満ち、おばあさんといっしょにすばらしいところへ入っていったと想像する人は、 誰一人いなかったのです。
