THE MERMAID DEN LILLE HAVFRUE	人魚のひいさま
Hans Christian Andersen	ハンス・クリスティアン・アンデルセン
Far out at sea the water is as blue as the bluest cornflower, and as clear as the clearest crystal;	はるか、沖合へでてみますと、海の水は、およそうつくしいやぐるまぎくの花びらのように青くて、あくまですきとおったガラスのように澄みきっています。
but it is very deep, too deep for any cable to fathom,	でも、そこは、ふかいのなんのといって、どんなにながく綱（つな）をおろしても底にとどかないというくらいふかいのです。
and if many steeples were piled on the top of one another they would not reach from the bed of the sea to the surface of the water.	お寺の塔を、いったい、いくつかさねて積み上げたら、水の上までとどくというのでしょうか。
It is down there that the Mermen live.	そういうふかい海の底に、海のおとめたち――人魚のなかまは住んでいるのです。
Now don't imagine that there are only bare white sands at the bottom;	ところで、海の底なんて、ただ、からからな砂地があるだけだろうと、そうきめてしまってはいけません。
oh no! the most wonderful trees and plants grow there, with such flexible stalks and leaves, that at the slightest motion of the water they move just as if they were alive.	どうして、そこには、世にもめずらしい木や草がたくさんしげっていて、そのじくや葉のしなやかなことといったら、ほんのかすかに水がゆらいだのにも、いっしょにゆれて、まるで生きものがうごいているようです。
All the fish, big and little, glide among the branches just as, up here, birds glide through the air.	ちいさいのも、おおきいのも、いろんなおさかなが、その枝と枝とのなかをつうい、つういとくぐりぬけて行くところは、地の上で、鳥たちが、空をとびまわるのとかわりはありません。
The palace of the Merman King lies in the very deepest part;	この海の底をずっと底まで行ったところに、海の人魚の王さまが御殿をかまえています。
its walls are of coral and the long pointed windows of the clearest amber,	その御殿の壁は、さんごでできていて、ほそながく、さきのとがった窓は、すきとおったこはくの窓でした。
but the roof is made of mussel shells which open and shut with the lapping of the water.	屋根は貝がらでふけていて、海の水がさしひきするにつれて、貝のふたは、ひとりでにあいたりしまったりします。
This has a lovely effect,	これはなかなかうつくしいみものでした。
for there are gleaming pearls in every shell, any one of which would be the pride of a queen's crown.	なぜといって、一枚一枚の貝がらには、それひとつでも女王さまのかんむりのりっぱなそうしょくになるような、大きな真珠（しんじゅ）がはめてあるのでしたからね。
The Merman King had been for many years a widower, but his old mother kept house for him;	ところで、この御殿のあるじの王さまは、もうなが年のやもめぐらしで、そのかわり、年とったおかあさまが、いっさい、うちのことを引きうけておいでになりました。
she was a clever woman, but so proud of her noble birth that she wore twelve oysters on her tail, while the other grandees were only allowed six.	このおかあさまは、りこうな方でしたけれど、いちだんたかい身分をほこりたさに、しっぽにつける飾りのかきをごじぶんだけは十二もつけて、そのほかはどんな家柄のものでも、六つから上つけることをおゆるしになりませんでした。
Otherwise she was worthy of all praise,	――そんなことをべつにすれば、たんとほめられてよい方でした。
especially because she was so fond of the little mermaid princesses, her grandchildren.	とりわけ、お孫さんにあたるひいさまたちのおせわをよくなさいました。
They were six beautiful children, but the youngest was the prettiest of all; her skin was as soft and delicate as a roseleaf, her eyes as blue as the deepest sea,	それはみんなで六人、そろってきれいなひいさんたちでしたが、なかでもいちばん下のひいさまが、たれよりもきりょうよしで、はだはばらの花びらのようにすきとおって、きめがこまかく、目はふかいふかい海のようにまっ青でした。
but like all the others she had no feet, and instead of legs she had a fish's tail.	ただほかのひいさまたちとおなじように、足というものがなくて、そこがおさかなの尾になっていました。
All the livelong day they used to play in the palace in the great halls,	ながいまる一日、ひいさまたちは、海の底の御殿の、大広間であそびました。
where living flowers grew out of the walls.	そとの壁からは、生きた花が咲きだしていました。
When the great amber windows were thrown open the fish swam in,	大きなこはくの窓をあけると、おさかながつういとはいって来ます。
just as the swallows fly into our rooms when we open the windows,	それはわたしたちが窓をあけると、つばめがとび込んでくるのに似ています。
but the fish swam right up to the little princesses, ate out of their hands, and allowed themselves to be patted.	ただ、おさかなは、すぐと、ひいさまたちの所まで泳いで行って、その手からえさをとってたべて、なでいたわってもらいました。
Outside the palace was a large garden, with fiery red and deep blue trees,	御殿のそとには、大きな花園があって、はでにまっ赤な木や、くらいあい色の木がしげっていました。
