IN MIDSUMMER DAYS	真夏の夢
August Strindberg	ストリンドベルヒ
In Midsummer days when in the countries of the North the earth is a bride, when the ground is full of gladness, when the brooks are still running, the flowers in the meadows still untouched by the scythe, and all the birds singing,	北の国も真夏のころは花よめのようなよそおいをこらして、大地は喜びに満ち、小川は走り、牧場の花はまっすぐに延び、小鳥は歌いさえずります。
a dove flew out of the wood and sat down before the cottage in which the ninety-year-old granny lay in her bed.	その時一羽（わ）の鳩（はと）が森のおくから飛んで来て、寝（ね）ついたなりで日をくらす九十に余るおばあさんの家の窓（まど）近く羽を休めました。
The old woman had been bedridden for twenty years, but she could see through her window everything that happened in the farmyard which was managed by her two sons.	物の二十年も臥（ふ）せったなりのこのおばあさんは、二人（ふたり）のむすこが耕すささやかな畑地（はたち）のほかに、窓越（まどご）しに見るものはありませなんだが、
But she saw the world and the people in her own peculiar manner, for time and the weather had painted her window-panes with all the colours of the rainbow;	おばあさんの窓のガラスは、にじのようなさまざまな色のをはめてあったから、そこからのぞく人間も世間も、普通のものとは異なっていました。
she need but turn her head a little and things appeared successively red, yellow, green, blue, and violet.	まくらの上でちょっと頭さえ動かせば、目に見える景色（けしき）が赤、黄、緑、青、鳩羽（はとば）というように変わりました。
If she happened to look out on a cold winter's day when the trees were covered with hoar-frost and the white foliage looked as if it were made of silver, she had but to turn her head a little on the pillow, and all the trees were green;	冬になって木々のこずえが、銀色の葉でも連ねたように霜（しも）で包まれますと、おばあさんはまくらの上で、ちょっと身動きしたばかりでそれを緑にしました。
it was summer-time, the ploughed fields were yellow, and the sky looked blue even if a moment before it had been ever so grey.	実際は灰色（はいいろ）でも野は緑に空は蒼（あお）く、世の中はもう夏のとおりでした。
And therefore the old granny imagined that she could work magic, and was never bored.	おばあさんはこんなふうで、魔術（まじゅつ）でも使える気でいるとたいくつをしませんでした。
But the magical window-panes possessed another quality;	この窓ガラスにはもう一つ変わった所があって、
they bulged a little and consequently they magnified or reduced every object which came into their field of vision.	ガラスのきざみ具合で見るものを大きくも小さくもする事ができるようになっておりました。
Whenever, therefore, her grown-up son came home in a bad temper and scolded everybody, granny had but to wish him to be a good little boy again, and straightway she saw him quite small.	だからもし大きなむすこが腹（はら）をたてて帰って来て、庭先でどなりでもするような事があると、おばあさんは以前のような、小さい、言う事をきく子どもにしようと思っただけで、即座（そくざ）にちっぽけに見る事もできましたし、
Or, when she watched her grandchildren playing in the yard, and thought of their future--one, two, three--she changed her position ever so slightly, and they became grown-up men and women, as tall as giants.	孫たちがよちよち歩きで庭に出て来るのを見るにつけ、そのおい先を考えると、ワン、ツー、スリー、拡大のガラスからのぞきさえすれば、見るまに背（せ）の高い、育ち上がったみごとな大男になってしまいました。
Ail during the summer the window stood open,	こんなおもしろい窓ではありますが、夏が来るとおばあさんはその窓をあけ放させました。
