There was a law in the city of Athens	昔々、アテネという都市に１つの法律が施行されていた。
which gave to its citizens the power of  compelling their daughters to marry whomsoever they pleased;	その法律によれば、その都市の市民は、娘を自分が決めた人と結婚させることができる権限を持っていた。
for upon a daughter's refusing to marry the man her father had chosen to be her husband, the father was empowered by this law to cause her to be put to death;	もしも娘があくまでも、父が娘むこに選んだ男との結婚を拒んだときには、父は法律に従って、娘を死刑に処する権限を持っていた。
but as fathers do not often desire the death of their own daughters, even though they do happen to prove a little refractory, this law was seldom or never put in execution,	しかし、父というものは、自分の娘の死など望まないのが常なので、娘が少しくらい意地をはったところで、この法律はめったに実行されることはなかった。
though perhaps the young ladies of that city were not unfrequently threatened by their parents with the terrors of it.	もちろん、その都市の娘たちは、両親たちの脅しによって、この法律の恐ろしさを知っていただろうということは想像に難くない。
There was one instance, however, of an old man, whose name was Egeus, who actually did come before Theseus (at that time the reigning Duke of Athens), to complain	ところである時、イージアスという老人がこの都市にいたのであるが、この人がシーシアス（当時アテネを治めていた君主）の前に進み出て、実際に娘のハーミアを死刑にしていただきたいと訴えでたのである。
that his daughter whom he had commanded to marry Demetrius, a young man of a noble Athenian family, refused to obey him, because she loved another young Athenian, named Lysander.	イージアスは娘に、アテネ在住の貴族の出であるディミートリアスという青年と結婚するように命じたのであるが、娘は、ライサンダーというアテネ人を愛していたために、父に従うことを拒否したのだ。
Egeus demanded justice of Theseus, and desired that this cruel law might be put in force against his daughter.	イージアスはシーシアスに、裁判を開いて、この残酷な法に従って娘を死刑にしていただきたいと願い出たのである。
Hermia pleaded in excuse for her disobedience	ハーミアは、父の命令に従わない理由として、以下のようなことを言った。
that Demetrius had formerly professed love for her dear friend Helena,	ディミートリアスは、自分の親友であるヘレナに愛を告白したことがあります。
and that Helena loved Demetrius to distraction;	ヘレナは彼のことを気も狂わんばかりに愛しております。
but this honorable reason, which Hermia gave for not obeying her father's command, moved not the stern Egeus.	しかし、ハーミアが父の命令に従わない理由として挙げた、もっともな理由でさえ、厳格なイージアスの心を動かすには至らなかった。
Theseus, though a great and merciful prince, had no power to alter the laws of his country; therefore he could only give Hermia four days to consider of it:	シーシアスは偉大なる君主であり、慈悲深い人であったけれども、自らの国の法律を変える権限を持っていなかったので、ハーミアに４日間の猶予期間を与えることしかできなかった。
and at the end of that time, if she still refused to marry Demetrius, she was to be put to death.	もしその期間が終わっても、彼女がまだディミートリアスとの結婚を拒めば、彼女は死刑となることに決まってしまったのだった。
When Hermia was dismissed from the presence of the duke, she went to her lover Lysander and told him the peril she was in, and that she must either give him up and marry Demetrius or lose her life in four days.	ハーミアは、君主の御前を辞したあとに、愛するライサンダーのもとを訪ね、彼女の身にふりかかった危険を告げて、ライサンダーをあきらめてディミートリアスと結婚するか、４日後に命を失うか、２つに１つになった、と語った。
Lysander was in great affliction at hearing these evil tidings;	ライサンダーは、このようなひどい知らせに対して深い痛みを覚えた。
but, recollecting that be had an aunt who lived at some distance from Athens, and that at the place where she lived the cruel law could not be put in force against Hermia (this law not extending beyond the boundaries of the city),	しかし、彼のおばがアテネから離れた場所に住んでいるのを思いだし、おばの住むところでは、あの残酷な法律もハーミアに何ら適用されないこと（この法律は、アテネの境界内にしか通用しなかった）に気づいた。
he proposed to Hermia	そこで、ライサンダーは、ハーミアにこう提案した。
that she should steal out of her father's house that night, and go with him to his aunt's house, where he would marry her.	夜になったら、父の家から抜けだして、自分とともにおばの家へ行こう、そして、そこで結婚しよう。
"I will meet you," said Lysander, "in the wood a few miles without the city;	「町の外、何マイルか離れた場所にある森で落ち会うことにしよう。」ライサンダーは言った。
in that delightful wood where we have so often walked with Helena in the pleasant month of May."	「ぼくたちが、ヘレナと一緒にあの楽しい５月に［＃注１］よく散歩した、あの愉快な森の中で。」
To this proposal Hermia joyfully agreed;	この提案に、ハーミアは喜んで同意した。
and she told no one of her intended flight but her friend Helena.	そして、家出のことは誰にも話さなかったが、親友であるヘレナにだけはうちあけた。
Helena (as maidens will do foolish things for love) very ungenerously resolved to go and tell this to Demetrius,	ヘレナは（娘というものは、恋のためには実におろかなことをするものであるが）たいへんばかなことに、ディミートリアスのところへ行ってこの話をしようと決心した。
though she could hope no benefit from betraying her friend's secret	ヘレナは親友の秘密を暴くことで報酬を期待してはいなかった。
but the poor pleasure of following her faithless lover to the wood;	ただ、森へ行った不実な恋人の後を追おうというささやかな望みがあっただけであった。
for she well knew that Demetrius would go thither in pursuit of Hermia.	ヘレナには、ディミートリアスがハーミアの後を追っていくだろう、ということがよく分かっていたのだ。
The wood in which Lysander and Hermia proposed to meet was the favorite haunt of those little beings known by the name of "fairies."	さて、ライサンダーとハーミアが会うことにしていた森は、妖精《フェアリー》という名で知られている小さな人が集まる場所だった。
