The Adventuer of Charles Augustus Milverton	チャールズ・オーガスタス・ミルヴァートン
Arthur Conan Doyle	アーサー・コナン・ドイル
It is years since the incidents of which I speak took place,	私がこれからお話する事件が起きてから何年か経つ。
and yet it is with diffidence that I allude to them.	それでもまだ口外するにあたり気後れしないわけにはいかない。
For a long time, even with the utmost discretion and reticence, it would have been impossible to make the facts public,	長い間、どれほど配慮した書き方をしようとも、この事件を公にすることはかなり難しかったであろう。
but now the principal person concerned  is beyond the reach of human law, and with due suppression the story may be told  in such fashion as to injure no one.	だが、主要な関係者は人間の法律のおよばないところにいるのだから、適切に手心を加えておけば、だれひとり傷つけないようなやり方でお聞かせできるかもしれない。
It records an absolutely unique experience in the career both of Mr. Sherlock Holmes and of myself.	これは、ミスター・シャーロック・ホームズと私の双方の経歴にしるされた、まったくユニークな経験の記録である。
The reader will excuse me if I conceal the date or any other fact by which he might trace the actual occurrence.	私は日付などの事実を隠す。
We had been out for one of our evening rambles, Holmes and I, and had returned about six o'clock on a cold, frosty winter's evening.	ホームズと私は夕方の散歩に出かけ、6時に、凍てつくような冬の夕暮れからもどってきた。
As Holmes turned up the lamp the light fell upon a card on the table.	ホームズがランプに火をつけると、テーブルのうえに1枚のカードが載っていた。
He glanced at it, and then, with an ejaculation of disgust, threw it on the floor.	それに目を通したホームズは、悪態とともに床に投げ捨てた。
I picked it up and read:	私が拾いあげて読んでみると――
CHARLES AUGUSTUS MILVERTON,	代理業
Appledore Towers, Hampstead.	チャールズ・オーガスタス・ミルヴァートン
Agent.	ハムステッド、アップルドア・タワーズ
``Who is he?''	「誰？」
I asked.	と私はたずねた。
``The worst man in London,''	「ロンドン1の悪党」
Holmes answered, as he sat down and stretched his legs before the fire.	と、ホームズは腰かけて足を暖炉の方に伸ばしながら答えた。
``Is anything on the back of the card?''	「裏にはなにか？」
I turned it over.	名刺を裏返してみた。
``Will call at 6:30	「6:30に伺う
I read.	私はそれを読み上げた。
``Hum!	「ほう！
He's about due.	もうそろそろだな。
Do you feel a creeping, shrinking sensation, Watson, when you stand before the serpents in the Zoo, and see the slithery, gliding, venomous creatures,	ワトスン、動物園でけばけばしい毒蛇なんかを見たときにさ、薄気味の悪い、ぞっとするような感じがするだろ？
with their deadly eyes and wicked, flattened faces?	あのおぞましい目やおそろしげなのっぺりした顔を見ると。
Well, that's how Milverton impresses me.	ミルヴァートンを見るとちょうどそんな気分になるんだよ。
I've had to do with fifty murderers in my career, but the worst of them never gave me the repulsion which I have for this fellow.	ぼくはこれまで山ほど殺人犯と渡り合ってきたけど、あの男ほどむかむかするやつはいなかったね。
And yet I can't get out of doing business with him	けれども、あいつとの取引は避けられない
-- indeed, he is here at my invitation.''	――実はね、やつをここに呼んだのはぼくなんだ」
``But who is he?''	「でも誰なんだ、そいつは？」
``I'll tell you, Watson.	「教えてやるとも、ワトスン。
He is the king of all the blackmailers.	こいつはあらゆる強請屋（ゆすり）の王者だよ。
Heaven help the man, and still more the woman, whose secret and reputation come into the power of Milverton!	ミルヴァートンに秘密を握られてしまった男はね、まあ女のほうが多いんだけど、もうどうにもならないんだ。
With a smiling face and a heart of marble,	顔は笑っていても心は無慈悲そのもの。
he will squeeze and squeeze until he has drained them dry.	そういう態度で被害者をしぼりにしぼり、干物にしてしまう。
The fellow is a genius in his way, and would have made his mark in some more savoury trade.	その道にかけては天才だよ、もっとまともなことをやってても名をあげてたと思うね。
His method is as follows:	そのやりくちはというと、
He allows it to be known that he is prepared to pay very high sums for letters which compromise people of wealth and position.	まず富や地位のある人々が書いた手紙に大金を支払う用意があるって噂を流す。
He receives these wares not only from treacherous valets or maids, but frequently from genteel ruffians, who have gained the confidence and affection of trusting women.	そういう手紙は、不実な付添人とかメイドとかからでてくることもあるけれど、その女性が信頼と愛情を注いでいる当のえせ紳士からでてくることも多いんだな。
He deals with no niggard hand.	やつは金を出し惜しんだりはしない。
I happen to know that he paid seven hundred pounds to a footman for a note two lines in length,	偶然知ったことだけど、たった2行の走り書きを持ちこんできた従僕に700ポンドもだしてやったこともある。
and that the ruin of a noble family was the result.	結果、ある名家が破滅した。
Everything which is in the market goes to Milverton,	金でなんとかなるものならなんだってミルヴァートンのもとに転がり込むようになっててね。
and there are hundreds in this great city who turn white at his name.	この大都市でミルヴァートンの名を聞いただけで真っ青になる人間は3桁にのぼるだろうな。
No one knows where his grip may fall,	次はどこに手を伸ばしてくるか、分かったもんじゃない。
for he is far too rich and far too cunning to work from hand to mouth.	だって、やつは金にはまったく困ってないし、すぐに足がつくようなまねはしないしね。
He will hold a card back for years in order to play it at the moment when the stake is best worth winning.	手にしたカードを何年もふせておいて、ここいちばんというときになって切ってくるんだ。
