Monday or Tuesday	月曜日か火曜日
Virginia Woolf	ヴァージニア・ウルフ
Lazy and indifferent, shaking space easily from his wings, knowing his way, the heron passes over the church beneath the sky.	怠惰に無関心に、翼でたやすく空間を震わせながら、その行くべき道を知り、アオサギは教会の上を空の下をゆく。
White and distant, absorbed in itself, endlessly the sky covers and uncovers, moves and remains.	白く遠く、おのずからおのずへと吸いこまれるように、空は、終わりなく隠してはあばき、動いては留まる。
Blot the shores of it out!	その水際を消し去るがいい！
Oh, perfect --	ああ、完璧だ
the sun gold on its slopes.	――太陽が金色に染めるその斜面。
Down that falls.	滝を下る。
Ferns then, or white feathers, for ever and ever --	それにはシダが、あるいは白い羽が、いつまでもいつまでも
Desiring truth, awaiting it, laboriously distilling a few words, for ever desiring --	――真実を欲し、待ち望み、骨を折れども言葉はほとんど引き出せないが、それでもいつまでも欲し
(a cry starts to the left, another to the right.	――（左から悲鳴が上がり、続いて右からも。
Wheels strike divergently.	逸れた車が激突する。
Omnibuses conglomerate in conflict) --	バス同士がぶつかりあう）
for ever desiring --	――いつまでも欲し
(the clock asseverates with twelve distinct strokes that it is mid-day;	――（その時計ははっきりと十二回音を刻み、正午をうたう。
light sheds gold scales;	金色のうろこに光が注がれる。
children swarm) --	子どもらが群れる）
for ever desiring truth.	――いつまでも欲している、真実を。
Red is the dome; coins hang on the trees; smoke trails from the chimneys; bark, shout, cry "Iron for sale" --	赤は丸屋根、小銭が樹木にぶらさがる、煙が煙突から立ち昇る、怒鳴り、叫び、喚く、「鉄売ります」
and truth?	――そして真実を？
Radiating to a point men's feet and women's feet, black or gold-encrusted --	男たちの足元の、そして女たちの足元の一点に向けて放たれる、黒かったり金を散りばめられたりした
(This foggy weather -- Sugar?	――（このどんよりした空――お砂糖？
No, thank you --	いいえ、けっこうです
The commonwealth of the future) --	――将来の政府）
the firelight darting and making the room red, save for the black figures and their bright eyes, while outside a van discharges, Miss Thingummy drinks tea at her desk, and plate-glass preserves fur coats --	――火明かりが飛び、部屋を赤く染めるけれども、黒い人影と輝く瞳は変わりばえなく、表でバンから人が降りてくる間、ミス・スィンガミーは自分の机で紅茶を飲み、板ガラスが毛皮のコートの型崩れを防ぐ
Now to recollect by the fireside on the white square of marble.	今は暖炉の傍の白い大理石の上に集めなおすとき。
From ivory depths words rising shed their blackness, blossom and penetrate.	象牙色の深みより、言葉がわきあがってその黒さを、輝きを、強さを見せつける。
Fallen the book;	落下する本。
in the flame, in the smoke, in the momentary sparks --	炎の中に、煙の中に、刹那の閃光の中に
or now voyaging, the marble square pendant, minarets beneath and the Indian seas, while space rushes blue and stars glint --	――あるいは今は旅のさなか、大理石の四角いペンダントは下に見えるミナレットを越えインド洋を越え、一方で空間は青く変じ、星々はきらめく
truth?	――そして真実も？
or now, content with closeness?	あるいはいまはもう、近似で満足して？
Lazy and indifferent the heron returns;	怠惰に無関心に、アオサギはもどる。
the sky veils her stars;	空は星々を包み隠す。
then bares them.	それから露にする。
