What the Moon Saw	絵のない絵本
Hans Christian Andersen	クリスチャン・アンデルセン
FIRST EVENING	第一夜
"Last night"	「昨晩」、
- I am quoting the Moon's own words -	わたしはお月さまが口にしたままを書いています。
"last night I was gliding through the cloudless Indian sky.	「昨晩、私はインドの雲ひとつない空にいて、
My face was mirrored in the waters of the Ganges,	私の顔がガンジス河の水面に映し出されていました。
and my beams strove to pierce through the thick intertwining boughs of the bananas, arching beneath me like the tortoise's shell.	私の光は、下の方でまるでカメの甲羅みたいにこんもりしているバナナの太い絡み合う枝のあいだまで照らし出しました。
Forth from the thicket tripped a Hindoo maid, light as a gazelle, beautiful as Eve.	そのこんもりとしているところから、カモシカのように身軽でイブのように美しい、一人のインド人の娘が飛び出してきました。
Airy and etherial as a vision, and yet sharply defined amid the surrounding shadows, stood this daughter of Hindostan:	このヒンドゥーの娘は立ちすくんでいて、見た目は軽やかでとても美しく、それでいてまわりの闇からははっきりと目立ちました。
I could read on her delicate brow the thought that had brought her hither.	彼女の繊細な表情から、どうしてここにきたかを読み取ることが出来ます。
The thorny creeping plants tore her sandals, but for all that she came rapidly forward.	下をはう、とげだらけの植物が彼女のサンダルを破りましたが、そんなことには全然かまわず彼女は先へといそぎました。
The deer that had come down to the river to quench her thirst, sprang by with a startled bound, for in her hand the maiden bore a lighted lamp.	乾きをいやすために河へとやってきたシカは、彼女が手にもえさかる炎をもっていたので、びっくりして飛びのきます。
I could see the blood in her delicate finger tips, as she spread them for a screen before the dancing flame.	彼女はゆらぐ炎が消えないように手でおおっていましたから、その細い指先には血管がすけてみえました。
She came down to the stream, and set the lamp upon the water,	河のそばまで降りてくると、炎が水面に映りました。
and let it float away.	映った炎は河の流れにそって流れていきます。
The flame flickered to and fro, and seemed ready to expire;	炎は前後に大きくゆらいで、今にも消えてしまいそうでしたが、
but still the lamp burned on,	まだ燃えつづけてしました。
and the girl's black sparkling eyes, half veiled behind their long silken lashes, followed it with a gaze of earnest intensity.	少女の黒くかがやける瞳は、長いシルクのようなまつげで半分かくれていましたが、真剣なまなざしで河に映った炎を追っています。
She knew	彼女は知っていました。
that if the lamp continued to burn so long as she could keep it in sight, her betrothed was still alive;	もし見えている限り炎がもえつづけていれば、彼女のいいなづけはまだ生きているということを。
but if the lamp was suddenly extinguished, he was dead.	ただもし炎がとつぜん消えてしまえば、彼は死んでしまったと。
And the lamp burned bravely on, and she fell on her knees, and prayed.	炎はしっかり燃えつづけ、彼女はひざまづき祈りました。
Near her in the grass lay a speckled snake, but she heeded it not	すぐわきの草のなかには斑点のある蛇がいましたが、彼女はそんなことは気にかけません。
- she thought only of Bramah and of her betrothed.	彼女が考えていたのは、インドの神様といいなづけのことだけでした。
'He lives!'	「生きてる」
she shouted joyfully,	彼女はよろこびのあまり叫びました。
'he lives!'	「生きてるのよ」
And from the mountains the echo came back upon her,	山々からはこだまがかえってきます。
'he lives!'"	「生きてるのよ」
SECOND EVENING	第二夜
"Yesterday,"	「昨日」、
said the Moon to me,	お月さまはわたしに語りかけます。
"I looked down upon a small courtyard surrounded on all sides by houses.	「四方を家々にかこまれた小さな中庭を私は見下ろしていました。
In the courtyard sat a clucking hen with eleven chickens;	中庭には一匹のめんどりと十一匹のひよこがいます。
and a pretty little girl was running and jumping around them.	一人の小さなかわいい女の子が、そのまわりをとびはねながら走りまわっていました。
The hen was frightened, and screamed,	めんどりはびっくりして、鳴きさけびます。
and spread out her wings over the little brood.	そして羽をおおきくひろげ、ひよこたちをかばいました。
Then the girl's father came out and scolded her;	すると女の子の父親が家からでてきて、女の子をしかりつけました。
and I glided away and thought no more of the matter.	私は空を動き、それっきりそのことを忘れていました」
"But this evening, only a few minutes ago,	「でも今晩、数分前のことです。
I looked down into the same courtyard.	私は同じ中庭を見下ろしていました。
Everything was quiet.	あたりいちめん静まりかえっていましたが、
But presently the little girl came forth again,	とつぜんあの小さな女の子がまた出てきました。
crept quietly to the hen-house, pushed back the bolt, and slipped into the apartment of the hen and chickens.	しずかに鶏小屋にしのびよるとかんぬきをはずして、めんどりとひよこがいるところへと入っていきます。
They cried out loudly, and came fluttering down from their perches, and ran about in dismay,	めんどりとひよこは大声をあげて止まり木から飛び降り、びっくりぎょうてんして走り回っています。
and the little girl ran after them.	そして小さな女の子は、そのあとを追いかけまわしているのです。
I saw it quite plainly, for I looked through a hole in the hen-house wall.	私には、鶏小屋の壁の穴からこの光景がはっきりと見えました。
I was angry with the willful child, and felt glad when her father came out and scolded her more violently than yesterday, holding her roughly by the arm;	私はこのわがままな子供にすっかり腹をたてて、父親が家からでてきて昨日よりひどくしかりつけ、腕をきつくつかんだときには嬉しくおもったほどです。
she held down her head,	女の子はうなだれました。
and her blue eyes were full of large tears.	その青い目にはおおつぶの涙があふれています。
'What are you about here?'	「ここで何をしてたんだ」
he asked.	父親はたずねました。
She wept and said,	女の子は泣きじゃくりながら答えます。
