A mother sat there with her little child.	母が、小さな子どものそばに坐つて、
She was so downcast,	悲しみ、沈んでゐました。
so afraid that it should die!	母には、その子が死ぬのではないかと思はれました。
It was so pale, the small eyes had closed themselves, and it drew its breath so softly,	子どもは小さな顔をまつ青にして、目をつぶつたまゝ、つまるようないきをしてゐます。
now and then, with a deep respiration, as if it sighed;	とき／゛＼ためいきでもつくように深いいきをします。
and the mother looked still more sorrowfully on the little creature.	母はそれに気がつくと、なほ／＼悲しさうに見まもつてゐました。
Then a knocking was heard at the door, and in came a poor old man wrapped up as in a large horse-cloth,	そのとき、こと／＼と部屋の戸をたゝく音がして、一人の、見すぼらしい、何だか、馬に着せる布のような、大きな布をまとつた老人がはひつて来ました。
for it warms one, and he needed it, as it was the cold winter season!	寒い冬の晩なので、そんなものでもかぶつてゐなければ、とても、たへられないのでした。
Everything out-of-doors was covered with ice and snow, and the wind blew so that it cut the face.	部屋のそとでは、すべてのものがこと／゛＼く、氷と雪とにおほはれてをり、人の顔を切りきざむような、きつい風が吹いてゐるのです。
As the old man trembled with cold,	老人は、がた／＼ふるへてゐます。
and the little child slept a moment, the mother went and poured some ale into a pot and set it on the stove, that it might be warm for him;	母はちようど、子どもが、ちよつとの間しづまつたので、その間に立つていつて、老人に飲ます飲みものを、小さな壺に入れて、暖炉の上にのせてあたゝめました。
the old man sat and rocked the cradle,	老人はすわつて、子供のゆり床をゆすつてゐます。
and the mother sat down on a chair close by him, and looked at her little sick child that drew its breath so deep, and raised its little hand.	母はそのそばの古椅子にかけて、子どもの苦しい息づかひを見てゐました。
"Do you not think that I shall save him?"	「どうでせう。
"Our Lord will not take him from me!"	神さまは、この子をとり上げておしまひになりはしないでせうね。」
And the old man--it was Death himself--he nodded so strangely, it could just as well signify yes as no.	この老人が、「死」そのものでした。
And the mother looked down in her lap,	母は顔をふせました。
and the tears ran down over her cheeks;	涙が頬をつたはつて落ちました。
her head became so heavy--she had not closed her eyes for three days and nights;	今日で、三日三晩も寝ないで、気がぼうとなつてゐた母は、そのとき、こくりと、ゐねむりをしました。
and now she slept, but only for a minute, when she started up and trembled with cold.	それもたゞ、ほんの、またゝき一つする間、とろりと眠つたゞけですが、間もなくはつと目をさまして、寒さにふるへ上ると一しよに、
"What is that?"	「おや」
said she, and looked on all sides;	と、びつくりして、あたりを見まはしました。
but the old man was gone,	老人がゐません。
and her little child was gone	小さなわが子も、ゐなくなつてしまひました。
--he had taken it with him;	言ふまでもなく、老人がつれていつたのです。
and the old clock in the corner burred, and burred,	部屋の片すみでは、柱時計がしゆう／＼と変な音をたてゝゐます。
the great leaden weight ran down to the floor, bump!	と思ふうちに、重たい鉛の振子が、がたんと、床の上に落ちました。
and then the clock also stood still.	そして時計はとまりました。
But the poor mother ran out of the house and cried aloud for her child.	母は泣きさけびながら、子どもを追つかけて飛び出しました。
Out there, in the midst of the snow, there sat a woman in long, black clothes;	外には、まつ黒い着物を着た一人の女が、雪の中に立つてゐました。
and she said,	その女が言ひました。
"Death has been in thy chamber,	「死は今まであなたと一しよに、お部屋の中にゐたでせう。
and I saw him hasten away with thy little child;	たつた今、その老人は、あなたの子どもをつれて出ていきました。
he goes faster than the wind,	風よりも早くかき消えてしまひました。
and he never brings back what he takes!"	あの老人は、一どさらつていつたものは、もう二度とつれてかへつてはくれません。」
"Oh, only tell me which way he went!"	「一たいどつちへいきました。
said the mother.	どつちへ向つていつたのでせう。
"Tell me the way,	をしへて下さい。
and I shall find him!"	さがし出して来ます」
"I know it!"	「私はちやんと見てゐました。
"But before I tell it, thou must first sing for me all the songs thou hast sung for thy child!	では、そのまへに、あなたがこれまであの子にうたつて聞かせた謡を、こゝで私に、すつかりうたつて聞かせて下さい。
I am fond of them.	私は、その謡がみんな好きです。
I have heard them before;	まへにも、聞いたことがあります。
I am Night;	私は『夜』です。
I saw thy tears whilst thou sang'st them!"	私はあなたが謡をうたふたびに、あなたの涙を見ました。」
"I will sing them all, all!"	「それではうたひます。
said the mother.	みんなうたひます。
"But do not stop me now	そのかはり早く言つて下さい。
--I may overtake him	後れて、あの『死』に遁げてしまはれてはこまります。
--I may find my child!"	子どもが見つからなくなると、たいへんです。」
But Night stood still and mute.	『夜』は、しいんと黙つてすわつてゐました。
Then the mother wrung her hands, sang	母は両手をねぢつて、もだえながら謡ひました。
and wept,	そして、しく／＼泣きました。
and there were many songs,	泣き泣き、多くの謡をうたひました。
but yet many more tears;	しかし涙は謡の節の数よりも、もつと／＼多く流れおちました。
and then Night said,	『夜』はしまひに言ひました。
"Go to the right,	「右手へいらつしやい。
into the dark pine forest;	右手の暗い樅の林へ。
thither I saw Death take his way with thy little child!"	死はあなたの子どもをつれて、その林の中へはひつていきました。」
The roads crossed each other in the depths of the forest,	森の中では、道が十字に分れてゐました。
and she no longer knew whither she should go!	母は、どつちへいつたらいゝかと、まどひました。
then there stood a thorn-bush;	そこには、一むらのこすもゝの茂みがありました。
there was neither leaf nor flower on it, it was also in the cold winter season,	冷たい冬ですから、葉もなければ、花もさいてはゐません。
and ice-flakes hung on the branches.	小さな枝々には、すつかり、つらゝが下つてゐました。
"Hast thou not seen Death go past with my little child?"	「あなたは、『死』が私の子どもをつれて通つたのを、見やしませんでしたか」
said the mother.	と、母はそのこすもゝに聞きました。
"Yes,"	「えゝ見ました。
"but I will not tell thee which way he took, unless thou wilt first warm me up at thy heart.	だけれど、私は今にも、こゞえて死にそうです。
I am freezing to death;	私を胸にあてゝあたゝめて下さらなければ、言つては上げません。
I shall become a lump of ice!"	私は氷になつてしまひさうです」
And she pressed the thorn-bush to her breast, so firmly, that it might be thoroughly warmed,	母はこすもゝを、しつかりと胸におしつけて、あたゝめました。
and the thorns went right into her flesh, and her blood flowed in large drops,	こすもゝのとげがはだにざく／＼さゝつて、血が大きなしづくになつて流れおちました。
but the thornbush shot forth fresh green leaves, and there came flowers on it in the cold winter night,	こすもゝにはそんな暗い冬の夜の中で、青々した若葉がどん／＼出て来ました。
the heart of the afflicted mother was so warm;	悲しみにみちた、人の母の胸は、それほどまでにあたゝかいのです。
and the thorn-bush told her the way she should go.	こすもゝは、母に『死』の行つた方角ををしへました。
She then came to a large lake,	いくうちに、大きな湖へ来ました。
where there was neither ship nor boat.	そこには、船もぼうとも何にもありません。
The lake was not frozen sufficiently to bear her; neither was it open, nor low enough that she could wade through it;	湖水の表を歩くためには、まだ氷がうすいし、水の中を渡らうとするには、あまりに氷りすぎてゐて、すき間がありません。
and across it she must go if she would find her child!	それでも、母は子供を見つけようとするからには、どうしても、こゝをわたらなければならないのでした。
Then she lay down to drink up the lake,	母はこゞんで、湖の水を飲みほさうとしかけました。
and that was an impossibility for a human being,	そんなことが、とても出来るわけはありません。
but the afflicted mother thought that a miracle might happen nevertheless.	それでも悲しみにあまつたこの母には、こんなときには、ふだん人間に出来ないことでも、かならず出来をふせるような気がしました。
"Oh, what would I not give to come to my child!"	「あゝ、あの子さへとりかへすことが出来るなら、何でもよろこんでお上げします。」
said the weeping mother;	母はかう言つて、
and she wept still more,	なほ一そうはげしく泣きました。
and her eyes sunk down in the depths of the waters,	二つの目は、その涙で流れ出て、湖水の底へおちこみました。
and became two precious pearls;	そしてとう／＼、二つの真珠になりました。
but the water bore her up, as if she sat in a swing, and she flew in the rocking waves to the shore on the opposite side,	湖水はすぐに、母をかゝへ上げて、ちようど羽根の上にでも乗せたように、ふはりと、向うの岸へうつしてくれました。
where there stood a mile-broad, strange house,	その岸には、長さが何里あるとも分らないような、おそろしい大きな家がたつてゐました。
one knew not if it were a mountain with forests and caverns, or if it were built up;	だれが見ても、それが建てものであるか、森や、洞穴のある山なのか、まるで見わけがつかないくらゐです。
but the poor mother could not see it; she had wept her eyes out.	でも、両眼をなくした母には、もとより、そこに、そんな家があるのが、見えるわけもありません。
"Where shall I find Death, who took away my little child?"	「私の子どもをつれて行つた『死』は、どこにゐるでせう」
said she.	と、母はその老婆にたづねました。
"He has not come here yet!"	「『死』はまだかへつて来ません。
w"How have you been able to find the way hither?	あなたはどうして、こゝへ来る道が分つたのです。
And who has helped you?"	だれにちえをかりて来たのです」
"OUR LORD has helped me," said she.	「それは神さまがたすけて下さつたのです。
"He is merciful,	神さまは慈愛にみちておいでになります。
and you will also be so!	どうかあなたもなさけを持つて、
Where shall I find my little child?"	私の子どものゐるところををしへて下さい」
"Nay, I know not,"	「それは私にもわかりません。
"and you cannot see!	あなたにも目では見えません。
Many flowers and trees have withered this night;	今日は、この家の中の、いろんな花と木がしぼみました。
Death will soon come and plant them over again!	死は今にかへつて、それを植ゑかへます。
You certainly know that every person has his or her life's tree or flower, just as everyone happens to be settled;	あなたは、人間にはだれでも、めい／＼、自分々々に定められた『生がい』の花と木とがあるのを、ごぞんじでせう？
they look like other plants, but they have pulsations of the heart.	それ等の花や木は、あなた方の見てお出での、たゞの植木と同じかつこうをしてゐますが、たゞ、ちがふのは、『死』が植ゑてゐる花や木には心臓があつて、脈を打つてゐます。
Children's hearts can also beat; go after yours, perhaps you may know your child's; 	その脈のうち方を聞き分けたら、多分これがあなたのお子だといふことが分るでせう。
but what will you give me if I tell you what you shall do more?"	このほかに、まだもつと言つて上げることがある。
"I have nothing to give,"	「私はもう、何にもさし上げるものがありません。
"but I will go to the world's end for you!"	この上は、もしあなたのために、世界の果てまででも、いけとおつしやればまゐります。」
"Nay, I have nothing to do there!" said the woman.	「そんなところへいつてしまつては、何をして上げることも出来ない。
"But you can give me your long black hair;	それよりも、あなたの長い黒い髪を下さい。
you know yourself that it is fine,	それがどんなに美しいかは、あなたにも分つてゐるはずです。
and that I like!	私は、あなたのその髪が好きだ。
You shall have my white hair instead,	代りに、私の白い髪を上げます。
and that's always something!"	それでも、無いよりはましでせう。」
"Do you demand nothing else?" said she.	「もう外に、おいりになるものはありませんか。
"That I will gladly give you!"	この髪なら、よろこんでお上げします。」
And she gave her her fine black hair, and got the old woman's snow-white hair instead.	母は、かう言つて、自分のうつくしい髪をすつかり老婆にわたし、老婆の白髪をもらつてつけました。
So they went into Death's great greenhouse,	母は、その老婆につれられて、大きな、『死』の家の中にはひりました。
where flowers and trees grew strangely into one another.	中には、おどろくばかりの多くの、花と木とが入りみだれて、うわつてゐました。
There stood fine hyacinths under glass bells, and there stood strong-stemmed peonies;	鐘の形をした、がらすの器の下には、ひやしんすの花が、一むれうわつてゐます。
there grew water plants, some so fresh, others half sick,	そのなかのいくつかは、さいたばかりでいき／＼してをり、或ものは、やゝ、しなびかけてゐます。
the water-snakes lay down on them, and black crabs pinched their stalks.	それらのすべてのひやしんすには、水の中に住む蛇がまきつき、茎には、かにがこびりついてゐます。
There stood beautiful palm-trees, oaks, and plantains; there stood parsley and flowering thyme:	又そちらには、はでやかなしゆろの木や、かしの木や、おほばこ、おらんだぜり、花のさいたたいむといふ、香の草などが茂つてゐます。
every tree and every flower had its name;	それらの木や花には、一つ／＼名前がついてゐます。
each of them was a human life,	それがみんな、人の『生がい』なのでした。
the human frame still lived--one in China, and another in Greenland--round about in the world.	それをわりあてられてゐる人々は、みんなまだ生きてゐて、世界中のすべての土地に、ちらばつてゐるのです。
There were large trees in small pots, so that they stood so stunted in growth,	そのほか、いくつもの小さな壺の中に、大きな木が一束ねにして突つこまれてゐるのもあります。
and ready to burst the pots;	壺が、はりさけさうになつてゐます。
