Lafcadio Hearn	小泉八雲
On the Akasaka Road, in Tokyo, there is a slope called Kii-no-kuni-zaka,--	東京の、赤坂への道に紀国坂という坂道がある――
which means the Slope of the Province of Kii.	これは紀伊の国の坂という意である。
I do not know why it is called the Slope of the Province of Kii.	何故それが紀伊の国の坂と呼ばれているのか、それは私の知らない事である。
On one side of this slope you see an ancient moat, deep and very wide, with high green banks rising up to some place of gardens;--	この坂の一方の側には昔からの深い極わめて広い濠（ほり）があって、それに添って高い緑の堤が高く立ち、その上が庭地になっている、――
and on the other side of the road extend the long and lofty walls of an imperial palace.	道の他の側には皇居の長い宏大な塀が長くつづいている。
Before the era of street-lamps and jinrikishas, this neighborhood was very lonesome after dark;	街灯、人力車の時代以前にあっては、その辺は夜暗くなると非常に寂しかった。
and belated pedestrians would go miles out of their way rather than mount the Kii-no-kuni-zaka, alone, after sunset.	ためにおそく通る徒歩者は、日没後に、ひとりでこの紀国坂を登るよりは、むしろ幾哩もり道をしたものである。
All because of a Mujina that used to walk there. (1)	これは皆、その辺をよく歩いた貉のためである。
The last man who saw the Mujina was an old merchant of the Kyobashi quarter, who died about thirty years ago.	貉を見た最後の人は、約三十年前に死んだ京橋方面の年とった商人であった。
This is the story, as he told it:--	当人の語った話というのはこうである、――
One night, at a late hour, he was hurrying up the Kii-no-kuni-zaka, when he perceived a woman crouching by the moat, all alone, and weeping bitterly.	この商人がある晩おそく紀国坂を急いで登って行くと、ただひとり濠（ほり）の縁（ふち）に踞（かが）んで、ひどく泣いている女を見た。
Fearing that she intended to drown herself, he stopped to offer her any assistance or consolation in his power.	身を投げるのではないかと心配して、商人は足をとどめ、自分の力に及ぶだけの助力、もしくは慰藉を与えようとした。
She appeared to be a slight and graceful person, handsomely dressed;	女は華奢な上品な人らしく、服装（みなり）も綺麗であったし、
and her hair was arranged like that of a young girl of good family.	それから髪は良家の若い娘のそれのように結ばれていた。――
"O-jochu," [1]	『お女中』
he exclaimed, approaching her,--	と商人は女に近寄って声をかけた――
"O-jochu, do not cry like that!...	『お女中、そんなにお泣きなさるな！……
Tell me what the trouble is;	何がお困りなのか、私に仰しゃい。
and if there be any way to help you, I shall be glad to help you."	その上でお助けをする道があれば、喜んでお助け申しましょう』
(He really meant what he said;	（実際、男は自分の云った通りの事をする積りであった。
for he was a very kind man.)	何となれば、この人は非常に深切な人であったから。）
But she continued to weep,--	しかし女は泣き続けていた――
hiding her face from him with one of her long sleeves.	その長い一方の袖を以て商人に顔を隠して。
"O-jochu,"	『お女中』
he said again, as gently as he could,--	と出来る限りやさしく商人は再び云った――
"please, please listen to me!...	『どうぞ、どうぞ、私の言葉を聴いて下さい！……
This is no place for a young lady at night!	ここは夜若い御婦人などの居るべき場処ではありません！
Do not cry, I implore you! --	御頼み申すから、お泣きなさるな！――
only tell me how I may be of some help to you!"	どうしたら少しでも、お助けをする事が出来るのか、それを云って下さい！』
Slowly she rose up, but turned her back to him,	徐ろに女は起ち上ったが、商人には背中を向けていた。
and continued to moan and sob behind her sleeve.	そしてその袖のうしろで呻き咽びつづけていた。
He laid his hand lightly upon her shoulder, and pleaded:--	商人はその手を軽く女の肩の上に置いて説き立てた――
"O-jochu! --	『お女中！――
O-jochu! --	お女中！――
O-jochu!...	お女中！
Listen to me,	私の言葉をお聴きなさい。
just for one little moment!...	ただちょっとでいいから！……
O-jochu! --	お女中！――
O-jochu!"...	お女中！』……
Then that O-jochu turned around,	するとそのお女中なるものは向きかえった。
and dropped her sleeve, and stroked her face with her hand; --	そしてその袖を下に落し、手で自分の顔を撫でた――
and the man saw that she had no eyes or nose or mouth,--	見ると目も鼻も口もない――
and he screamed and ran away. (2)	きゃッと声をあげて商人は逃げ出した。
Up Kii-no-kuni-zaka he ran and ran;	一目散に紀国坂をかけ登った。
and all was black and empty before him.	自分の前はすべて真暗で何もない空虚であった。
On and on he ran, never daring to look back;	振り返ってみる勇気もなくて、ただひた走りに走りつづけた挙句、
and at last he saw a lantern, so far away that it looked like the gleam of a firefly;	ようよう遥か遠くに、蛍火の光っているように見える提灯を見つけて、
and he made for it.	その方に向って行った。
It proved to be only the lantern of an itinerant soba-seller, [2] who had set down his stand by the road-side;	それは道側（みちばた）に屋台を下していた売り歩く蕎麦屋の提灯に過ぎない事が解った。
but any light and any human companionship was good after that experience;	しかしどんな明かりでも、どんな人間の仲間でも、以上のような事に遇った後には、結構であった。
and he flung himself down at the feet of the soba-seller, crying out,	商人は蕎麦売りの足下に身を投げ倒して声をあげた
"Ah! -- aa!! -- aa!!!"...	『ああ！――ああ――ああ※［＃感嘆符三つ、231-8］』……
"Kore!	『これ！
kore!" (3)	これ！』
roughly exclaimed the soba-man.	と蕎麦屋はあらあらしく叫んだ
"Here! what is the matter with you?	『これ、どうしたんだ？
Anybody hurt you?"	誰れかにやられたのか？』
"No --	『否（いや）、――
nobody hurt me,"	誰れにもやられたのではない』
panted the other,--	と相手は息を切らしながら云った――
"only... Ah! -- aa!"	『ただ……ああ！――ああ！』……
"-- Only scared you?"	『――ただおどかされたのか？』
queried the peddler, unsympathetically.	と蕎麦売りはすげなく問うた
"Robbers?"	『盗賊（どろぼう）にか？』
"Not robbers,--	『盗賊（どろぼう）ではない――
not robbers,"	盗賊（どろぼう）ではない』
gasped the terrified man...	とおじけた男は喘ぎながら云った
"I saw...	『私は見たのだ……
I saw a woman --	女を見たのだ――
by the moat; --	濠の縁（ふち）で――
and she showed me...	その女が私に見せたのだ……
Ah!	ああ！
I cannot tell you what she showed me!"...	何を見せたって、そりゃ云えない』……
"He! (4)	『へえ！
Was it anything like THIS that she showed you?"	その見せたものはこんなものだったか？』
cried the soba-man, stroking his own face --	と蕎麦屋は自分の顔を撫でながら云った――
which therewith became like unto an Egg...	それと共に、蕎麦売りの顔は卵のようになった……
And, simultaneously, the light went out.	そして同時に灯火は消えてしまった。
