The Wizard of Oz	オズの魔法使い
L. Frank Baum	Ｌ・フランク・ボーム 著
1.  The Cyclone	第 1 章　　竜巻 <#ch1>
2.  The Council with the Munchkins	第 2 章　　マンチキンたちとの会談 <#ch2>
3.  How Dorothy Saved the Scarecrow	第 3 章　　ドロシー、かかしを救う <#ch3>
4.  The Road Through the Forest	第 4 章　　森をぬける道 <#ch4>
5.  The Rescue of the Tin Woodman	第 5 章　　ブリキの木こりを救出 <#ch5>
6.  The Cowardly Lion	第 6 章　　臆病ライオン <#ch6>
7.  The Journey to the Great Oz	第 7 章　　えらいオズへの旅 <#ch7>
8.  The Deadly Poppy Field	第 8 章　　おそるべきケシ畑 <#ch8>
9.  The Queen of the Field Mice	第 9 章　　野ネズミの女王さま <#ch9>
10.  The Guardian of the Gates	第 10 章　　門の守護兵 <#ch10>
11.  The Emerald City of Oz	第 11 章　　すばらしいオズのエメラルドの都 <#ch11>
12.  The Search for the Wicked Witch	第 12 章　　邪悪な魔女をさがして <#ch12>
13.  The Rescue	第 13 章　　救出 <#ch13>
14.  The Winged Monkeys	第 14 章　　翼ザルたち <#ch14>
15.  The Discovery of Oz the Terrible	第 15 章　　おそろしきオズの正体 <#ch15>
16.  The Magic Art of the Great Humbug	第 16 章　　大ペテン師の魔術 <#ch16>
17.  How the Balloon Was Launched	第 17 章　　とびたつ気球 <#ch17>
18.  Away to the South	第 18 章　　南の国へ <#ch18>
19.  Attacked by the Fighting Trees	第 19 章　　たたかう木に攻撃される <#ch19>
20.  The Dainty China Country	第 20 章　　優美なせとものの国 <#ch20>
21.  The Lion Becomes the King of Beasts	第 21 章　　ライオン、獣たちの王に <#ch21>
22.  The Country of the Quadlings	第 22 章　　カドリングたちの国 <#ch22>
23.  Glinda The Good Witch Grants Dorothy's Wish	第 23 章　　よい魔女グリンダ、ドロシーの願いをかなえる <#ch23>
24.  Home Again	第 24 章　　おうちに帰る <#ch24>
1.  The Cyclone	1　竜巻
Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmer's wife.	ドロシーは農夫のヘンリーおじさん、その奥さんのエムおばさんと一緒にカンザスの大草原の真ん中で暮らしていました。
Their house was small, for the lumber to build it had to be carried by wagon many miles.	家は、建てるための木材をずっと遠くから荷馬車で運んで来なければならなかったので、小さなものでした。
There were four walls, a floor and a roof, which made one room;	四つの壁と、屋根と床が一つずつあって、それで一つの部屋でした。
and this room contained a rusty looking cookstove, a cupboard for the dishes, a table, three or four chairs, and the beds.	この部屋にはすすけたレンジ、お皿の戸棚とテーブルが一つずつと、三つか四つの椅子とベッドがありました。
Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner.	ヘンリーおじさんとエムおばさんの大きいベッドが隅に一つ、別の隅にドロシーの小さなベッドが一つありました。
There was no garret at all, and no cellar--except a small hole dug in the ground, called a cyclone cellar, where the family could go in case one of those great whirlwinds arose, mighty enough to crush any building in its path.	屋根裏部屋も、地下室も（通り道にあるどんな建物も押しつぶしてしまうほど強い旋風が起きた時、家族が入るための地面に掘った竜巻用地下室と呼ぶ小さな穴のほかには）ぜんぜんありませんでした。
It was reached by a trap door in the middle of the floor, from which a ladder led down into the small, dark hole.	穴は床の真ん中にある落し戸につながっていて、そこからはしごが小さな、暗い穴へと降りていました。
When Dorothy stood in the doorway and looked around, she could see nothing but the great gray prairie on every side.	ドロシーが戸口に立って見まわすと、どっちを向いても灰色の大草原しか見えません。
Not a tree nor a house broke the broad sweep of flat country that reached to the edge of the sky in all directions.	見渡す限りの広い平原はどの方角へも空の端まで続き、木の一本、家の一軒もありませんでした。
The sun had baked the plowed land into a gray mass, with little cracks running through it.	太陽が耕地をからからにして、小さなひびの入った灰色の土地にしてしまいました。
Even the grass was not green,	草でさえ緑色ではありませんでした。
for the sun had burned the tops of the long blades until they were the same gray color to be seen everywhere.	太陽は他のどこでもと同じぐらい灰色になるまで、長い葉の表面を焦がしてしまったのです。
Once the house had been painted, but the sun blistered the paint and the rains washed it away, and now the house was as dull and gray as everything else.	いちど家に色を塗っても、太陽がペンキをぶかぶかにして、雨が洗い流してしまい、今では他の何もかもと同じぐらい灰色で退屈になってしまったのでした。
When Aunt Em came there to live she was a young, pretty wife.	エムおばさんがそこに来て住み始めた時、おばさんは若くてきれいな奥さんでした。
The sun and wind had changed her, too.	そのおばさんも、太陽と風が変えてしまいました。
They had taken the sparkle from her eyes and left them a sober gray;	おばさんの目から輝きを奪って、地味な灰色にしてしまいました。
they had taken the red from her cheeks and lips, and they were gray also.	おばさんの頬と唇から赤みを奪い、それも灰色にしてしまいました。
She was thin and gaunt, and never smiled now.	おばさんは細くやつれて、今では決して笑わないのでした。
When Dorothy, who was an orphan, first came to her, Aunt Em had been so startled by the child's laughter that she would scream and press her hand upon her heart whenever Dorothy's merry voice reached her ears;	孤児だったドロシーがおばさんのところに初めて来た時、エムおばさんは子供の笑い声にとてもびっくりして、ドロシーの明るい声が耳に届く度にキャッと叫んで胸の上に手を押し付けたものでした。
and she still looked at the little girl with wonder that she could find anything to laugh at.	それでもまだおばさんは、何か笑うようなことを見つけられた小さな女の子を不思議そうに見つめたのでした。
Uncle Henry never laughed.	ヘンリーおじさんは決して笑いませんでした。
He worked hard from morning till night and did not know what joy was.	朝から晩まで懸命に働いて、喜びが何なのかを知りませんでした。
He was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke.	おじさんも長い髭から粗いブーツの先まで灰色で、頑固でまじめくさった顔をして、めったにしゃべりませんでした。
It was Toto that made Dorothy laugh, and saved her from growing as gray as her other surroundings.	ドロシーを笑わせて、まわりと同じ様な灰色になるところを救ってくれたのはトトでした。
Toto was not gray;	トトは灰色ではありませんでした。
he was a little black dog, with long silky hair and small black eyes that twinkled merrily on either side of his funny, wee nose.	トトは小さな黒い犬で、毛はつやつやで長く、ひょうきんでちっちゃい鼻の両側に小さな黒い目が陽気にきらめいていました。
Toto played all day long, and Dorothy played with him, and loved him dearly.	トトは一日中遊び、ドロシーも一緒に遊んでトトをとても可愛がりました。
Today, however, they were not playing.	でも今日は、遊んではいませんでした。
Uncle Henry sat upon the doorstep and looked anxiously at the sky, which was even grayer than usual.	ヘンリーおじさんは戸口の段に座って、いつも以上に灰色な空を心配そうに眺めていました。
Dorothy stood in the door with Toto in her arms, and looked at the sky too.	ドロシーもトトを抱いて戸口に立ち、空を眺めました。
Aunt Em was washing the dishes.	エムおばさんはお皿を洗っていました。
From the far north they heard a low wail of the wind, and Uncle Henry and Dorothy could see where the long grass bowed in waves before the coming storm.	遥か北の彼方から風が低くむせぶ音が聞こえ、ドロシーとヘンリーおじさんには長い草が嵐を前に波打っていたのが見えました。
There now came a sharp whistling in the air from the south, and as they turned their eyes that way they saw ripples in the grass coming from that direction also.	今度は鋭い風がヒューヒューと南からきて、目をそちらに向ければ、草原のさざなみがその方角からもきているのが見えたのです。
Suddenly Uncle Henry stood up.	ヘンリーおじさんは突然、立ちあがりました。
"There's a cyclone coming, Em,"	「竜巻が来るぞ、エム」
he called to his wife.	おじさんはおばさんに言いました。
"I'll go look after the stock."	「家畜を見てくる。」
Then he ran toward the sheds where the cows and horses were kept.	そうしておじさんは牛と馬を飼っていた小屋へ走って行きました。
Aunt Em dropped her work and came to the door.	おばさんは仕事をやめて戸口に来ました。
One glance told her of the danger close at hand.	おばさんはひと目で危険が迫っていると知りました。
"Quick, Dorothy!"	「ドロシー、早く！」
she screamed.	おばさんは叫びました。
"Run for the cellar!"	「地下室へ走りなさい！」
Toto jumped out of Dorothy's arms and hid under the bed, and the girl started to get him.	トトがドロシーの腕から飛び出てベッドの下に隠れてしまったので、ドロシーはトトを捕まえようとしました。
Aunt Em, badly frightened, threw open the trap door in the floor and climbed down the ladder into the small, dark hole.	ひどく怯えたエムおばさんは、床の落し戸を振り上げて、小さな暗い穴の中へ梯子を降りていってしまいました。
Dorothy caught Toto at last and started to follow her aunt.	ドロシーはやっとトトを捕まえて、おばさんの後をついて行こうとしました。
When she was halfway across the room there came a great shriek from the wind, and the house shook so hard that she lost her footing and sat down suddenly upon the floor.	ドロシーが部屋の半ばまで横切った時、風の甲高い音が聞こえ、家が激しく揺れたのでドロシーは足場をなくして、急に床の上に座り込んでしまいました。
Then a strange thing happened.	そして奇妙なことが起こりました。
The house whirled around two or three times and rose slowly through the air.	家は二、三度ぐるぐる回ってゆっくりと宙に昇ってゆきました。
Dorothy felt as if she were going up in a balloon.	ドロシーは風船の中で昇っていっているような感じがしました。
The north and south winds met where the house stood, and made it the exact center of the cyclone.	家が立っているところで北と南の風がぶつかって、竜巻のちょうど真ん中になってしまいました。
In the middle of a cyclone the air is generally still, but the great pressure of the wind on every side of the house raised it up higher and higher, until it was at the very top of the cyclone;	ふつう竜巻の真ん中の空は静かなのだけれど、風が強い圧力で家を取り巻いて、どんどん高く、竜巻のてっぺんまで持ち上げたのです。
and there it remained and was carried miles and miles away as easily as you could carry a feather.	家はそのまま、まるで羽毛を飛ばすぐらいすんなりと、ずっとはるか遠くに運ばれてしまいました。
It was very dark, and the wind howled horribly around her,	とても暗くて、ドロシーの周りでは恐ろしく風がうなっていました。
but Dorothy found she was riding quite easily.	でもドロシーは、かなり安々と乗っかっていたことに気付きました。
After the first few whirls around, and one other time when the house tipped badly, she felt as if she were being rocked gently, like a baby in a cradle.	初めに家が何度か旋回した後に、もう一度ひどく傾いた時、ドロシーはゆりかごの中の赤ん坊みたいに優しく揺られているように感じました。
Toto did not like it.	トトはこれが嫌でした。
He ran about the room, now here, now there, barking loudly;	うるさくほえながら、部屋中あっちこっち走りまわりました。
but Dorothy sat quite still on the floor and waited to see what would happen.	でもドロシーは床にじっと座って、成り行きを見守っていました。
Once Toto got too near the open trap door, and fell in; and at first the little girl thought she had lost him.	一度、トトが開いた落し戸に近づきすぎて中に落ちてしまった時、最初少女はトトを失ってしまったと思いました。
But soon she saw one of his ears sticking up through the hole,	でもすぐに、トトの片方の耳が穴の中から突き出ているのが見えました。
for the strong pressure of the air was keeping him up so that he could not fall.	空気の圧力がトトを持ち上げていて、落ちなかったのです。
