The Resident Patient	入院患者
Conan Doyl	コナンドイル
In glancing over the somewhat incoherent series of Memoirs with which I have endeavoured to illustrate a few of the mental peculiarities of my friend Mr. Sherlock Holmes, I have been struck by the difficulty which I have experienced in picking out examples which shall in every way answer my purpose.	私の友シャーロック・ホームズ独特な人格をよく出しているお話をしようと思って、たくさんの私の記憶をさがす時、私はいつもあらゆる方面から私の目的に添うような話をさがし出そうとして苦労するのである。
For in those cases in which Holmes has performed some tour de force of analytical reasoning, and has demonstrated the value of his peculiar methods of investigation, the facts themselves have often been so slight or so commonplace that I could not feel justified in laying them before the public.	なぜなら、ホームズがその心理解剖に全力を注いだと思われるような事件、あるいはまた犯罪捜査に特別な方法を見せたと思われような事件は、事実において、みなさんにお話してもつまらないだろうと思われるような簡単な普通な事件が多いのだ。
On the other hand, it has frequently happened that he has been concerned in some research where the facts have been of the most remarkable and dramatic character, but where the share which he has himself taken in determining their causes has been less pronounced than I, as his biographer, could wish.	またその反対に、事件がかなり特異なもので劇的なものを彼が捜査した場合もあるのだが、そうした時にはしばしば、彼は彼の伝記作者として私が話してほしいと思っているにもかかわらず、何も話してくれなかったのである。
The small matter which I have chronicled under the heading of ``A Study in Scarlet,'' and that other later one connected with the loss of the Gloria Scott, may serve as examples of this Scylla and Charybdis which are forever threatening the historian.	私が『真紅の研究』と題して集めた小事件、またグロリア・スコット号の消失事件と共にあつめてあるもの、そうしたものは、彼の研究を永遠に悩ますであろう所の彼の両面、
It may be that in the business of which I am now about to write the part which my friend played is not sufficiently accentuated;	――ところでこれからお話しようと思っている事件については、実はホームズはそれほど充分に活躍してはいないのだ。
and yet the whole train of circumstances is so remarkable that I cannot bring myself to omit it entirely from this series.	が、しかもなお、その事件のすべてのつながりは、彼の伝記的物語から、これを除外することがどうしても出来ないほど、特異なものなのである。
It had been a close, rainy day in October.	それは十月の陰鬱な雨の日であった。
Our blinds were half-drawn, and Holmes lay curled upon the sofa, reading and re-reading a letter which he had received by the morning post.	私達は鎧戸を半分とざして、ホームズはソファの上に横（よこた）わりながら、その朝郵送された一通の手紙をくり返し読んでいた。
For myself, my term of service in India had trained me to stand heat better than cold, and a thermometer of ninety was no hardship.	――私はインド勤務のおかげで、寒さよりは暑さのほうがしのぎよく、九十度ぐらいの温度は苦しくはなかった。
But the paper was uninteresting.	――しかし読みつづけていた新聞はつまらなかった。
Parliament had risen.	議会が初まっていた。
Everybody was out of town, and I yearned for the glades of the New Forest or the shingle of Southsea.	人々はみんな町から出かけていっていたが、私はニュウ・フォレスト森林の中にある草原（くさはら）や、サウス・シーの海岸にある砂浜にあこがれていた。
A depleted bank account had caused me to postpone my holiday,	帳尻の合わなくなった銀行勘定が、私に祝祭日をのばさなくてはならないようにしてしまったのである。
and as to my companion, neither the country nor the sea presented the slightest attraction to him.	――けれどもホームズには田舎も海も少しも魅力を持ってはいなかった。
He loved to lie in the very centre of five millions of people, with his filaments stretching out and running through them, responsive to every little rumour or suspicion of unsolved crime.	彼は百万の大衆の真ただ中に寝ころんで、空想と推理の糸を自由自在にひろげたりたどったりして、いろいろな未解決な問題に暗示を与えたりすることのほうを愛していた。
Appreciation of nature found no place among his many gifts,	自然の鑑賞力、そう云うものは彼のたくさんの才能の中にも座をしめることは出来なかったのだ。
and his only change was when he turned his mind from the evildoer of the town to track down his brother of the country.	だから彼が田舎へ行くと云うことも、結局は都会の犯罪をさがすため、田舎の彼の兄弟の跡をつけて行くと云うような場合にすぎないのであった。
Finding that Holmes was too absorbed for conversation, I had tossed aside the barren paper, and, leaning back in my chair I fell into a brown study.	私は、ホームズがしゃべりすぎていると云うことが分かったので、無味乾燥な新聞を側（かたわ）らにほうりなげて、椅子にうずまって黙想に耽った。
Suddenly my companion's voice broke in upon my thoughts.	と、ふいにホームズの声が、私の意識を呼びさました。
``You are right, Watson,''	「君の云う通りだよ、ワトソン」
said he.	彼は云った。
``It does seem a very preposterous way of settling a dispute.''	「それはこの問題を解決するのには、ちと無理な方法のようだね」
``Most preposterous!''	「最も不自然な方法だよ」
I exclaimed,	私は叫んだ。
and then, suddenly realizing how he had echoed the inmost thought of my soul, I sat up in my chair and stared at him in blank amazement.	が、その時、私は、彼が私の心の一番奥にあるものをちゃんと感じていると云うことに気がついたので、私は椅子の上に起き直り、思わず驚きの目を見張って彼を見詰めた。
``What is this, Holmes?''	「どうしたと云うんだいホームズ？」
I cried.	私は云った。
``This is beyond anything which I could have imagined.''	「僕は思いもよらなかったよ、こんなことは……」
He laughed heartily at my perplexity.	彼は私の驚愕を見て心から笑った。
``You remember,'' said he, ``that some little time ago, when I read you the passage in one of Poe's sketches,	「君は、僕が、もうだいぶ前に、ポーの書いた写生文の一つの中にある一節を、読んだことを覚えてるだろう。
in which a close reasoner follows the unspoken thoughts of his companion, you were inclined to treat the matter as a mere tour de force of the author.	あの中に、用意周到な推論者が、その友達の腹の中の考えを見抜いてそれに従う所が書いてあったが、この場合もそれと同じことなんだ。
