PETER PAN [PETER AND WENDY]	ピーターパンとウェンディ
James Matthew Barrie	Ｊ．Ｍ　バリ
Chapter  1  PETER BREAKS THROUGH	1. ピーター登場
Chapter  2  THE SHADOW	2. その影
Chapter  3  COME AWAY, COME AWAY!	3. 行っちゃった、行っちゃった
Chapter  4  THE FLIGHT	4. フライト
Chapter  5  THE ISLAND COME TRUE	5. ネバーランドが現実に
Chapter  6  THE LITTLE HOUSE	6. ちいさな家
Chapter  7  THE HOME UNDER THE GROUND	7. 地下の家
Chapter  8  THE MERMAID'S LAGOON	8. 人魚のラグーン（さんごにかこまれた浅瀬）
Chapter  9  THE NEVER BIRD	9. ネバーバード
Chapter  10 THE HAPPY HOME	10. 楽しいわが家
Chapter  11 WENDY'S STORY	11. ウェンディのお話
Chapter  12 THE CHILDREN ARE CARRIED OFF	12. さらわれたコドモたち
Chapter  13 DO YOU BELIEVE IN FARIES?	13. 妖精を信じますか？
Chapter  14 THE PIRATE SHIP	14. 海賊船
Chapter  15 "HOOK OR ME THIS TIME"	15. 今度こそ、フックか僕かだ
Chapter  16 THE RETURN HOME	16. 帰宅
Chapter  17 WHEN WENDY GREW UP	17. オトナになったウェンディ
Chapter 1  PETER BREAKS THROUGH	１章　ピーター登場
All children, except one, grow up.	コドモはみんな成長していくものです、一人を除いては。
They soon know that they will grow up,	コドモは、すぐに自分が成長するものだという事がわかるのです。
and the way Wendy knew was this.	ウェンディが成長するということをわかったのは、このようにしてでした。
One day when she was two years old she was playing in a garden, and she plucked another flower and ran with it to her mother.	２才のある日のこと、庭で遊び、花をつんで、それを持ってウェンディがママの所へ走っていきます。
I suppose she must have looked rather delightful,	そうしているウェンディは、幸福に満ち満ちているように見えたことでしょう。
for Mrs. Darling put her hand to her heart and cried, "Oh, why can't you remain like this for ever!"	ママは、胸に手をあてて「まぁ、どうしてあなたは、ずっとこのままでいられないんでしょうねぇ！
This was all that passed between them on the subject,	コドモの成長について、ママとウェンディの間で交わされた言葉は、これだけです。
but henceforth Wendy knew that she must grow up.	ただこのことによって、ウェンディは、自分が成長しなければならないということをわかったのでした。
You always know after you are two.	２才にもなれば、分かるものです。
Two is the beginning of the end.	２才ともなれば、きざしがあらわれるものなのです。
Of course they lived at 14 [their house number on their street], and until Wendy came her mother was the chief one.	そうそう、ママとウェンディは１４番地に住んでいて、ウェンディが生まれてくるまでは、ママが一家の花でした。
She was a lovely lady, with a romantic mind and such a sweet mocking mouth.	愛らしい少女でロマンティックな心と、とてもかわいらしくこまっしゃくれた口もとをしていました。
Her romantic mind was like the tiny boxes, one within the other, that come from the puzzling East, however many you discover there is always one more;	ロマンティックな心は、まるであの不思議なる東洋から来た、一つの箱の中にもう一つの箱がある入れ子の小さい箱のようで、いくつ箱を開けても、そこにはいつももうひとつ箱があるのです。
and her sweet mocking mouth had one kiss on it that Wendy could never get, though there is was, perfectly conspicuous in the right-hand corner.	ママは、かわいらしくこまっしゃくれた口もとにキスを浮かべていたのですが、右はしにはっきりと見えていて、まさにそこにあるにもかかわらず、ウェンディには決して手が届かなかったのでした。
The way Mr. Darling won her was this:	パパとママが結婚したてんまつは、このようなものでした。
the many gentlemen who had been boys when she was a girl discovered simultaneously that they loved her, and they all ran to her house to propose to her except Mr. Darling,	ママがコドモだった時にコドモだった多くの男の人は、みんないっぺんにママのことを愛していることに気づいて、パパ以外のみんなはママの家にプロポーズするために走って駆けつけたものでした。
who took a cab and nipped in first,	パパはというと、つじ馬車をひろって、真っ先にママの家に飛びこみました。
and so he got her.	そうしてパパとママは結婚しました。
He got all of her, except the innermost box and the kiss.	パパはママの全てを手に入れました、もっともあの一番内側の箱とキス以外の全てだったんですが。
He never knew about the box, and in time he gave up trying for the kiss.	パパは箱のことには気づきもしなかったですし、そしてそのうちキスしてもらうこともあきらめてしまいました。
Wendy thought Napoleon could have got it,	ウェンディは、例えばナポレオンならキスしてもらえるかもと思っていました。
but I can picture him trying, and then going off in a passion, slamming the door.	けれどもわたしには、ナポレオンが挑戦してはみたけれどキスしてもらえず、カンシャクをおこして、ドアをぴしゃりとしめて立ち去るのが目に浮かぶようです。
Mr. Darling used to boast to Wendy	パパは、ウェンディによくこう自慢したものでした。
that her mother not only loved him but respected him.	ママはわしのことを愛しているだけでなく、尊敬もしてるんだよと。
He was one of those deep ones who know about stocks and shares.	パパは債券と株式について、とても詳しい人たちの一人でした。
Of course no one really knows, but he quite seemed to know,	もっとも債券や株式のことを、本当に知ってる人なんていやしなくて、いかにも知ってるように見えたというだけだったんですが。
and he often said stocks were up and shares were down in a way that would have made any woman respect him.	パパはよく債券が上がり、株式が下がると断言したものでした、どんな女の人でもパパを尊敬するにちがいない風に。
Mrs. Darling was married in white, and at first she kept the books perfectly, almost gleefully, as if it were a game, not so much as a Brussels sprout was missing;	ママは白いウェディングドレスで結婚して、最初のうちは完璧に、芽キャベツ１つでさえもらさないように、まるでゲームみたいにまったく楽しそうに家計簿をつけていました。
but by and by whole cauliflowers dropped out, and instead of them there were pictures of babies without faces.	が、そのうちカリフラワー全部もつけそこなって、その代わりに顔のない赤ん坊の絵を書いてるしまつでした。
She drew them when she should have been totting up.	ママは合計しなければならない所に、あかんぼうの絵を書いていたのです。
They were Mrs. Darling's guesses.	それはママの想像するあかんぼうたちなのでした。
Wendy came first, then John, then Michael.	ウェンディが最初に生まれ、それからジョン、マイケルと続きました。
For a week or two after Wendy came it was doubtful whether they would be able to keep her, as she was another mouth to feed.	ウェンディが生まれて一、二週間は、養っていけるかどうかさえ疑わしいものでした、なぜなら養う口が一つふえるわけですから。
Mr. Darling was frightfully proud of her, but he was very honourable, and he sat on the edge of Mrs. Darling's bed, holding her hand and calculating expenses,	パパはウェンディのことを誇らしげにさえ感じていたんですが、とてもきちんとした人でしたから、ママのベッドのはしに腰掛け、ママの手を握りながら出費を計算したのです。
while she looked at him imploringly.	その間ママはパパを哀願するような目で見つめていました。
She wanted to risk it, come what might,	ママはたとえ何があろうとも、とにかく養っていきたいと思っていました。
but that was not his way;	ただそれは、パパの流儀ではなかったのです。
his way was with a pencil and a piece of paper, and if she confused him with suggestions he had to begin at the beginning again.	パパの流儀は鉛筆と紙でもって、きちんと計算することであり、もしママがいろいろ口出しをしてパパを困らせるようだと、再び最初にもどってやり直さなければなりません。
"Now don't interrupt,"	「さて、じゃませんでくれ」
he would beg of her.	パパはママにそう頼んだものでした。
"I have one pound seventeen here, and two and six at the office;	「ここに１ポンド１７シリングある、で事務所には２シリング６ペンスだ。
I can cut off my coffee at the office, say ten shillings,	事務所でコーヒーを飲むのはやめよう、１０シリングだがな。
making two nine and six, with your eighteen and three makes three nine seven,	すると２ポンド９シリング６ペンスで、おまえの１８シリングと３ペンスと合わせて、３ポンド９シリング７ペンスになる。
with five naught naught in my cheque-book makes eight nine seven	そして私の小切手帳の５ポンドで、８ポンド９シリング７ペンスになる。
-- who is that moving?	だれだそこで動いているのは？
-- eight nine seven, dot and carry seven	８ポンド９シリング７ペンス、７ペンスが繰り上がって、
-- don't speak, my own	しゃべるなといったろう、
-- and the pound you lent to that man who came to the door	おまえが玄関の所に来た男に貸した１ポンドを、
-- quiet, child	ウェンディ静かに、
-- dot and carry child	でコドモを繰り上げて、
-- there, you've done it!	あらっ、へまをやったぞ。
-- did I say nine nine seven?	わしは９ポンド９シリング７ペンスって言ったかな。
yes, I said nine nine seven;	そうだな、わしは９ポンド９シリング７ペンスと言ったぞ。
the question is, can we try it for a year on nine nine seven?"	問題はだ、一年を９ポンド９シリング７ペンスでやっていけるかだな？」
"Of course we can, George,"	「もちろん、平気だわ」
she cried.	ママは大声をだしました。
But she was prejudiced in Wendy's favour,	もちろんウェンディの味方をしての発言です。
and he was really the grander character of the two.	ただパパは、ママに比べてすごくしっかりしていました。
"Remember mumps,"	「おたふく風邪もわすれちゃならんしな」
he warned her almost threateningly, and off he went again.	パパはほとんどママを脅すように言うと、再び計算に取りかかりました。
"Mumps one pound, that is what I have put down, but I daresay it will be more like thirty shillings	「おたふく風邪に１ポンド、と書いたものの３０シリングぐらいが適当だな、
-- don't speak	だまってろって、
-- measles one five, German measles half a guinea, makes two fifteen six	はしかが１ポンド５シリング、ふうしんは半ギニーだから２ポンド１５シリング６ペンス、
-- don't waggle your finger	指をふるわせるのはよせったら、
-- whooping-cough, say fifteen shillings"	百日ぜき、そうだな１５シリング」
-- and so on it went, and it added up differently each time;	と続けていくと、やるたびに合計が違うのでした。
but at last Wendy just got through,	で、最後にはとうとうウェンディは合格ということになりました。
with mumps reduced to twelve six, and the two kinds of measles treated as one.	おたふく風邪を１２シリング６ペンス、はしかとふうしんはひとつとして計算したからなんですが．．．
There was the same excitement over John,	ジョンのときもまったく同じ騒動がもちあがり、
and Michael had even a narrower squeak;	マイケルの時にいたってはぎりぎり合格といった具合でした。
but both were kept, and soon, you might have seen the three of them going in a row to Miss Fulsom's Kindergarten school, accompanied by their nurse.	でも２人とも育てられ、すぐに３人のコドモが１列にならんで、乳母が付き添ってフルサム幼稚園に通うのを見ることでしょう。
Mrs. Darling loved to have everything just so, and Mr. Darling had a passion for being exactly like his neighbours;	ママは、なにもかもきちんとしておくのが好きでしたし、パパも隣近所にはひけをとるまいと必死だったので、
