PETER PAN IN KENSINGTON GARDENS 　James Matthew Barrie	ケンジントン公園のピーターパン
Peter Pan	1. ピーターパン
The Thrush's Nest	2. つぐみの巣
The Little House	3. ちいさな家
Lock-Out Time	4. ロック・アウトの時間
Peter Pan	１章　ピーターパンの章
If you ask your mother whether she knew about Peter Pan when she was a little girl she will say,	もしお母さんに、幼かった頃にピーターパンを知っていたかどうかたずねたら、こう答えるでしょう。
"Why, of course, I did, child,"	「もちろん、知っていたに決まってるじゃないの、かわいい子」。
and if you ask her whether he rode on a goat in those days	そしてピーターが、その頃やぎに乗っていたかどうかもたずねたら、
she will say, "What a foolish question to ask, certainly he did."	「なんてばかげたこと聞くの、もちろん乗っていたにきまってるわよ」と答えるでしょう。
Then if you ask your grandmother whether she knew about Peter Pan when she was a girl,	次におばあちゃんに同じ事をたずねても、
she also says, "Why, of course, I did, child,"	「おやまぁ、もちろん知っていたに決まってるよ、かわいい子」と答えるでしょう。
but if you ask her whether he rode on a goat in those days, she says she never heard of his having a goat.	けれども、その頃ピーターはやぎに乗っていたかどうかを聞くと、やぎを飼っていたなんてことは聞いたこともないよ、と答えます。
Perhaps she has forgotten,	たぶんおばあちゃんは忘れてしまったのでしょう。
just as she sometimes forgets your name and calls you Mildred, which is your mother's name.	なんせあなたの名前も時々忘れてしまって、お母さんの名前の「ミルドレッド」と、あなたに呼びかけるくらいですから。
Still, she could hardly forget such an important thing as the goat.	でもやぎみたいな大切なことを、おばあちゃんが思い出せないなんて事があるでしょうか？
Therefore there was no goat when your grandmother was a little girl.	つまりおばあちゃんが幼い頃には、やぎはいなかったのです。
This shows that,	だからこういうことです。
in telling the story of Peter Pan, to begin with the goat (as most people do) is as silly as to put on your jacket before your vest.	ピーターパンのお話をするにあたって、みんながそうするように、やぎのことから始めるのはベストを着る前に上着を着こむほどばかげたことなんです。
Of course, it also shows that Peter is ever so old, but he is really always the same age,	もちろん、ピーターはとても年をとってるってことにもなりますが、実際のところはずっと年をとらないのです。
so that does not matter in the least.	だから年のことなんて全然問題にもなりません。
His age is one week, and though he was born so long ago he has never had a birthday, nor is there the slightest chance of his ever having one.	ピーターの歳は生まれて１週間で、ずっと昔に生まれたのですが、まだ１回も誕生日が来たこともなければ、これから来ることもないでしょう。
The reason is that he escaped from being a human when he was seven days' old;	その理由というのは、生後７日目に人になることから逃げ出したからです。
he escaped by the window and flew back to the Kensington Gardens.	窓から抜けだして、ケンジントン公園へ飛んで帰ってきたのです。
If you think he was the only baby who ever wanted to escape,	これまでで、ピーターが逃げ出したいだなんて思った、たった一人の赤ん坊だったんじゃないの？
it shows how completely you have forgotten your own young days.	と考えるのは、どれほど自分が幼かった頃のことをすっかり忘れてしまっているかを示しているようなものです。
When David heard this story first he was quite certain that he had never tried to escape,	デビットが初めてこの話を聞いたとき、自分は逃げようとした事なんかないや、と思いこんでいたものです。
but I told him to think back hard, pressing his hands to his temples,	私はこめかみを両手で押さえてよく思い出してご覧なさいと言いました。
and when he had done this hard, and even harder, he distinctly remembered a youthful desire to return to the tree-tops, and with that memory came others, as that he had lain in bed planning to escape as soon as his mother was asleep, and how she had once caught him half-way up the chimney.	デビットが一心にそうしてみると、木のてっぺんに戻りたいと幼心に思っていたこと、その記憶が次の記憶へつながって、ベッドに横になっていた時に、お母さんが眠ったらすぐにでも逃げ出す計画を立てていたこと、かつて煙突に半分のぼったところでお母さんにどうやって捕まっちゃったかを、はっきりと思い出したのでした。
All children could have such recollections if they would press their hands hard to their temples,	全ての子供はもしこめかみを両手で強く押さえて思い出せば、このような思い出を持っているものです。
for, having been birds before they were human, they are naturally a little wild during the first few weeks,	なぜなら子供たちは人になる前は鳥だったので、生まれたての数週間はちょっと動物っぽいところがあるのです。
and very itchy at the shoulders, where their wings used to be.	肩の、かつて翼があったあたりがとてもムズムズするのでした。
So David tells me.	これが、デビットが私に話してくれたことです。
I ought to mention here that the following is our way with a story:	私がここで言っておかなきゃいけないのは、私たちの方法でお話するってことです。
First, I tell it to him, and then he tells it to me, the understanding being that it is quite a different story;	つまり最初に私がデビットにお話をして、それからデビットが私にお話をする、そうすると全く違ったお話になるってことが分かるでしょう。
and then I retell it with his additions, and so we go on until no one could say whether it is more his story or mine.	私は自分のお話をデビットの分に足して話すし、話をすすめていけば、デビットのお話なのか私のお話なのか、どちらのお話だなんて誰にもいえなくなるでしょう。
In this story of Peter Pan, for instance, the bald narrative and most of the moral reflections are mine, though not all,	このピーターパンのお話に関して言えば、例えばつまらない部分と、道徳に関しての小言の、全部ではないにしてもほとんどは私のお話です。
for this boy can be a stern moralist,	というのもピーターパンは、きちんと道徳を守ることもあるからです。
but the interesting bits about the ways and customs of babies in the bird-stage are mostly reminiscences of David's,	でも子供が鳥だった頃のやり方や習慣のちょっとしたおもしろいことは、ほとんどデビットが思い出したことです。
recalled by pressing his hands to his temples and thinking hard.	こめかみを強く両手で押えてじっくり考えて。
Well, Peter Pan got out by the window, which had no bars.	さてピーターパンは窓から出て行きましたけど、そこには柵はありませんでした。
Standing on the ledge he could see trees far away,	窓棚の上に立っていると、遠くの木々がみえました。
which were doubtless the Kensington Gardens,	そこは間違いなくケンジントン公園です。
and the moment he saw them he entirely forgot that he was now a little boy in a nightgown,	公園を見ていたときは、ねまきをきた小さな男の子だってことをすっかり忘れていました。
and away he flew, right over the houses to the Gardens.	そして公園まで、家のすぐ上を越えて飛んでいったのです。
It is wonderful that he could fly without wings,	翼もなしに飛ぶことができるなんて不思議です。
but the place itched tremendously,	ただ翼の生える場所は、とてもムズムズするのでした。
and, perhaps we could all fly if we were as dead-confident-sure of our capacity to do it as was bold Peter Pan that evening.	そしてたぶん、勇敢なピーターパンがその夜に飛べるって固く強く信じたほど私たちも信じれば、みんなが空を飛べることでしょう。
He alighted gaily on the open sward, between the Baby's Palace and the Serpentine,	ピーターは、赤ん坊の王宮とサーペンタイン池の間の広々とした芝生に楽しそうに降り立ちました。
and the first thing he did was to lie on his back and kick.	最初にピーターがしたことは仰向けに横たわって、けるように足を動かすことでした。
He was quite unaware already that he had ever been human,	ピーターは、自分がかつて人だったとは全く知りません。
and thought he was a bird, even in appearance, just the same as in his early days,	そして自分は外見も、幼い頃からずっと同じで、鳥のままだと思っていました。
and when he tried to catch a fly he did not understand that the reason he missed it	だからハエを一匹捕まえようとして、失敗してしまう理由が全然わからないのでした。
was because he had attempted to seize it with his hand,	失敗する理由は、手でハエを捕まえようとしていたからなんです。
which, of course, a bird never does.	もちろん鳥はそんなことをしません。
He saw, however, that it must be past Lock-out Time,	でもピーターには、門が閉まる頃に違いないということは分かりました。
for there were a good many fairies about, all too busy to notice him;	なぜなら周りにたくさんの素敵な妖精たちがいましたが、みんな忙しそうにしていて、ピーターに気づかなかったからでした。
they were getting breakfast ready, milking their cows, drawing water, and so on,	妖精たちは、朝食の準備をしたり、牛の乳をしぼったり、水を汲んできたりしていました。
and the sight of the water-pails made him thirsty, so he flew over to the Round Pond to have a drink.	何杯ものバケツに水が入っているのをみて、ピーターはのどが乾き、水を飲むために丸い池まで飛んでいきました。
