THE PIT AND THE PENDULUM	落穴と振子
Edgar Allan Poe	エドガー・アラン・ポー
Impia tortorum longos hic turba furores	「ここにかつて神を恐れざる拷問者の群れ、飽くことなく、
Sanguinis innocui, non satiata, aluit.	罪なき者の血に、長くそが狂暴の呪文（じゅもん）を育（はぐく）みぬ。
Sospite nunc patria, fracto nunc funeris antro,	今や国土やすらかに、恐怖の洞穴はうちこわされ、
Mors ubi dira fuit vita salusque patent.	恐ろしき死のありしところ、生命と平安と現われたり」
- Quatrain composed for the gates of a market to be erected upon the site of the Jacobin Club House in Paris.	〔パリのジャコバン倶楽部の遺趾（いし）に建てらるべき市場の門扉にしるすために作られた四行詩〕
I WAS sick,	私は弱っていた、
sick unto death, with that long agony,	――あの長いあいだの苦痛のために、死にそうなくらいひどく弱っていた。
and when they at length unbound me, and I was permitted to sit, I felt that my senses were leaving me.	そして彼らがやっと私の縛（いまし）めを解いて、坐ることを許してくれたときには、もう知覚が失われるのを感じた。
The sentence, the dread sentence of death, was the last of distinct accentuation which reached my ears.	宣告――恐ろしい死刑の宣告――が私の耳にとどいた最後のはっきりした言葉であった。
After that, the sound of the inquisitorial voices seemed merged in one dreamy indeterminate hum.	それからのちは、宗教裁判（１）官たちの声が、なにか夢のような、はっきりしない、がやがやという音のなかに呑みこまれてしまうように思われた。
It conveyed to my soul the idea of REVOLUTION,	それは私の心に回転という観念を伝えた。
perhaps from its association in fancy with the burr of a mill-wheel.	――たぶん、水車の輪のぎいぎいまわる音を連想したからであったろう。
This only for a brief period, for presently I heard no more.	それもほんのちょっとのあいだであった、やがてもう私にはなにも聞えなくなったから。
Yet, for a while, I saw,	しかし少しのあいだはまだ、私には眼が見えた、
but with how terrible an exaggeration !	――がなんという恐ろしい誇張をもって見えたことであろう！
I saw the lips of the black-robed judges.	私には黒い法服を着た裁判官たちの唇が見えた。
They appeared to me white -- whiter than the sheet upon which I trace these words -- and thin even to grotesqueness;	その唇は白く――いまこれらの言葉を書きつけている紙よりも真っ白に――そして怪奇なほど薄く、その冷酷――動かしがたい決意
thin with the intensity of their expression of firmness, of immovable resolution, of stern contempt of human torture.	――人間の苦痛にたいするむごたらしい軽侮を強く示してあくまでも薄く、私の眼にうつった。
I saw that the decrees of what to me was fate were still issuing from those lips.	私は、自分にとっては運命であるところの判決が、なおその唇から出ているのを見た。
I saw them writhe with a deadly locution.	その唇が恐ろしい話しぶりでねじれるのを見た。
I saw them fashion the syllables of my name,	その唇が私の名の音節を言う形になるのを見た。
and I shuddered, because no sound succeeded.	そしてそれにはなんの音もないので私は戦慄（せんりつ）した。
I saw, too, for a few moments of delirious horror, the soft and nearly imperceptible waving of the sable draperies which enwrapped the walls of the apartment;	私はまた、この無我夢中の恐怖の数瞬間に、その部屋の壁を蔽（おお）うている黒い壁掛けが静かに、ほとんど眼にたたぬほどかすかに、揺れるのを見た。
and then my vision fell upon the seven tall candles upon the table.	それから私の視線はテーブルの上にある七本の高い蝋燭（ろうそく）に落ちた。
At first they wore the aspect of charity, and seemed white slender angels who would save me:	最初はその蝋燭が慈悲深い様子をしていて、自分を救ってくれそうな白いほっそりとした天使たちのように思われた。
but then all at once there came a most deadly nausea over my spirit, and I felt every fibre in my frame thrill, as if I had touched the wire of a galvanic battery, while the angel forms became meaningless spectres, with heads of flame, and I saw that from them there would be no help.	だがその次には、たちまち非常に恐ろしい嫌悪の情が私の心をおそってきて、体じゅうのあらゆる繊維が流電池の線にでも触れたようにぴりぴりと震えるのを感じ、同時に天使の姿は炎の頭をした無意味な妖怪（ようかい）となってしまい、彼らからはなんの救いも得られないということがわかった。
And then there stole into my fancy, like a rich musical note, the thought of what sweet rest there must be in the grave.	それから私の空想のなかへは、墓のなかにはさぞ甘美な休息があるにちがいないという考えが、美しい音楽の調べのように、しのびこんできた。
The thought came gently and stealthily, and it seemed long before it attained full appreciation;	この考えはゆっくりと、またこっそりとやってきて、それを十分味わえるようになるまでにはだいぶ長くかかったようであった。
but just as my spirit came at length properly to feel and entertain it, the figures of the judges vanished, as if magically, from before me;	だが私の心がやっとはっきりとその考えを感じ、それを味わったちょうどその瞬間、裁判官たちの姿は魔法のように私の前から消えた。
the tall candles sank into nothingness;	高い蝋燭は虚無のなかへ沈み、
their flames went out utterly;	その炎もすっかり消えうせてしまった。
the blackness of darkness superened ;	真っ黒な暗闇がそれにつづいた。
all sensations appeared swallowed up in a mad rushing descent as of the soul into Hades.	あらゆる感覚は冥府（めいふ）へ落ちる霊魂のように、狂おしい急激な下降のなかに嚥（の）みこまれるように思われた。
Then silence, and stillness, and night were the universe.	そのあとはただ、沈黙と、静止と、夜とが、宇宙全体であった。
I had swooned;	私は気絶していたのであった。
