High above the city, on a tall column, stood the statue of the Happy Prince.	町の上に高く柱がそびえ、その上に幸福の王子の像が立っていました。
He was gilded all over with thin leaves of fine gold, for eyes he had two bright sapphires, and a large red ruby glowed on his sword-hilt.	王子の像は全体を薄い純金で覆われ、 目は二つの輝くサファイアで、 王子の剣のつかには大きな赤いルビーが光っていました。
He was very much admired indeed.	王子は皆の自慢でした。
"He is as beautiful as a weathercock,"	「風見鶏と同じくらいに美しい」
remarked one of the Town Councillors who wished to gain a reputation for having artistic tastes;	と、 芸術的なセンスがあるという評判を得たがっている一人の市会議員が言いました。
"only not quite so useful,"	「もっとも風見鶏ほど便利じゃないがね」
he added,	と付け加えて言いました。
fearing lest people should think him unpractical,	これは夢想家だと思われないように、と心配したからです。
which he really was not.	実際には彼は夢想家なんかじゃなかったのですが。
"Why can't you be like the Happy Prince?"	「どうしてあの幸福の王子みたいにちゃんとできないの」
asked a sensible mother of her little boy who was crying for the moon.	月が欲しいと泣いている幼い男の子に、賢明なお母さんが聞きました。
"The Happy Prince never dreams of crying for anything."	「幸福の王子は決して何かを欲しがって泣いたりしないのよ」
"I am glad there is some one in the world who is quite happy,"	「この世界の中にも、本当に幸福な人がいる、というのはうれしいことだ」
muttered a disappointed man as he gazed at the wonderful statue.	失望した男が、この素晴らしい像を見つめてつぶやきました。
"He looks just like an angel,"	「天使のようだね」
said the Charity Children as they came out of the cathedral in their bright scarlet cloaks and their clean white pinafores.	と、 明るい赤のマントときれいな白い袖なしドレスを来た養育院の子供たちが聖堂から出てきて言いました。
"How do you know?"	「どうしてそのようなことがわかるのかね」
said the Mathematical Master,	と数学教師がいいました。
"you have never seen one."	「天使など見たことがないのに」
"Ah! but we have, in our dreams,"	「ああ、でも見たことはありますよ。夢の中で」
answered the children;	と子供たちは答えました。
and the Mathematical Master frowned and looked very severe,	すると数学教師は眉をひそめてとても厳しい顔つきをしました。
for he did not approve of children dreaming.	というのは彼は子供たちが夢を見ることはよろしくないと考えていたからです。
One night there flew over the city a little Swallow.	ある晩、その町に小さなツバメが飛んできました。
His friends had gone away to Egypt six weeks before, but he had stayed behind,	友達らはすでに六週間前にエジプトに出発していましたが、 そのツバメは残っていました。
for he was in love with the most beautiful Reed.	彼は最高にきれいな葦に恋をしていたからです。
He had met her early in the spring as he was flying down the river after a big yellow moth,	ツバメが彼女に出会ったのは春のはじめ、 大きくて黄色い蛾を追って川の下流へ向かって飛んでいたときでした。
and had been so attracted by her slender waist that he had stopped to talk to her.	葦のすらっとした腰があまりにも魅力的だったので、 ツバメは立ち止まって彼女に話しかけたのです。
"Shall I love you?"	「君を好きになってもいいかい」
said the Swallow,	とツバメは言いました。
who liked to come to the point at once,	ツバメは単刀直入に話すのが好きでした。
and the Reed made him a low bow.	葦は深くうなずきました。
So he flew round and round her, touching the water with his wings, and making silver ripples.	そこでツバメは、翼で水に触れながら彼女の周りをぐるぐると回り、 銀色のさざなみを立てました。
This was his courtship, and it lasted all through the summer.	これはツバメからのラブコールで、それは夏中続きました。
"It is a ridiculous attachment,"	「彼女はおかしな恋人だね」
twittered the other Swallows;	と他のツバメたちがぺちゃぺちゃ言いました。
"she has no money, and far too many relations";	「財産はないくせに、親戚は多すぎるときてる」
and indeed the river was quite full of Reeds.	実際、その川は葦でいっぱいだったのです。
Then, when the autumn came they all flew away.	やがて、秋が来るとそのツバメたちもみんな飛んでいってしまいました。
After they had gone he felt lonely, and began to tire of his lady- love.	みんなが行ってしまうと、ツバメはさびしくなり、自分の恋人にも飽き始めました。
"She has no conversation,"	「彼女は何も話してくれないしな」
he said,	ツバメは言いました。
"and I am afraid that she is a coquette,	「それに浮気っぽいんじゃないかと思うんだ。
for she is always flirting with the wind."	だって彼女はいつも風といちゃついてるんだから」
And certainly,whenever the wind blew, the Reed made the most graceful curtseys.	確かに、風が吹くといつも、葦は最高に優美なおじぎをするのでした。
"I admit that she is domestic,"	「彼女は家庭的なのは認めるけれど」
he continued,	とツバメは続けました。
"but I love travelling, and my wife, consequently, should love travelling also."	「でも、僕は旅をするのが好きなんだから、僕の妻たるものも、 旅をするのが好きでなくっちゃ」
"Will you come away with me?" he said finally to her;	とうとうツバメは「僕と一緒に行ってくれないか」と彼女に言いました。
but the Reed shook her head,	でも葦は首を横に振りました。
she was so attached to her home.	彼女は自分の家にとても愛着があったのです。
"You have been trifling with me,"	「君は僕のことをもてあそんでいたんだな」
he cried.	とツバメは叫びました。
"I am off to the Pyramids.Good-bye!"	「僕はピラミッドに出発するよ。じゃあね」
and he flew away.	ツバメは飛び去りました。
All day long he flew, and at night-time he arrived at the city.	一日中ツバメは飛び、夜になって町に着きました。
"Where shall I put up?"	「どこに泊まったらいいかな」
he said;	とツバメは言いました。
"I hope the town has made preparations."	「泊まれるようなところがあればいいんだけれど」
Then he saw the statue on the tall column.	それからツバメは高い柱の上の像を見ました。
"I will put up there,"	「あそこに泊まることにしよう」
he cried;	と声をあげました。
"it is a fine position, with plenty of fresh air."	「あれはいい場所だ、新鮮な空気もたくさん吸えるし」
So he alighted just between the feet of the Happy Prince.	そしてツバメは幸福の王子の両足のちょうど間に止まりました。
"I have a golden bedroom,"	「黄金のベッドルームだ」
he said softly to himself as he looked round, and he prepared to go to sleep;	ツバメはあたりを見まわしながらそっと一人で言い、 眠ろうとしました。
but just as he was putting his head under his wing a large drop of water fell on him.	ところが、頭を翼の中に入れようとしたとたん、 大きな水の粒がツバメの上に落ちてきました。
"What a curious thing!"	「何て不思議なんだ！」
he cried;	とツバメは大きな声をあげました。
"there is not a single cloud in the sky, the stars are quite clear and bright, and yet it is raining.	「空には雲一つなく、星はとてもくっきりと輝いているというのに、雨が降っているなんて。
The climate in the north of Europe is really dreadful.	北ヨーロッパの天候はまったくひどいもんだね。
The Reed used to like the rain, but that was merely her selfishness."	あの葦は雨が好きだったが、それは単なる自己中心だったし」
Then another drop fell.	すると、もう一滴落ちてきました。
"What is the use of a statue if it cannot keep the rain off?"	「雨よけにならないんだったら、像なんて何の役にも立たないな」
he said;	とツバメは言いました。
"I must look for a good chimney-pot,"	「もっといい煙突を探さなくちゃ」
and he determined to fly away.	ツバメは飛び立とうと決心しました。
But before he had opened his wings, a third drop fell, and he looked up,	でも、翼を広げるよりも前に、 三番目の水滴が落ちてきて、ツバメは上を見上げました。
and saw - Ah! what did he see?	すると――何が見えたでしょうか。
The eyes of the Happy Prince were filled with tears,	幸福の王子の両眼は涙でいっぱいになっていました。
and tears were running down his golden cheeks.	そしてその涙は王子の黄金の頬を流れていたのです。
His face was so beautiful in the moonlight that the little Swallow was filled with pity.	王子の顔は月光の中でとても美しく、 小さなツバメはかわいそうな気持ちでいっぱいになりました。
"Who are you?"	「あなたはどなたですか」
he said.	ツバメは尋ねました。
"I am the Happy Prince."	「私は幸福の王子だ」
"Why are you weeping then?"	「それなら、どうして泣いているんですか」
asked the Swallow;	とツバメは尋ねました。
"you have quite drenched me."	「もう僕はぐしょぬれですよ」
"When I was alive and had a human heart,"	「まだ私が生きていて、人間の心を持っていたときのことだった」
answered the statue,	と像は答えました。
"I did not know what tears were,	「私は涙というものがどんなものかを知らなかった。
for I lived in the Palace of Sans- Souci, where sorrow is not allowed to enter.	というのは私はサンスーシの宮殿に住んでいて、 そこには悲しみが入り込むことはなかったからだ。
In the daytime I played with my companions in the garden, and in the evening I led the dance in the Great Hall.	昼間は友人たちと庭園で遊び、夜になると大広間で先頭切ってダンスを踊ったのだ。
Round the garden ran a very lofty wall, but I never cared to ask what lay beyond it,	庭園の周りにはとても高い塀がめぐらされていて、 私は一度もその向こうに何があるのかを気にかけたことがなかった。
everything about me was so beautiful.	周りには、非常に美しいものしかなかった。
My courtiers called me the Happy Prince,	廷臣たちは私を幸福の王子と呼んだ。
and happy indeed I was, if pleasure be happiness.	実際、幸福だったのだ、もしも快楽が幸福だというならば。
So I lived, and so I died.	私は幸福に生き、幸福に死んだ。
And now that I am dead they have set me up here so high that I can see all the ugliness and all the misery of my city,	死んでから、人々は私をこの高い場所に置いた。ここからは町のすべての醜悪なこと、すべての悲惨なことが見える。
and though my heart is made of lead yet I cannot chose but weep."	私の心臓は鉛でできているけれど、泣かずにはいられないのだ」
"What! is he not solid gold?"	「何だって！　この王子は中まで金でできているんじゃないのか」
said the Swallow to himself.	とツバメは心の中で思いました。
He was too polite to make any personal remarks out loud.	けれどツバメは礼儀正しかったので、個人的な意見は声に出しませんでした。
"Far away,"	「ずっと向こうの」
continued the statue in a low musical voice,	と、王子の像は低く調子のよい声で続けました。
"far away in a little street there is a poor house.	「ずっと向こうの小さな通りに貧しい家がある。
One of the windows is open, and through it I can see a woman seated at a table.	窓が一つ開いていて、テーブルについたご婦人が見える。
Her face is thin and worn,	顔はやせこけ、疲れている。
and she has coarse, red hands, all pricked by the needle,	彼女の手は荒れ、縫い針で傷ついて赤くなっている。
for she is a seamstress.	彼女はお針子をしているのだ。
She is embroidering passion- flowers on a satin gown for the loveliest of the Queen's maids-of- honour to wear at the next Court-ball.	その婦人はトケイソウ〔訳注：(passion-flower)この花の副花冠はキリストのいばらの冠に似ているという〕の花をサテンのガウンに刺繍しようとしている。そのガウンは女王様の一番可愛い侍女のためのもので、 次の舞踏会に着ることになっているのだ。
In a bed in the corner of the room her little boy is lying ill.	その部屋の隅のベッドでは、幼い息子が病のために横になっている。
He has a fever, and is asking for oranges.	熱があって、オレンジが食べたいと言っている。
His mother has nothing to give him but river water, so he is crying.	母親が与えられるものは川の水だけなので、その子は泣いている。
Swallow, Swallow, little Swallow,	ツバメさん、ツバメさん、小さなツバメさん。
will you not bring her the ruby out of my sword-hilt?	私の剣のつかからルビーを取り出して、あの婦人にあげてくれないか。
My feet are fastened to this pedestal and I cannot move."	両足がこの台座に固定されているから、私は行けないのだ」
"I am waited for in Egypt,"	「私はエジプトに行きたいんです」
said the Swallow.	とツバメは言いました。
"My friends are flying up and down the Nile, and talking to the large lotus- flowers.	「友人たちはナイル川に沿って飛びまわったり、大きな蓮の花に話しかけたりしています。
Soon they will go to sleep in the tomb of the great King.	まもなく、みんなは偉大な王の墓の中で眠ります。
The King is there himself in his painted coffin.	王もまた、そこの彩られた棺の中にいます。
He is wrapped in yellow linen, and embalmed with spices.	王は黄色の亜麻布で包まれ、香料を使ってミイラになっています。
Round his neck is a chain of pale green jade, and his hands are like withered leaves."	首には青緑色の翡翠の首飾りがかけられ、王の両手はまるでしおれた葉のようなんですよ」
"Swallow, Swallow, little Swallow,"	「ツバメさん、ツバメさん、小さなツバメさん」
said the Prince,	と王子は言いました。
"will you not stay with me for one night, and be my messenger?	「もう一晩泊まって、私のお使いをしてくれないか。
The boy is so thirsty, and the mother so sad."	あの子はとても喉が乾いていて、お母さんはとても悲しんでいるのだよ」
"I don't think I like boys,"	「私は男の子が好きじゃないんです」
answered the Swallow.	とツバメは答えました。
"Last summer, when I was staying on the river, there were two rude boys,	「去年の夏、川のほとりにいたとき、二人の乱暴な男の子がおりました。
the miller's sons, who were always throwing stones at me.	粉引きの息子たちで、二人はいつも僕に石を投げつけました。
They never hit me, of course;	もちろん一回も当たりませんでしたよ。
we swallows fly far too well for that, and besides, I come of a family famous for its agility;	僕たちツバメはそういうときにはとてもうまく飛びますし、その上、僕は機敏さで有名な家系の出ですから。
but still, it was a mark of disrespect."	でも、石を投げてくるっていうのは失礼な証拠ですよね」
But the Happy Prince looked so sad that the little Swallow was sorry.	でも、幸福の王子がとても悲しそうな顔をしましたので、小さなツバメもすまない気持ちになりました。
"It is very cold here,"	「ここはとても寒いですね」
he said;	とツバメは言いました。
"but I will stay with you for one night, and be your messenger."	「でも、あなたのところに一晩泊まって、あなたのお使いをいたしましょう」
"Thank you, little Swallow,"	「ありがとう、小さなツバメさん」
said the Prince.	と王子は言いました。
So the Swallow picked out the great ruby from the Prince's sword, and flew away with it in his beak over the roofs of the town.	そこでツバメは王子の剣から大きなルビーを取り出すと、 くちばしにくわえ、町の屋根を飛び越えて出かけました。
He passed by the cathedral tower, where the white marble angels were sculptured.	ツバメは、白い大理石の天使が彫刻されている聖堂の塔を通りすぎました。
He passed by the palace and heard the sound of dancing.	宮殿を通りすぎるとき、ダンスを踊っている音が聞こえました。
A beautiful girl came out on the balcony with her lover.	美しい女の子が恋人と一緒にバルコニーに出てきました。
"How wonderful the stars are,"	「何て素晴らしい星だろう」
he said to her,	彼は女の子に言いました。
"and how wonderful is the power of love!"	「そして愛の力は何と素晴らしいことだろう」
"I hope my dress will be ready in time for the State-ball,"	「私のドレスが舞踏会に間に合うといいわ」
she answered;	と女の子が答えました。
