A Modest Proposal for preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick.	日本語題：アイルランドにおける貧民の子女が、その両親ならびに国家にとっての重荷となることを防止し、かつ社会に対して有用ならしめんとする方法についての私案
Jonathan Swift	ジョナサン・スウィフト
It is a melancholy object to those, who walk through this great town, or travel in the country,	この大きい街を歩いたり、田舎を旅行したりすると、目の前にはゆううつな光景が展開される。
when they see the streets, the roads and cabbin-doors crowded with beggars of the female sex,	通りを歩けば、街路や人家の入り口に女乞食が群がっている。
followed by three, four, or six children,	その女乞食の後に、三人、四人、六人と子供がついてきている。
all in rags, and importuning every passenger for an alms.	みな襤褸《ぼろ》をまとい、道行く人に施しを乞うているのだ。
These mothers instead of being able to work for their honest livelihood, are forced to employ all their time in stroling to beg sustenance for their helpless infants	彼女たちはまっとうな暮らしができるような仕事に就けず、日がな一日うろつきまわり、無力な子供たちのために食を乞わねばならない。
who, as they grow up, either turn thieves for want of work, or leave their dear native country, to fight for the Pretender in Spain, or sell themselves to the Barbadoes.	子供が成長したとしても、仕事がないので泥棒になるか、懐かしい故郷を棄てて、スペインから王位を窺《うかが》う者のために戦うか、バルバドス島［＃注一］に身を売ったりしなければならない。
I think it is agreed by all parties,	当事者であれば、以下のことに同意してもらえるだろう。
that this prodigious number of children in the arms, or on the backs, or at the heels of their mothers, and frequently of their fathers,	我が王国において、厖大な量の子供が、乞食である母親（父親のときもある）の腕に抱かれたり、背中に背負われたり、後ろを歩いていたりしている。
is in the present deplorable state of the kingdom, a very great additional grievance;	子供たちは悲惨な状態にあって、非常に多くの問題をもたらしている。
and therefore whoever could find out a fair, cheap and easy method of making these children sound and useful members of the common-wealth, would deserve so well of the publick, as to have his statue set up for a preserver of the nation.	それゆえ、子供たちを社会にとって健全かつ有用な社会的財産にするための、公正で、安価で、簡単に実行できる方策を発見できる者がいるならば、その者は社会にとって望ましい人であるから、国家の保護者として銅像を設置するに値しよう。
But my intention is very far from being confined to provide only for the children of professed beggars:	だが私の目的は、ただ公然たる乞食の子供を救うにとどまらない。
it is of a much greater extent, and shall take in the whole number of infants at a certain age, who are born of parents in effect as little able to support them, as those who demand our charity in the streets.	より広義の目的は、ある特定の世代における子供全体の数を減らし、その子供を産んだ親を実質的に援助し、それによって通りで慈悲を乞う人々を助けようとすることにあるのだ。
As to my own part, having turned my thoughts for many years, upon this important subject, and maturely weighed the several schemes of our projectors,	私は数年間、この重要な問題について思いをめぐらし、他の方々の計画を慎重に見ていった。
I have always found them grossly mistaken in their computation.	その結果、この方たちは大きな計算違いをしておられると考えざるをえなかった。
It is true, a child just dropt from its dam, may be supported by her milk, for a solar year, with little other nourishment:	確かに、生まれたばかりの赤ん坊は、丸一年間は母親の乳で育てられ、他の食べ物はわずかですむ。
at most not above the value of two shillings,	二シリングもあれば十分だろう。
which the mother may certainly get, or the value in scraps, by her lawful occupation of begging;	母親もそれくらいの金や残飯は、乞食商売で正当に稼げるだろう。
and it is exactly at one year old that I propose to provide for them in such a manner,	私の提案は、子供が丸一歳になった時に救いの手を伸ばそうというものである。
as, instead of being a charge upon their parents, or the parish, or wanting food and raiment for the rest of their lives, they shall, on the contrary, contribute to the feeding, and partly to the cloathing of many thousands.	この提案を実行すれば、子供が両親や教区に負担をかけたり、死ぬまで衣食に苦労させるかわりに、何千もの人々に食料と（幾分かは）衣料を提供することになるのだ。
There is likewise another great advantage in my scheme,	私の提案にはもう一つ大きな利点がある。
that it will prevent those voluntary abortions, and that horrid practice of women murdering their bastard children,	それは、堕胎を防止し、母親が私生児を殺すという恐ろしい事態を防ぐことができるのだ。
alas!	ああ！
too frequent among us, sacrificing the poor innocent babes,	そんなことが我が国で横行し、無垢な赤ん坊を死に追いやっているのだ。
I doubt, more to avoid the expence than the shame, which would move tears and pity in the most savage and inhuman breast.	おそらく恥辱を隠すためというよりは出費を避けるためであろうが、これにはいかに極悪非道な者の胸にも同情の涙を催さずにはいられないであろう。
The number of souls in this kingdom being usually reckoned one million and a half,	我が王国における人口は普通百五十万とみなされている。
of these I calculate there may be about two hundred thousand couple whose wives are breeders;	この中に子供を産む夫婦はおよそ二十万組いるものと推定される。
from which number I subtract thirty thousand couple, who are able to maintain their own children,	このうち三万組は、自分の子供を育てられる者として勘定に入れない。
(although I apprehend there cannot be so many, under the present distresses of the kingdom) but this being granted, there will remain an hundred and seventy thousand breeders.	王国の現在の窮状では三万は多すぎるかもしれないが、そういうことにしておくと、十七万組が残る。
