The String Quartet	弦楽四重奏
Virginia Woolf	ヴァージニア・ウルフ
WELL, HERE WE are,	さ、つきましたよ。
and if you cast your eye over the room you will see that Tubes and trams and omnibuses, private carriages not a few, even, I venture to believe, landaus with bays in them, have been busy at it, weaving threads from one end of London to the other.	もし部屋の向こうに目を向けていただければ、地下鉄や路面電車やバス、自家用車も少なくないでしょうし、あえて信じるのですけれども、鹿毛馬をつないだランドー馬車でさえもが、せわしなく、ロンドンのはてから反対側のはてまでを縫うようにして駆けまわっているのをごらんになることでしょう。
Yet I begin to have my doubts;	それでも私は疑いはじめますけれど
If indeed it's true,	――もし、ほんとうにそれが真実ならば。
as they're saying, that Regent Street is up, and the Treaty signed, and the weather not cold for the time of year, and even at that rent not a flat to be had, and the worst of influenza its after effects;	噂どおり、リージェント街が閉ざされ、条約が結ばれ、季節のわりに寒くなく、それでいてフラットひとつ借りられず、しかもインフルエンザが猛威をふるっているのならば。
if I bethink me of having forgotten to write about the leak in the larder, and left my glove in the train;	もし、食料貯蔵庫にできた隙間について書き忘れていると、列車に手袋を置いてきてしまったと私が考えてみたとしたならば。
if the ties of blood require me, leaning forward, to accept cordially the hand which is perhaps offered hesitatingly;	もし、血のつながりが、前方に屈みこめ、そしておそらくはためらいがちに差し出されてくるであろうその手を暖かく握りかえせ、と私に求めてくるとしたならば――
"Seven years since we met!"	「7年ぶりですね！」
"The last time in Venice."	「最後にお会いしたのはヴェニスでしたか」
"And where are you living now?"	「いまはどちらにお住まいですか？」
"Well, the late afternoon suits me the best,	「そうですね、夕暮れどきがいちばん都合がいいのです。
though, if it weren't asking too much;"	といっても、それがわがままにすぎないんでしたら――」
"But I knew you at once!"	「え、私はすぐにあなただと分かったんですよ！」
"Still, the war made a break;"	「それでも、戦争は断絶を生みだして――」
If the mind's shot through by such little arrows, and;	もし、心はかくも小さな矢でうちぬかれ、なおかつ
for human society compels it;	――人間社会がそれを強制するがゆえに
no sooner is one launched than another presses forward;	――ひとつが到達したとたん、次が放たれるのならば。
if this engenders heat and in addition they've turned on the electric light;	もし、これが熱をもたらし、なおかつ、電灯を灯すのであれば。
if saying one thing does, in so many cases, leave behind it a need to improve and revise, stirring besides regrets, pleasures, vanities, and desires;	もし、語られることが、多くの場合で、改善と改訂の必要性を裏に秘めるものであり、後悔や喜びや自惚れや欲望をかきたてるにすぎないのであれば
if it's all the facts I mean, and the hats, the fur boas, the gentlemen's swallow-tail coats, and pearl tie-pins that come to the surface;	――もし、これらすべてが、そして表面化してきた帽子が、毛皮のコートが、紳士方の燕尾服が、真珠のタイピンが、真実だとしたならば
what chance is there?	――そこに、なんのチャンスがある？
Of what?	何をするための？
It becomes every minute more difficult to say why, in spite of everything,	もうそれを口にすることはできないし、それが最後に起きたその時期を思い出すことすらできない。
I sit here believing I can't now say what, or even remember the last time it happened.	結局のところそう信じて私はここに座っているのだが、なぜそう信じているのかその理由を言うのはどんどんむずかしくなっていく。
"Did you see the procession?"	「パレードはごらんになりましたか？」
"The King looked cold."	「王さまは冷たそうでしたね」
"No, no, no.	ちがう、ちがう。
But what was it?"	だが、それはなんだったのか？
"She's bought a house at Malmesbury."	「彼女はマームズベリーに家を買いましたよ」
"How lucky to find one!"	「物件があったんですか。
On the contrary, it seems to me pretty sure that she,	逆に、私にとっては彼女が
whoever she may be,	――彼女というのが誰であるにせよ
is damned,	――破滅したのはまちがいのないことのように思える。
since it's all a matter of flats and hats and sea gulls, or so it seems to be for a hundred people sitting here well dressed, walled in, furred, replete.	というのも、それはすべてフラットや帽子や海鳥の問題であり、さもなくばそれはここに腰を落ち着けている、着飾り、ふさぎこみ、憤怒する、飽食したあまたの人々のせいでそう思えるのだろう。
Not that I can boast,	私にはそれを鼻にかけることはできない。
since I too sit passive on a gilt chair,	私もまたなすすべなく山吹色の椅子に腰を落ち着けているのだから。
only turning the earth above a buried memory,	ただ埋め捨てられた記憶をおおう土をほりかえすだけ。
as we all do,	だれもがするように。
for there are signs, if I'm not mistaken, that we're all recalling something, furtively seeking something.	なぜならそこには、私が間違っていなければ、我々のすべてに何かを思い起こさせるしるしが、密かに何かを探し求めさせる兆候があるのだ。
Why fidget?	なにを気にしている？
Why so anxious about the sit of cloaks;	なぜマントの並びを心配する？
and gloves;	なぜグローブを
whether to button or unbutton?	――ボタンが留まっているかどうか心配する？
Then watch that elderly face against the dark canvas,	それから、薄暗いカンバスに向けられたあの年老いた顔をよく見てごらん。
a moment ago urbane and flushed; now taciturn and sad, as if in shadow.	一瞬前まではあかぬけてはつらつとしていた、そして今は、まるで陰がさしたかのようにふさぎこみ、落ちこんだあの顔を。
