AFTER THE RACE	レースの後に
THE cars came scudding in towards Dublin, running evenly like pellets in the groove of the Naas Road.	車は次々にダブリンに向け、ネイスロードの轍の上を弾丸となって滑るように飛んできた。
At the crest of the hill at Inchicore sightseers had gathered in clumps to watch the cars careering homeward and through this channel of poverty and inaction the Continent sped its wealth and industry.	インチコアの丘の頂上では、いくつかのかたまりになって集まる見物人たちが帰路を疾走する車を見つめ、この貧困と怠惰の海峡を貫いて大陸がその富裕と勤勉を急送した。
Now and again the clumps of people raised the cheer of the gratefully oppressed.	時々群衆から抑圧を忝なくする者たちの喝采がわき起こった。
Their sympathy, however, was for the blue cars	しかし彼らの共感は青い車たちに向けられた
--the cars of their friends, the French.	−−彼らの味方、フランス人の車だ。
The French, moreover, were virtual victors.	しかもフランス勢は事実上、勝者だった。
Their team had finished solidly;	彼らのチームは結束してフィニッシュした。
they had been placed second and third and the driver of the winning German car was reported a Belgian.	彼らは二位と三位となり、勝ったドイツ車のドライバーはベルギー人と報じられた。
Each blue car, therefore, received a double measure of welcome as it topped the crest of the hill and each cheer of welcome was acknowledged with smiles and nods by those in the car.	どの青い車も、それゆえ、丘の頂上を極める時に倍の歓迎を受け、車の中の連中は歓迎の喝采のたびに微笑や会釈で応えた。
In one of these trimly built cars was a party of four young men whose spirits seemed to be at present well above the level of successful Gallicism:	これら優れた出来の車の一つに四人の若者の一団が乗っていて、目下その気分は上々、フランス語特有のうまい表現も見つからないほどだった。
in fact, these four young men were almost hilarious.	実際、この四人の若者はほとんど浮かれ騒いでいた。
They were Charles Segouin, the owner of the car;	車の所有者のシャルル・セグアン、
Andre Riviere, a young electrician of Canadian birth;	カナダ生まれの若い電気技師のアンドレ・リヴィエール、
a huge Hungarian named Villona and a neatly groomed young man named Doyle.	巨漢のハンガリー人で名前はヴィローナ、身だしなみのよい若い男で名前はドイルの四人だった。
Segouin was in good humour because he had unexpectedly received some orders in advance (he was about to start a motor establishment in Paris) and Riviere was in good humour because he was to be appointed manager of the establishment;	セグアンがご機嫌なのは思いがけなくも前もっていくつか注文があったから（彼はパリで自動車会社を始めようとしていた）で、リヴィエールがご機嫌なのはその会社の経営者に任命されることになっていたからだ。
these two young men (who were cousins) were also in good humour because of the success of the French cars.	この（いとこ同士である）二人の若い男がご機嫌なのにはフランス車が成功したこともあった。
Villona was in good humour because he had had a very satisfactory luncheon;	ヴィローナがご機嫌なのは昼食にとても満足したからだ。
and besides he was an optimist by nature.	その上、彼は生まれつき楽天家だった。
The fourth member of the party, however, was too excited to be genuinely happy.	しかし一行の四番目のメンバーは興奮しすぎていて本当に幸せとは言えなかった。
He was about twenty-six years of age, with a soft, light brown moustache and rather innocent-looking grey eyes.	彼は二十六歳ぐらい、柔らかな薄茶色の口ひげ、少々無邪気に見える灰色の目をしていた。
His father, who had begun life as an advanced Nationalist, had modified his views early.	彼の父親は進歩的な民族主義者として世に出たが、早々にその考えを修正した。
He had made his money as a butcher in Kingstown and by opening shops in Dublin and in the suburbs he had made his money many times over.	彼はキングスタウンで肉屋をやって金を儲け、ダブリンやその郊外にいくつもの店を開き、さらに重ねて金を儲けた。
He had also been fortunate enough to secure some of the police contracts and in the end he had become rich enough to be alluded to in the Dublin newspapers as a merchant prince.	また彼は幸運至極にも警察の契約も一部取り付け、最後にはダブリンの新聞紙上でも豪商として言及されるほど金持ちになった。
He had sent his son to England to be educated in a big Catholic college and had afterwards sent him to Dublin University to study law.	彼は息子をイングランドにやり、大きなカトリック系の学校で教育を受けさせ、その後法律の勉強をとダブリン大学へやった。
Jimmy did not study very earnestly and took to bad courses for a while.	ジミーはあまりまじめに勉強せず、しばらく不品行にのめり込んだ。
He had money and he was popular;	彼は金を持っていて人気があった。
and he divided his time curiously between musical and motoring circles.	で、彼は欲張って音楽のサークルと自動車のサークルに自分の時間を振り分けていた。
