The Restaurant of Many Orders	注文の多い料理店
Miyazawa Kenji	宮沢賢治
Once there were two young gentlemen deep in the mountains, among the dry leaves. They were dressed just like British soldiers and carried shiny guns. With them were two dogs that looked like polar bears. One of them said something like this:	二人の若い紳士（しんし）が、すっかりイギリスの兵隊のかたちをして、ぴかぴかする鉄砲（てっぽう）をかついで、白熊（しろくま）のような犬を二疋（ひき）つれて、だいぶ山奥（やまおく）の、木の葉のかさかさしたとこを、こんなことを云（い）いながら、あるいておりました。
“What’s wrong with these mountains?	「ぜんたい、ここらの山は怪（け）しからんね。
We haven’t seen a single bird nor beast!	鳥も獣（けもの）も一疋も居やがらん。
I wish something would show up so that I could shoot it. Bang! Baang!”	なんでも構わないから、早くタンタアーンと、やって見たいもんだなあ。」
“Wouldn’t it be nice to put a couple of bullets into the yellow belly of a deer about now!	「鹿（しか）の黄いろな横っ腹なんぞに、二三発お見舞（みまい）もうしたら、ずいぶん痛快だろうねえ。
To watch it spin about a couple of times before it fell down dead!”	くるくるまわって、それからどたっと倒（たお）れるだろうねえ。」
They were deep in the mountains.	それはだいぶの山奥でした。
So deep, in fact, that even their hunter guide had gotten lost and wandered off.	案内してきた専門の鉄砲打ちも、ちょっとまごついて、どこかへ行ってしまったくらいの山奥でした。
So deep, in fact, that even those dogs that looked like polar bears both got dizzy, and howled, and foamed at the mouth, and dropped dead.	それに、あんまり山が物凄（ものすご）いので、その白熊のような犬が、二疋いっしょにめまいを起こして、しばらく吠（うな）って、それから泡（あわ）を吐（は）いて死んでしまいました。
“Well there goes 2,400 yen!”	「じつにぼくは、二千四百円の損害だ」
said one of the men, peeling back his dog’s eyelid.	と一人の紳士が、その犬の眼（ま）ぶたを、ちょっとかえしてみて言いました。
“Well mine was 2,800 yen!”	「ぼくは二千八百円の損害だ。」
said the other man, his head lowered in regret.	と、もひとりが、くやしそうに、あたまをまげて言いました。
The first gentleman went pale, and he carefully watched the other gentleman’s expression as he said,	はじめの紳士は、すこし顔いろを悪くして、じっと、もひとりの紳士の、顔つきを見ながら云いました。
“I think we should head back.”	「ぼくはもう戻（もど）ろうとおもう。」
“I think we should head back, too. The weather has gotten cold, and I’ve gotten hungry.”	「さあ、ぼくもちょうど寒くはなったし腹は空（す）いてきたし戻ろうとおもう。」
“Well then let’s call it quits.	「そいじゃ、これで切りあげよう。
On the way back, we can stop by that inn we stayed at yesterday and buy some game birds.”	なあに戻りに、昨日（きのう）の宿屋で、山鳥を拾円（じゅうえん）も買って帰ればいい。」
“They had rabbit, too, didn’t they?	「兎（うさぎ）もでていたねえ。
It’ll be just as if we hunted them ourselves.	そうすれば結局おんなじこった。
Well, let’s get going, then.”	では帰ろうじゃないか」
But wouldn’t you know, they had no idea which direction would get them back.	ところがどうも困ったことは、どっちへ行けば戻れるのか、いっこうに見当がつかなくなっていました。
The wind howled, the grass rustled, the leaves whispered, the trees creaked.	風がどうと吹（ふ）いてきて、草はざわざわ、木の葉はかさかさ、木はごとんごとんと鳴りました。
“I’m so hungry!	「どうも腹が空いた。
I’ve had a pain in my side since a while back.”	さっきから横っ腹が痛くてたまらないんだ。」
“Me, too.	「ぼくもそうだ。
I hope we don’t have to walk much further.”	もうあんまりあるきたくないな。」
“I hope so, too.	「あるきたくないよ。
Oh, what shall we do?	ああ困ったなあ、
I really want something to eat!”	何かたべたいなあ。」
“I really want something to eat, too!”	「喰（た）べたいもんだなあ」
The two gentlemen carried on like that as they walked through the rustling grass.	二人の紳士は、ざわざわ鳴るすすきの中で、こんなことを云いました。
Glancing behind, one of them saw an impressive Western-style house.	その時ふとうしろを見ますと、立派な一軒（いっけん）の西洋造りの家がありました。
RESTAURANT	そして玄関（げんかん）には
WILDCAT HOUSE	西洋料理店
At its entrance was a sign:	山猫軒
RESTAURANT	という札がでていました。
“This is perfect!	「君、ちょうどいい。
There’s a place to eat right here!	ここはこれでなかなか開けてるんだ。
Let’s go in!”	入ろうじゃないか」
“Well now, I wonder what a restaurant is doing in a place like this?	「おや、こんなとこにおかしいね。
But I guess they serve food here...”	しかしとにかく何か食事ができるんだろう」
“Of course they do!	「もちろんできるさ。
That’s what the sign says!”	看板にそう書いてあるじゃないか」
“Well then, let’s go in.	「はいろうじゃないか。
I’m so hungry I could faint.”	ぼくはもう何か喰べたくて倒れそうなんだ。」
The two of them stood at the entranceway.	二人は玄関に立ちました。
It was quite impressive, made of white porcelain bricks.	玄関は白い瀬戸（せと）の煉瓦（れんが）で組んで、実に立派なもんです。
There was also a glass door with gold writing that said:	そして硝子（がらす）の開き戸がたって、そこに金文字でこう書いてありました。
All are welcome.	「どなたもどうかお入りください。
Please come in for a free meal.	決してご遠慮（えんりょ）はありません」
The two hunters were overjoyed, and said:	二人はそこで、ひどくよろこんで言いました。
“Well do you see that?	「こいつはどうだ、
What a wonderful place the world is.	やっぱり世の中はうまくできてるねえ、
We had a bad time earlier today, but now look how lucky we are!	きょう一日なんぎしたけれど、こんどはこんないいこともある。
Not only did we find a restaurant, but one with free food!”	このうちは料理店だけれどもただでご馳走（ちそう）するんだぜ。」
“That’s right!	「どうもそうらしい。
The sign says that they’ll make us a free meal!”	決してご遠慮はありませんというのはその意味だ。」
They pushed open the door and went inside,	二人は戸を押（お）して、なかへ入りました。
entering a hallway.	そこはすぐ廊下（ろうか）になっていました。
On the other side of the glass door was written:	その硝子戸の裏側には、金文字でこうなっていました。
We especially welcome our fat and young customers.	「ことに肥（ふと）ったお方や若いお方は、大歓迎（だいかんげい）いたします」
The two were thrilled to be especially welcomed.	二人は大歓迎というので、もう大よろこびです。
“Hey!	「君、
We’re doubly welcome!”	ぼくらは大歓迎にあたっているのだ。」
“That’s right! We’re both fat and young!”	「ぼくらは両方兼ねてるから」
Marching down the hallway, they next came to a door painted blue.	ずんずん廊下を進んで行きますと、こんどは水いろのペンキ塗（ぬ）りの扉（と）がありました。
“What an odd house.	「どうも変な家（うち）だ。
I wonder why it has so many doors?”	どうしてこんなにたくさん戸があるのだろう。」
“This is the Russian style.	「これはロシア式だ。
All houses in cold places or in the mountains are built like this.”	寒いとこや山の中はみんなこうさ。」
As they began to open the door, they noticed something written in yellow above them:	そして二人はその扉をあけようとしますと、上に黄いろな字でこう書いてありました。
This is a restaurant with many orders.	「当軒は注文の多い料理店ですから
Please be patient.	どうかそこはご承知ください」
“They’re that busy,	「なかなかはやってるんだ。
all the way up here in the mountains?”	こんな山の中で。」
“Well, sure.	「それあそうだ。
