The two chief families in Verona were the rich Capulets and the Montagues.	昔、ヴェロナの２大名家といえば、ともに富豪である、キャピュレット家とモンタギュー家とされていた。
There had been an old quarrel between these families, which was grown to such a height,	両家は昔から争いあい、それが高じて、互いに憎みあうほどになっていた。
and so deadly was the enmity between them, that it extended to the remotest kindred, to the followers and retainers of both sides, in so much that a servant of the house of Montague could not meet a servant of the house of Capulet, nor a Capulet encounter with a Montague by chance, but fierce words and sometimes bloodshed ensued;	そうした心理は、一族の遠縁のものや従者にまでおよんでおり、そのためにモンタギュー家の召使いがキャピュレット家の召使いに会ったり、キャピュレット家の人がモンタギュー家の人にたまたま出会っただけで、激しい口論が起こり、時には流血事件にまでなるようになった。
and frequent were the brawls from such accidental meetings, which disturbed the happy quiet of Verona's streets.	こうした偶然の出会いから起こるけんかにより、ヴェロナの町における幸福な平和はたびたび破られていた。
Old Lord Capulet made a great supper, to which many fair ladies and many noble guests were invited.	ある日、老キャピュレット卿が一大宴会を主催し、貴婦人や貴族をおおぜい招いた。
All the admired beauties of Verona were present, and all comers were made welcome if they were not of the house of Montague.	ヴェロナでも評判の美人はみな出席し、モンタギュー家の者でさえなければ誰でも歓迎された。
At this feast of Capulets, Rosaline, beloved of Romeo, son to the old Lord Montague, was present;	このキャピュレット家の饗宴に、ロザラインという人も出席していた。彼女は、老モンタギュー卿の息子のロミオに愛されていた。
and though it was dangerous for a Montague to be seen in this assembly,	モンタギュー家の者がこの宴会で顔を見られるのはとても危険な事であった。
yet Benvolio, a friend of Romeo, persuaded the young lord to go to this assembly in the disguise of a mask,	しかし、ロミオの友人であったベンヴォリオは、若殿に対し、仮面で変装して宴会に出席しましょうと説いた。
that he might see his Rosaline, and, seeing her, compare her with some choice beauties of Verona,	そうすれば、ロミオはロザラインにあえるし、また、ロザラインを、ヴェロナでも選りすぐりの美女と見比べることもできます。
who (he said) would make him think his swan a crow.	それによって、あなたの白鳥をカラスだと思うようになるでしょう（とベンヴォリオは言った）。
Romeo had small faith in Benvolio's words;	ロミオは、ベンヴォリオの言葉をあまり信用しなかった。
nevertheless, for the love of Rosaline, he was persuaded to go.	しかしロザラインを愛していたので、行く気になった。
For Romeo was a sincere and passionate lover, and one that lost his sleep for love and fled society to be alone, thinking on Rosaline,	ロミオは誠実かつ熱烈な恋人であり、恋のために夜も眠れず、人目をさけ、１人でロザラインのことを考える人であった。
who disdained him and never requited his love with the least show of courtesy or affection;	ロザラインはといえば、ロミオを軽蔑しており、ロミオの愛に対して、少しも優しくしたり好意で報いることがなかった。
and Benvolio wished to cure his friend of this love by showing him diversity of ladies and company.	ベンヴォリオは、いろんな女性たちを見せることで、友人の恋の病を治してやろうと思ったのだ。
To this feast of Capulets, then, young Romeo, with Benvolio and their friend Mercutio, went masked.	こういう次第で、キャピュレット卿が開いた宴会に、若いロミオはベンヴォリオと、２人の共通の友人であるマーキューシオといっしょに、仮面をつけて出席した。
Old Capulet bid them welcome	老キャピュレットは彼らを歓迎した。
and told them that ladies who had their toes unplagued with corns would dance with them.	足の指にまめができて困っている女性でもなければ、きっとあなた方と踊ろうとするでしょうな、と言った。
And the old man was light-hearted and merry,	老人は楽天的で愉快な人だった。
and said that he had worn a mask when he was young and could have told a whispering tale in a fair lady's ear.	自分も若いときは仮面をつけたものだ、美人とひそひそ話だってやれたもんだ、と言うのだった。
And they fell to dancing,	一同は踊り始めた。
and Romeo was suddenly struck with the exceeding beauty of a lady who danced there,	突然ロミオは、そこで踊っている、並はずれて美しい娘に目を奪われた。
who seemed to him to teach the torches to burn bright,	ロミオには、その人がたいまつに明るく燃えるよう教えているかに見えた。
and her beauty to show by night like a rich jewel worn by a blackamoor;	その美しさは、黒人が身につけている宝石のように、夜のやみのなかで際立っていた。
beauty too rich for use, too dear for earth!	その美しさは、費やすにはあまりに豪奢《ごうしゃ》で、地上におくにはあまりに高貴すぎた！
like a snowy dove trooping with crows (he said), so richly did her beauty and perfections shine above the ladies her companions.	からすに混じった雪のように白い鳩（とロミオは言った）、そう思えるくらい、彼女の美しさは完璧であり、一座の娘たちから抜きんでて輝いていた。
While he uttered these praises he was overheard by Tybalt, a nephew of Lord Capulet,	ロミオがこのように彼女をほめたたえているところを、キャピュレット卿の甥であるティバルトに聞かれてしまった。
who knew him by his voice to be Romeo.	ティバルトは、声を聞いてロミオだと知ったのである。
And this Tybalt, being of a fiery and passionate temper, could not endure that a Montague should come under cover of a mask, to fleer and scorn (as he said) at their solemnities.	ティバルトは火のように激しい気性の男であったから、モンタギュー家の者が仮面で顔を隠して、一族の祝祭をばかにしたり侮辱したり（ティバルトがそう言ったのだ）するのには我慢がならなかった。
And he stormed and raged exceedingly, and would have struck young Romeo dead.	彼は怒りにまかせて暴れまわり、若いロミオを殺そうとした。
But his uncle, the old Lord Capulet, would not suffer him to do any injury at that time,	しかし、ティバルトのおじ、老キャピュレット卿は、その場ではティバルトが客人に危害を加えるのを許さなかった。
both out of respect to his guests and because Romeo had borne himself like a gentleman and all tongues in Verona bragged of him to be a virtuous and well-governed youth.	宴会に来ていたお客に対する配慮もあったし、ロミオは紳士らしく振る舞っていたし、ヴェロナ中の人がみなロミオのことを立派な落ち着いた青年として誇りに思っていたからだ。
