A SCANDAL IN BOHEMIA	ボヘミアの醜聞ボヘミアの醜聞
To Sherlock Holmes she is always THE woman.	シャーロック・ホームズにとって、彼女は常に『あのひと』だった。
I have seldom heard him mention her under any other name.	他の呼称など、つゆほども聞かない。
In his eyes she eclipses and predominates the whole of her sex.	彼女の前ではどんな女性も影を潜める、とでもホームズは考えているのだろう。
It was not that he felt any emotion akin to love for Irene Adler.	しかしアイリーン・アドラーに恋愛感情の類を抱いているわけではない。
All emotions, and that one particularly, were abhorrent to his cold, precise but admirably balanced mind.	あらゆる情、とりわけ恋愛感情などは、ホームズの沈着・精密でかつ均整の取れた精神と相反するものなのだ。
He was, I take it, the most perfect reasoning and observing machine that the world has seen,	私見だが、ホームズは推理と観察にかけては世士無双、まったくの機械である。
but as a lover he would have placed himself in a false position.	けれども恋愛向きではない。
He never spoke of the softer passions, save with a gibe and a sneer.	嘲笑、冷笑なしでは人間の正の感情について語れないのだ。
They were admirable things for the observer--excellent for drawing the veil from men's motives and actions.	愛、友情、慈悲などの正の感情は人の動機や行動をあらわにするので、その点では観察家にとって注目に値する。
But for the trained reasoner to admit such intrusions into his own delicate and finely adjusted temperament was to introduce a distracting factor which might throw a doubt upon all his mental results.	しかし訓練された推理家にしてみれば、その繊細で微妙に調整された精神に侵入されては、その下すあらゆる判断をかき乱し、疑いを掛けることになる。
Grit in a sensitive instrument, or a crack in one of his own high-power lenses, would not be more disturbing than a strong emotion in a nature such as his.	精密機器に砂が混入しても、所持する高性能の拡大鏡にひびが入っても、ホームズのような心に強い情緒が生まれるよりは、さして阻害にならないだろう。
And yet there was but one woman to him,	しかしやはりというか、ホームズにも一人、女性というものがあった。
and that woman was the late Irene Adler, of dubious and questionable memory.	故アイリーン・アドラー、いまだ謎のまま記憶に残っている女性である。
I had seen little of Holmes lately.	近頃、ホームズとは会っていなかった。
My marriage had drifted us away from each other.	私の結婚が二人を疎遠にしたのだ。
My own complete happiness, and the home-centred interests which rise up around the man who first finds himself master of his own establishment, were sufficient to absorb all my attention,	結婚生活はまさに至福で、初めて所帯主になったこともあり、私の熱意はすっかり家庭中心に注がれていたのだ。
while Holmes, who loathed every form of society with his whole Bohemian soul, remained in our lodgings in Baker Street, buried among his old books, and alternating from week to week between cocaine and ambition, the drowsiness of the drug, and the fierce energy of his own keen nature.	かたやホームズと言えば、持ち前のボヘミアン気質から世俗を避け、ベイカー街の我らが下宿にとどまり、古書の山にうずもれ、コカインと覇気、つまり麻薬にふけったり、天性の鋭さで精力的に活動したりすることを交互に繰り返していた。
He was still, as ever, deeply attracted by the study of crime, and occupied his immense faculties and extraordinary powers of observation in following out those clues, and clearing up those mysteries which had been abandoned as hopeless by the official police.	例のごとく犯罪の研究に没頭しているのであり、多大なる才と人並みならぬ観察力を駆使して、警察でさえ絶望的と匙を投げた事件をも、糸口を見つけ、謎を解き明かしていた。
From time to time I heard some vague account of his doings:	折々、ホームズの活動を風のうわさに聞くことがある。
