The " Gloria Scott "	グロリア・スコット号
Conan Doyle	コナンドイル
``I have some papers here,''	「僕、ここに書類を持ってるんだがね……」
said my friend Sherlock Holmes	と、私の友人、シャーロック・ホームズは云った。
as we sat one winter's night on either side of the fire,	それは冬のある夜のことで、私たちは火をかこんで腰かけていた。
``which I really think, Watson, that it would be worth your while to glance over.	「ワトソン君、これは君も一読しといていいものだろうと思うんだよ。
These are the documents in the extraordinary case of the Gloria Scott, and this is the message which struck Justice of the Peace Trevor dead with horror when he read it.''	そら例の『グロリア・スコット』の怪事件なんだが、それからこの手紙は、治安判事のトレヴォが、それを読んで、恐怖のため死んでしまった手紙なんだよ」
He had picked from a drawer a little tarnished cylinder, and, undoing the tape, he handed me a short note scrawled upon a half-sheet of slate-gray paper.	彼は抽斗（ひきだし）から少しよごれた円筒形に巻いたものをとり出し、そのテイプをほどいて、灰色の半截（はんせつ）の紙の上に、ぞんざいな字で書いてある、短い文句の書いてある紙を、私に手渡した。
The supply of game for London is going steadily up [ it ran ].	――ロンドンにおける、計画は、着々として、なされたり。
Head-keeper Hudson, we believe, has been now told to receive all orders for fly-paper and for preservation of your hen-pheasant's life.	主任、看視者、ハドソンは、蠅捕紙の命令の、すべてを、受くるべく、既に、予告せり、貴下の、雄鳥雉（ゆうちょうきじ）の、逃亡せる、ことを、信ぜられよ。
As I glanced up from reading this enigmatical message, I saw Holmes chuckling at the expression upon my face.	私がこの不可解な手紙を読み終って顔を上げた時、私は、ホームズがニヤニヤ変な笑い方をしながら、私の顔に浮ぶ表情を眺めているのに気がついた。
``You look a little bewildered,''	「少なからずまごつかされたようだね」
said he.	彼は云った。
``I cannot see how such a message as this could inspire horror.	「私にはこんな手紙が、どうして恐怖を引き起こしたのかどう考えても分からないね。
It seems to me to be rather grotesque than otherwise.''	ただ奇怪だと思われるだけだよ」
``Very likely.	「まあ、その通りだ。
Yet the fact remains that the reader, who was a fine, robust old man, was knocked clean down by it as if it had been the butt end of a pistol.''	しかも事実は、それを読んだ男は、その通達書が、まるでピストルの台尻ででもあったかのように、そのためにすっかりたたきのめされてしまったのだ。
``You arouse my curiosity,''	「面白そうだね」
said I.	私は云った。
``But why did you say just now that there were very particular reasons why I should study this case?''	「けれどなんだって君は、この事件を研究しておく必要があるなんて云うのかね」
``Because it was the first in which I was ever engaged.''	「そりア、これが僕の初めてやった事件だったからさ――」
I had often endeavoured to elicit from my companion what had first turned his mind in the direction of criminal research,	私はしばしばホームズから、彼が犯罪捜索の方法において、一番初めにどう云う所へ心をむけるであろうかと云うことについて、ききだそうとしてみたことはあった。
but had never caught him before in a communicative humour.	けれども今までに、気軽に自分のほうから話してくれる彼に出会ったことはなかった。
Now he sat forward in his armchair and spread out the documents upon his knees.	――彼は肱附き椅子に腰かけたからだを前に乗り出して、膝の上に例の記録をひろげた。
Then he lit his pipe and sat for some time smoking and turning them over.	それからパイプに火をつけて、しばらくの間煙草をくゆらしながらその頁（ページ）をひっくりかえしていた。
