The Shadow and the Flash	影と光影と光
Jack London	ジャック・ロンドン
When I look back, I realize what a peculiar friendship it was.	振り返ってみると、じつに不思議な友情関係だった。
First, there was Lloyd Inwood,	まず始めに、ロイド・インウッドがいた。
tall, slender, and finely knit, nervous and dark.	すらりとした見事な体つきの、神経質な黒髪の男。
And then Paul Tichlorne,	それから、ポール・ティックローン。
tall, slender, and finely knit, nervous and blond.	すらりとした見事な体つきの、神経質な金髪の男。
Each was the replica of the other in everything except color.	カラーリングを除けば、2人は何もかもがお互いのレプリカだった。
Lloyd's eyes were black;	ロイドの瞳は黒、
Paul's were blue.	ポールの瞳は青。
Under stress of excitement, the blood coursed olive in the face of Lloyd, crimson in the face of Paul.	興奮して血が昇ると、ロイドの顔はオリーブ色に、ポールの顔は真っ赤になった。
But outside this matter of coloring they were as like as two peas.	だけど、この色合いのことを除けば2人はまさにうりふたつ。
Both were high-strung, prone to excessive tension and endurance, and they lived at concert pitch.	ともに熱しやすく、必要以上に気負ったり、耐え忍んだりする傾向があって、2人は張りのある毎日を送っていた。
But there was a trio involved in this remarkable friendship,	でも、この風変わりな友情関係はトリオ編成。
and the third was short, and fat, and chunky, and lazy, and, loath to say, it was I.	3人めは、ちびで太った、ずんぐりむっくりの怠け者、言いたくないんだけど、つまりこのぼく。
Paul and Lloyd seemed born to rivalry with each other, and I to be peacemaker between them.	ポールとロイドは生まれながらのライバル同士らしくて、ぼくは2人の仲を取りもつ役だった。
We grew up together, the three of us, and full often have I received the angry blows each intended for the other.	ぼくら3人は一緒に育ったんだけど、もうしょっちゅう、どっちかが怒って相手に殴りかかり、ぼくがそれを食らうなんてことをやっていたものだ。
They were always competing, striving to outdo each other,	2人はいつも競いあっていて、相手をしのごうとしていた。
and when entered upon some such struggle there was no limit either to their endeavors or passions.	それで争い始めると、2人の努力と熱意にはきりがなかった。
This intense spirit of rivalry obtained in their studies and their games.	この激しい競争意識は、学問や勝負ごとについても言えた。
If Paul memorized one canto of "Marmion," Lloyd memorized two cantos, Paul came back with three, and Lloyd again with four, till each knew the whole poem by heart.	ポールが「マーミオン」から1編を憶えたときには、ロイドは2編を憶え、翻ってポールが3編をやり、ふたたびロイドが4編を、といった具合で、やがて2人ともがその詩全部を丸暗記してしまった。
I remember an incident that occurred at the swimming hole	深みで泳いでいたときのできごとも憶えている
--an incident tragically significant of the life-struggle between them.	――2人の命がけの争いについて、悲劇的なほど意義深いできごとだ。
The boys had a game of diving to the bottom of a ten-foot pool and holding on by submerged roots to see who could stay under the longest.	子どものころ、みんなで深さ10フィートの水たまりに潜り、水底の木の根を握って、だれがいちばん長くこらえられるか、というゲームをやったんだ。
Paul and Lloyd allowed themselves to be bantered into making the descent together.	ポールとロイドは、お互いに、一緒に潜って挑みあうことにした。
When I saw their faces, set and determined, disappear in the water as they sank swiftly down, I felt a foreboding of something dreadful.	2人の、決意を固めた顔が水中に消え、スピーディに潜って行くのを見たとき、ぼくには何だか嫌な予感がした。
The moments sped, the ripples died away, the face of the pool grew placid and untroubled, and neither black nor golden head broke surface in quest of air.	時間が経って、さざ波が消え去ると、水面は穏やかな乱れのないものとなり、黒髪も、金髪も、水の上に顔を出して息を継ごうとしない。
We above grew anxious.	ぼくらはだんだん心配になってきた。
The longest record of the longest-winded boy had been exceeded, and still there was no sign.	ある少年の最長記録を越えても、まだなんともない。
Air bubbles trickled slowly upward, showing that the breath had been expelled from their lungs, and after that the bubbles ceased to trickle upward.	空気の泡がぽつぽつと昇ってきて、2人の肺から息が吐き出されているのが分かったけど、その後、泡は昇ってこなくなった。
Each second became interminable, and, unable longer to endure the suspense, I plunged into the water.	1秒1秒が果てしなく思え、これ以上の不安には耐えきれなくなり、ぼくは水の中に飛びこんだ。
I found them down at the bottom,	2人は水底にいた。
clutching tight to the roots, their heads not a foot apart, their eyes wide open, each glaring fixedly at the other.	根っこにしっかりとしがみつき、50センチと離れていないところに顔をつきあわせて、目を大きく見開き、おたがいに睨み合っている。
They were suffering frightful torment, writhing and twisting in the pangs of voluntary suffocation;	ものすごい苦痛にさいなまれ、苦しげに身をよじらせながら、みずから窒息しようとしていた。
for neither would let go and acknowledge himself beaten.	というのは、2人とも、浮かび上がることでおのれの敗北を認めたくなかったんだから。
I tried to break Paul's hold on the root, but he resisted me fiercely.	ぼくはポールを根っこから離そうとした、だけどポールは必死になって抗った。
Then I lost my breath and came to the surface,	そこでぼくは息苦しくなって水面にもどった。
badly scared.	まったく気が気でない。
I quickly explained the situation, and half a dozen of us went down and by main strength tore them loose.	手早く状況を説明すると、ぼくらは6人で潜っていって、2人を力ずくで引き剥がした。
By the time we got them out, both were unconscious, and it was only after much barrel-rolling and rubbing and pounding that they finally came to their senses.	それで2人を水から上げたときには、2人とも意識がなくて、ひたすらごろごろ転がしたり、マッサージしたり、どんどん叩いたりしてやっているうちに、やがて2人とも意識を取りもどした。
They would have drowned there, had no one rescued them.	もしぼくらが助けに行かなかったら、あのまま溺れ死んでいたかもしれない。
When Paul Tichlorne entered college, he let it be generally understood that he was going in for the social sciences.	大学に入学した当初のポール・ティックローンは、社会科学の道に進むんだとみんなに思わせていた。
Lloyd Inwood, entering at the same time, elected to take the same course.	ロイド・インウッドも、同時に入学したのだけど、同じコースを選んだ。
But Paul had had it secretly in mind all the time to study the natural sciences, specializing on chemistry, and at the last moment he switched over.	ところがポールは、心中密かに思うところがあって、ずっと自然科学を、とくに化学を専門に勉強していて、土壇場になってそっちに切り替えたのだ。
