Classic Mystery and Detective Stories	世界怪談名作集
The Signal Man	信号手
Charles Dickens	ディッケンズ
"Halloa!	「おぅい、
Below there!"	下にいる人！」
When he heard a voice thus calling to him, he was standing at the door of his box, with a flag in his hand, furled round its short pole.	わたしがこう呼んだ声を聞いたとき、信号手は短い棒に巻いた旗を持ったままで、あたかも信号所の小屋の前に立っていた。
One would have thought, considering the nature of the ground, that he could not have doubted from what quarter the voice came;	この土地の勝手を知っていれば、この声のきこえた方角を聞き誤まりそうにも思えないのであるが、
but instead of looking up to where I stood on the top of the steep cutting nearly over his head, he turned himself about, and looked down the Line.	彼は自分の頭のすぐ上の嶮（けわ）しい断崖の上に立っている私を見あげもせずに、あたりを見まわして更に線路の上を見おろしていた。
There was something remarkable in his manner of doing so, though I could not have said for my life what.	その振り向いた様子が、どういう訳（わけ）であるか知らないが少しく変わっていた。
But I know it was remarkable enough to attract my notice, even though his figure was foreshortened and shadowed, down in the deep trench, and mine was high above him, so steeped in the glow of an angry sunset, that I had shaded my eyes with my hand before I saw him at all.	実をいうと、わたしは高いところから烈（はげ）しい夕日にむかって、手をかざしながら彼を見ていたので、深い溝（みぞ）に影を落としている信号手の姿はよく分からなかったのであるが、ともかくも彼の振り向いた様子は確かにおかしく思われたのである。
"Halloa!	「おぅい、
Below!"	下にいる人！」
From looking down the Line, he turned himself about again, and, raising his eyes, saw my figure high above him.	彼は線路の方角から振り向いて、ふたたびあたりを見まわして、初めて頭の上の高いところにいる私のすがたを見た。
"Is there any path by which I can come down	「どこか降りる所はありませんかね。
and speak to you?"	君のところへ行って話したいのだが……」
He looked up at me without replying,	彼は返事もせずにただ見上げているのである。
and I looked down at him without pressing him too soon with a repetition of my idle question.	わたしも執拗（しつこ）く二度とは聞きもせずに見おろしていると、あたかもその時である。
Just then there came a vague vibration in the earth and air, quickly changing into a violent pulsation,	最初は漠然とした大地と空気との動揺が、やがて激しい震動に変わってきた。
and an oncoming rush that caused me to start back, as though it had a force to draw me down.	わたしは思わず引き倒されそうになって、あわてて後ずさりをすると、
When such vapor as rose to my height from this rapid train had passed me, and was skimming away over the landscape,	急速力の列車があたかも私の高さに蒸気をふいて、遠い景色のなかへ消えて行った。
I looked down again, and saw him refurling the flag he had shown while the train went by.	ふたたび見おろすと、かの信号手は列車通過の際に揚げていた信号旗を再び巻いているのが見えた。
I repeated my inquiry.	わたしは重ねて訊（き）いてみると、
After a pause, during which he seemed to regard me with fixed attention, he motioned with his rolled-up flag towards a point on my level, some two or three hundred yards distant.	彼はしばらく私をじっと見つめていたが、やがて巻いてしまった旗をかざして、わたしの立っている高い所から二、三百ヤードの遠い方角を指し示した。
I called down to him,	「ありがとう」
"All right!"	私はそう言って、示された方角にむかって周囲を見廻すと、
There, by dint of looking closely about me, I found a rough zigzag descending path notched out, which I followed.	そこには高低のはげしい小径（こみち）があったので、まずそこを降りて行った。
The cutting was extremely deep, and unusually precipitate.	断崖はかなりに高いので、ややもすれば真っ逆さまに落ちそうである。
It was made through a clammy stone, that became oozier and wetter as I went down.	その上に湿（しめ）りがちの岩石ばかりで、踏みしめるたびに水が滲（し）み出して滑（すべ）りそうになる。
For these reasons, I found the way long enough to give me time to recall a singular air of reluctance or compulsion with which he had pointed out the path.	そんなわけで、わたしは彼の教えてくれた道をたどるのがまったく忌（いや）になってしまった。
When I came down low enough upon the zigzag descent to see him again, I saw that he was standing between the rails on the way by which the train had lately passed, in an attitude as if he were waiting for me to appear.	私がこの難儀な小径を降りて、低い所に来た時には、信号手はいま列車が通過したばかりの軌道（レール）の間に立ちどまって、私が出てくるのを待っているらしかった。
He had his left hand at his chin, and that left elbow rested on his right hand, crossed over his breast.	信号手は腕を組むような格好をして、左の手で顎（あご）を支え、その肱（ひじ）を右の手の上に休めていたが、
His attitude was one of such expectation and watchfulness that I stopped a moment, wondering at it.	その態度はなにか期待しているような、また深く注意しているようなふうにみえたので、わたしも怪訝（けげん）に思ってちょっと立ちどまった。
I resumed my downward way, and stepping out upon the level of the railroad, and drawing nearer to him,	わたしは再びくだって、ようやく線路とおなじ低さの場所までたどり着いて、はじめて彼に近づいた。
saw that he was a dark, sallow man, with a dark beard and rather heavy eyebrows.	見ると、彼は薄黒い髭（ひげ）を生やして、睫毛（まつげ）の深い陰鬱な青白い顔の男であった。
His post was in as solitary and dismal a place as ever I saw.	その上に、ここは私が前に見たよりも荒涼陰惨というべき場所で、
On either side, a dripping-wet wall of jagged stone, excluding all view but a strip of sky;	両側には峨峨（がが）たる湿（しめ）っぽい岩石ばかりがあらゆる景色をさえぎって、わずかに大空を仰ぎ観るのである。
the perspective one way only a crooked prolongation of this great dungeon;	一方に見えるのは、大いなる牢獄としか思われない曲がりくねった岩道の延長があるのみで、
the shorter perspective in the other direction terminating in a gloomy red light, and the gloomier entrance to a black tunnel,	他の一方は暗い赤い灯のあるところで限られた、そこには暗黒なトンネルのいっそう暗い入り口がある。
in whose massive architecture there was a barbarous, depressing, and forbidding air.	その重苦しいような畳み石は、なんとなく粗野（そや）で、しかも人を圧するような、堪（た）えられない感じがする上に、
So little sunlight ever found its way to this spot, that it had an earthy, deadly smell;	日光はほとんどここへ映（さ）し込まず、土臭い有毒らしい匂いがそこらにただよって、
and so much cold wind rushed through it, that it struck chill to me,	どこからともなしに吹いて来る冷たい風が身に沁みわたった。
as if I had left the natural world.	私はこの世にいるような気がしなくなった。
Before he stirred, I was near enough to him to have touched him.	彼が身動きをする前に、私はそのからだに触（ふ）れるほどに近づいたが、
Not even then removing his eyes from mine, he stepped back one step, and lifted his hand.	彼はやはり私を見つめている眼を離さないで、わずかにひと足あとずさりをして、挨拶の手を挙げたばかりであった。
This was a lonesome post to occupy (I said), and it had riveted my attention when I looked down from up yonder.	前にもいう通り、ここはまったく寂しい場所で、それが向こうから見たときにも私の注意をひいたのである。
A visitor was a rarity, I should suppose;	おそらくたずねて来る人は稀であるらしく、
not an unwelcome rarity, I hoped?	また稀に来る人をあまり歓迎もしないらしく見えた。
In me, he merely saw a man who had been shut up within narrow limits all his life, and who, being at last set free, had a newly-awakened interest in these great works.	わたしから観ると、彼は私が長い間どこかの狭い限られた所にとじこめられていて、それが初めて自由の身となって、鉄道事業といったような重大なる仕事に対して、新たに眼ざめたる興味を感じて来た人間であると思っているらしい。
To such purpose I spoke to him;	私もそういうつもりで彼に話しかけたのであるが、
but I am far from sure of the terms I used;	実際はそんなこととは大違いになって、
for, besides that I am not happy in opening any conversation, there was something in the man that daunted me.	むしろ彼と会話を開かない方が仕合わせであったどころか、更に何か私をおびやかすようなものがあった。
He directed a most curious look towards the red light near the tunnel's mouth, and looked all about it, as if something were missing from it, and then looked it me.	彼はトンネルの入り口の赤い灯の方を不思議そうに見つめて、何か見失ったかのように周囲を見まわしていたが、やがて私の方へ向き直った。
That light was part of his charge?  Was it not?	あの灯は彼が仕事の一部であるらしく思われた。
He answered in a low voice,--	「あなたはご存じありませんか」
"Don't you know it is?"	と、彼は低い声で言った。
The monstrous thought came into my mind, as I perused the fixed eyes and the saturnine face, that this was a spirit, not a man.	その動かない二つの眼と、その幽暗な顔つきを見た時に、彼は人間ではなく、あるいは幽霊ではないかという怪しい考えが私の胸に浮かんで来たので、
I have speculated since, whether there may have been infection in his mind.	私はそのご絶えず彼のこころに感受性を持つかどうかを注意するようになった。
In my turn, I stepped back.	私はひと足さがった。
But in making the action, I detected in his eyes some latent fear of me.	そうして、彼がひそかに私を恐れている眼色を探り出した。
This put the monstrous thought to flight.	これで彼を怪しむ考えもおのずと消えたのである。
"You look at me,"	「君はなんだか私を怖（こわ）そうに眺めていますね」
I said, forcing a smile,	と、私はしいて微笑（ほほえ）みながら言った。
"I was doubtful,"	「どうもあなたを以前に見たことがあるようですが……」
he returned,	と、彼は答えた。
"Where?"	「どこで……」
He pointed to the red light he had looked at.	彼はさきに見つめていた赤い灯を指さした。
"There?"	「あすこで……？」
I said.	と、わたしは訊いた。
Intently watchful of me, he replied (but without sound),	彼は非常に注意ぶかく私を打ちまもりながら、音もないほどの低い声で
"Yes."	「はい」
"My good fellow,	「冗談じゃあない。
what should I do there?	私がどうしてあんなところに行っているものですか。
However, be that as it may, I never was there,	かりに行くことがあるとしても、今はけっしてあすこにいなかったのです。
you may swear."	そんなはずはありませんよ」
"I think I may,"	「わたしもそう思います。
he rejoined.	はい、確かにおいでにならないとは思いますが……」
"Yes;	彼の態度は、わたしと同じようにはっきりしていた。
His manner cleared, like my own.	彼は私の問いに対しても正確に答え、
He replied to my remarks with readiness, and in well-chosen words.	よく考えてものを言っているのである。
Had he much to do there?	彼はここでどのくらいの仕事をしているかといえば、
Yes; that was to say, he had enough responsibility to bear; 	彼は大いに責任のある仕事をしているといわなければならない。
but exactness and watchfulness were what was required of him, and of actual work--manual labor--he had next to none.	まず第一に、正確であること、注意ぶかくあることが、何よりも必要であり、また実務的の仕事という点からみても、彼に及ぶものはないのである。
To change that signal, to trim those lights, and to turn this iron handle now and then, was all he had to do under that head.	信号を変えるのも、燈火（あかり）を照らすのも、転轍（てんてつ）のハンドルをまわすのも、みな彼自身の頭脳の働きによらなければならない。
Regarding those many long and lonely hours of which I seemed to make so much, he could only say that the routine of his life had shaped itself into that form, and he had grown used to it.	こんなことをして、彼はここに長い寂しい時間を送っているように見えるが、彼としては自分の生活の習慣が自然にそういう形式をつくって、いつのまにかそれに慣れてしまったというのほかはあるまい。
He had taught himself a language down here,	こんな谷のようなところで、彼は自分の言葉を習ったのである。
--if only to know it by sight, and to have formed his own crude ideas of its pronunciation, could be called learning it.	単にものを見ただけで、それを粗雑ながらも言葉に移したのであるから、習ったといえばいえないこともないかも知れない。
He had also worked at fractions and decimals, and tried a little algebra;	そのほかに分数や小数を習い、代数も少し習ったが、
but he was, and had been as a boy, a poor hand at figures.	その文字などは子供が書いたように拙（まず）いものである。
Was it necessary for him when on duty always to remain in that channel of damp air,	いかに職務であるとはいえ、こんな谷間の湿（しめ）っぽい所にいつでも残っていなければならないのか。
and could he never rise into the sunshine from between those high stone walls?	そうして、この高い石壁のあいだから日光を仰ぎに出ることは出来ないものか。
Why, that depended upon times and circumstances.	それは時間と事情が許さないのである。
Under some conditions there would be less upon the Line than under others, and the same held good as to certain hours of the day and night.	ある場合には、線路の上にいるよりも他の場所にいることもないではなかったが、夜と昼とのうちで、ある時間だけはやはり働かなければならないのである。
In bright weather, he did choose occasions for getting a little above these lower shadows;	天気のいい日に、ある機会をみて少しく高い所へ登ろうと企てることもあるが、
but, being at all times liable to be called by his electric bell, and at such times listening for it with redoubled anxiety,	いつも電気ベルに呼ばれて、幾倍の心配をもってそれに耳を傾けなければならないことになる。
the relief was less than I would suppose.	そんなわけで、彼が救われる時間は私の想像以上に少ないのであった。
He took me into his box,	彼は私を自分の小屋へ誘っていった。
where there was a fire, a desk for an official book in which he had to make certain entries, a telegraphic instrument with its dial, face, and needles, and the little bell of which he had spoken.	そこには火もあり、机の上には何か記入しなければならない職務上の帳簿や指針盤（ししんばん）の付いている電信機や、それから彼がさきに話した小さい電気ベルがあった。
On my trusting that he would excuse the remark that he had been well educated,	わたしの観るところによれば、彼は相当の教育を受けた人であるらしい。
and (I hoped I might say without offence) perhaps educated above that station, he observed that instances of slight incongruity in such wise would rarely be found wanting among large bodies of men;	少なくとも彼の地位以上の教育を受けた人物であると思われるが、彼は多数のなかにたまたま少しく悧口（りこう）な者がいても、そんな人間は必要でないと言った。
that he had heard it was so in workhouses, in the police force, even in that last desperate resource, the army;	そういうことは工場の中にも、警察官の中にも、軍人の中にもしばしば聞くことで、
and that he knew it was so, more or less, in any great railway staff.	どこの鉄道局のなかにも多少は免（まぬか）れないことであると、彼はまた言った。
He had been, when young (if I could believe it, sitting in that hut,--he scarcely could), a student of natural philosophy, and had attended lectures;	彼は若いころ、学生として自然哲学を勉強して、その講義にも出席しているが、
but he had run wild, misused his opportunities, gone down, and never risen again.	中途から乱暴を始めて、世に出る機会をうしなって、次第に零落して、ついにふたたび頭をもたげることが出来なくなった。
He had no complaint to offer about that.	ただし、彼はそれについて不満があるでもなかった。
He had made his bed, and he lay upon it.	すべてが自業自得（じごうじとく）で、これから方向を転換するには、
It was far too late to make another.	時すでに遅しというわけであった。
All that I have here condensed he said in a quiet manner, with his grave dark regards divided between me and the fire.	かいつまんで言えばこれだけのことを、彼はその深い眼で私と火とを見くらべながら静かに話した。
He threw in the word, "Sir," from time to time,	彼は会話のあいだに時どきに貴下（サー）という敬語を用いた。
and especially when he referred to his youth,	殊（こと）に自分の青年時代を語るときに多く用いていたのは、
--as though to request me to understand that he claimed to be nothing but what I found him.	わたしが想像していた通り、彼が相当の教育を受けた男であることを思わせたのである。
He was several times interrupted by the little bell,	こうして話している間にも、彼はしばしば小さいベルの鳴るのに妨げられた。
and had to read off messages, and send replies.	彼は通信を読んだり、返信を送ったりしていた。
Once he had to stand without the door, and display a flag as a train passed, and make some verbal communication to the driver.	またある時はドアの外へ出て、列車が通過の際に信号旗を示し、あるいは機関手にむかって何か口で通報していた。
In the discharge of his duties, I observed him to be remarkably exact and vigilant, breaking off his discourse at a syllable, and remaining silent until what he had to do was done.	彼が職務を執るときは非常に正確で注意ぶかく、たとい談話の最中でもはっきりと区切りをつけ、その目前の仕事を終わるまではけっして口をきかないというふうであった。
In a word, I should have set this man down as one of the safest of men to be employed in that capacity,	ひと口にいえば、彼はこういう仕事をする人としては、その資格において十分に安心のできる人物であるが、ただ不思議に感じられたのはある場合に
but for the circumstance that while he was speaking to me he twice broke off with a fallen color, turned his face towards the little bell when it did NOT ring,	――それは彼が私と話している最中であったが、彼は二度も会話を中止して、鳴りもしないベルの方に向き直って、顔の色を変えていたことであった。
opened the door of the hut (which was kept shut to exclude the unhealthy damp), and looked out towards the red light near the mouth of the tunnel.	彼はそのとき、戸外のしめった空気を防ぐためにとじてあるドアをあけて、トンネルの入り口に近い、かの赤い灯を眺めていた。
On both of those occasions, he came back to the fire with the inexplicable air upon him which I had remarked, without being able to define, when we were so far asunder.	この二つの出来事ののち、彼はなんとも説明し難い顔つきをして、火のほとりに戻って来たが、そのあいだに別に変わったこともないらしかった。
Said I, when I rose to leave him,	彼に別れて起（た）ち上がるときに、私は言った。
"You almost make me think that I have met with a contented man."	「君はすこぶる満足のように見うけられますね」
"I believe I used to be so,"	「そうだとは信じていますが……」
he rejoined, in the low voice in which he had first spoken;	と、彼は今までにないような低い声で付け加えた。
"but I am troubled, sir,	「しかし私は困っているのです。
I am troubled."	実際、困っているのです」
"With what?	「なんで……。
What is your trouble?"	何を困っているのです」
"It is very difficult to impart, sir.	「それがなかなか説明できないのです。
It is very, very difficult to speak of.	それが実に……実にお話しのしようがないので……。
If ever you make me another visit, I will try to tell you."	またおいでになった時にでもお話し申しましょう」
"But I expressly intend to make you another visit.	「わたしも、また来てもいいのですが……。
Say, when shall it be?"	いつごろがいいのです」
"I go off early in the morning,	「わたしは朝早くここを立ち去ります。
and I shall be on again at ten to-morrow night, sir."	そうして、あしたの晩の十時には、またここにいます」
"I will come at eleven."	「では十一時ごろに来ましょう」
He thanked me,	「どうぞ……」
and went out at the door with me.	と、彼は私と一緒に外へ出た。
"I'll show my white light, sir,"	そうして、極めて低い声で言った。
he said, in his peculiar low voice,	「路（みち）のわかるまで私の白い燈火（あかり）を見せましょう。
When you have found it, don't call out!	路がわかっても、声を出さないで下さい。
And when you are at the top, don't call out!"	上へ行き着いた時にも呼ばないで下さい」
His manner seemed to make the place strike colder to me, but I said no more than, "Very well."	その様子がいよいよ私を薄気味わるく思わせたが、私は別になんにも言わずに、ただ、はいはいと答えておいた。
"And when you come down to-morrow night, don't call out!	「あしたの晩おいでの時にも呼ばないで下さい。
Let me ask you a parting question.	それから少しおたずね申しますが、
What made you cry, 'Halloa!  Below there!' to-night?"	どうしてあなたは今夜おいでの時に〈おぅい、下にいる人！〉と、お呼びになったのです」
"Heaven knows,"	「え。
"I cried something to that effect--"	私がそんなようなことを言ったかな」
"Not to that effect, sir.	「そんなようなことじゃありません。
Those were the very words. I know them well."	あの声は私がよく聞くのです」
"Admit those were the very words.	「私がそう言ったとしたら、
I said them, no doubt, because I saw you below."	それは君が下の方にいたからですよ」
