THE SILVER SHILLING	五十銭銀貨
THERE was once a shilling,	或とき、一まいの五十銭銀貨がゐました。
which came forth from the mint	銀貨はそれこそ、ぴか／＼のまゝ、造幣局から出て来ました。
springing	そして、とび上つて、
and shouting,	「ほらつ、ひろい世界へ出て来た。
"Hurrah!	ちやりん」
now I am going out into the wide world."	と叫びました。
And truly it did go out into the wide world.	そして、たしかに、ひろい世の中へはひつていきました。
The children held it with warm hands,	子供が、やはらかい、あたゝかい両手の中にその銀貨をおさへてゐました。
the miser with a cold and convulsive grasp,	けちんぼの人は、つめたい、慾のふかい手の平に、つかみにぎりました。
and the old people turned it about, goodness knows how many times,	年をとつたおぢいさんは、その銀貨とわかれる前に、これこそは、いくど、うらがへし／＼して見たかしれません。
while the young people soon allowed it to roll away from them.	さうかと思ふと、のんきな若者は、その銀貨を、手軽にころがしてわたしたりしました。
The shilling was made of silver, it contained very little copper,	その五十銭は銀でこしらへたもので、銅が、ほんの少しばかりまざつてゐました。
when it had been circulated for a year in the country	銀貨はまる一年の間、世間を歩きました。
in which it had been coined.	世間と言つても、つまり、それがつくり出された世の中を。
One day, it really did go out into the world,	ところが或日、銀貨は外国旅行に出かけました。
for it belonged to a gentleman who was about to travel in foreign lands.	旅行に出る紳士の財布の中に、たつた一まいの、本国の、最後の銭としてはひつてゐたのです。
This gentleman was not aware that the shilling lay at the bottom of his purse when he started,	紳士はそんなものを、まだ持つてゐたことに気づかないでゐましたが。
till he one day found it between his fingers.	ふとしたはずみに、その銀貨を見つけました。
"Why," cried he, "here is a shilling from home; 	「ほう、わしの国の銭が一まいある。
well,	ふゝん、まあいゝや。
it must go on its travels with me now!"	一しよにつれて旅行してやらうよ。」
and the shilling jumped and rattled for joy, when it was put back again into the purse.	銀貨は、かう言つて財布の中へなげかへされたので、ちやりんと、よろこびのあまりにとび上りました。
Here it lay among a number of foreign companions,	かうして五十銭銀貨は、外国製の友だちの中にまざつてくらしました。
who were always coming and going, one taking the place of another,	それらのほかのお金は、はひつて来たと見ると、又出ていつて、つぎのお金がはひる場所をつくり／＼しました。
but the shilling from home was always put back, and had to remain in the purse,	しかし例の五十銭銀貨は、いつもかはらず、財布の中にのこされてゐました。
which was certainly a mark of distinction.	それが、この銭だけの、一つの差別になつてゐました。
Many weeks passed,	五六週間がすぎました。
during which the shilling had travelled a long distance in the purse,	五十銭銀貨は、とほい／＼世界へ出て来ました。
without in the least knowing where he was. He had found out that the other coins were French and Italian; 	ほかの銭から、わしはイタリアの金だ、わしはフランスの金だなどと聞いたりしましたが、でも一たい、どこを歩いてゐるのかは、五十銭銀貨には、てんで分りませんでした。
and one coin said they were in this town, and another said they were in that,	或お金は、こゝは、これ／＼かういふ町だと言つたり、又ほかのお金は、ほら、これ／＼といふところへ来たよ、なぞと言ひ／＼しました。
but the shilling was unable to make out or imagine what they meant.	でも五十銭銀貨には、さてそれが、どんな場所だか、まるで見当がつきませんでした。
A man certainly cannot see much of the world if he is tied up in a bag, and this was really the shilling's fate.	財布の中にくびをつつこんでゐる人には、何物も目にはひらないものですが、この五十銭が、すつかりそのとほりでした。
But one day, as he was lying in the purse, he noticed that it was not quite closed,	ところが或日、ぢつと財布の中に坐つてゐますと、財布の口が少しばかり、あいたまゝになつてゐるのを見つけました。
and so he slipped near to the opening to have a little peep into society.	そこで、五十銭銀貨は、外のぐるりを一目だけ見ようとして、その開いた口もとへ、はひ出しました。
He certainly had not the least idea of what would follow, but he was curious,	ほんとなら、そんなことをすべきものではないのですが、もとが物見だかい銀貨だものですから。
and curiosity often brings its own punishment.	──だれでも、そんな軽はずみなことをすると、あとで、うんとばちのあたることが、よくあるものです。
In his eagerness, he came so near the edge of the purse that he slipped out into the pocket of the trousers;	銀貨は、小さいかくしの中へすべり出ました。
and when, in the evening, the purse was taken out, the shilling was left behind in the corner to which it had fallen.	夜になつて財布は引き出され、銀貨は着物と一しよに、
As the clothes were being carried into the hall,	廊下へ持ち出されました。
the shilling fell out on the floor,	銀貨はそこの床の上へ落ちました。
unheard and unnoticed by any one.	しかし、だれもその音に気もつかず、見つけもしませんでした。
The next morning the clothes were taken back to the room,	あくる朝、着物は部屋の中へ持ちこまれました。
the gentleman put them on, and started on his journey again;	紳士はそれを着て、又旅行をつゞけました。
After a time it was found, and being considered a good coin, was placed with three other coins.	あとに残つた銀貨は、そのうちに人に見つけ出されて、使はれることになり、ほかの三枚のお金と一しよに、人手にわたりました。
"Ah,"	「世の中へ出て、あたりを見まはし、しらない人や、見なれぬ風俗にしたしむといふことは、まつたく愉快なものだ」
thought the shilling,	と銀貨は思ひました。
Now begins the story as it was afterwards related by the shilling himself.	それからのいきさつを、銀貨は、じぶんでかう話しました。
"'False!	にせものだ。
good for nothing!'	何にもなりやしない」
said he. That remark went through and through me like a dagger.	と、だれもかれもが、私のことを、ぶつ／＼かう言ふのです。
I knew that I had a true ring, and that mine was a genuine stamp.	私は、音もいゝし、ちやんと正しくつくられてゐるので、
These people must at all events be wrong,	わるくいふ人の方がまちがつてゐるのです。
or they could not mean me.	だれも私をいやしめる理くつがないのに、
But yes, I was the one they called	「こいつはいけない。
'false, and good for nothing.'	これはだめだ。
So I was to be got rid of in the darkness, and be again insulted in broad daylight.	そして夜になると、ほかへわたされ、昼になると又罵りとほされるのでした。
"'False!	「にせだ。
good for nothing!'	つまらない。
And I trembled between the fingers of the people every time they tried to pass me off slyly as a coin of the country.	私は、その土地の貨幣のようにして、はらひわたされるたびごとに、わたしを持つてゐる人の指の中でふるへ／＼しました。
Ah! unhappy shilling that I was!	何といふ不仕合わせな銀貨でせう。
Of what use were my silver, my stamp, and my real value here, where all these qualities were worthless. In the eyes of the world, a man is valued just according to the opinion formed of him.	私が銀であること、私のねうち、私の鋳方といふものが、こんなに、だいなしに見られるからには、銀貨に生れたつて何の役にもたちません。
As for me, innocent as I was, I could not help shuddering before their eyes whenever they brought me out,	私は取り出されるたんびに、うけとる相手が私を見るときの目つきを考へて、ぞつとしました。
for I knew I should be thrown back again up the table as a false pretender.	だつて、わたされるとすぐに、つきかへされ、にせものや、ごまかしものゝように、ていぶるの上へなげかへされるのですもの。
At length I was paid away to a poor old woman,	一度私は貧乏なお婆さんの手にはひりました。
who received me as wages for a hard day's work.	お婆さんは、一生けんめいに働いた、一日の賃銀に私をもらつたのです。
But she could not again get rid of me;	ところがお婆さんは、私を使ひ出すことが出来ませんでした。
no one would take me.	だれも、私をうけとるものがないのです。
I was to the woman a most unlucky shilling.	お婆さんは、私には、つく／゛＼困りはてました。
'I am positively obliged to pass this shilling to somebody,'	「あゝ／＼、かうなれば、私は、いや／＼にも、このお金で人をだまさなけりやならない。
'I cannot, with the best intentions, lay by a bad shilling.	なぜつて、私は、いくらなんでも、こんな、にせ金を、銭として、ためておくことは出来ないから。
The rich baker shall have it,	さうだ、ぱん屋さんへわたしてやりませう。
- he can bear the loss better than I can.	あの人はお金持ちだから、このくらゐの損をしても、ちつとも苦にはしないはずだ。
But, after all, it is not a right thing to do.'	でも、どうせ、そんなことをする私はわるものになるわけだ。」
