THERE was no hope for him this time:	今度は彼に望みはなかった。
it was the third stroke.	三度目の発作だったのだ。
Night after night I had passed the house (it was vacation time) and studied the lighted square of window:	夜毎僕はその家を通り過ぎ（休暇期間だった）、明かりのついた四角い窓を注意深く見た。
and night after night I had found it lighted in the same way, faintly and evenly.	そして夜毎僕は、同じようにほのかにそして一様にそこに明かりがついているのを見つけた。
If he was dead, I thought, I would see the reflection of candles on the darkened blind for I knew that two candles must be set at the head of a corpse.	もし彼が死んだら、と僕は考えた、暗くなったブラインドに映るろうそくが見えるはずだ、だって死骸の枕元にはろうそくを二つ置かなければならないことを僕は知っていた。
He had often said to me:	彼はたびたび僕に
"I am not long for this world,"	「私はもう長くはない」
and I had thought his words idle.	と言い、僕はそれを戯言と思っていた。
Now I knew they were true.	今になって僕はそれが本当だとわかった。
Every night as I gazed up at the window I said softly to myself the word paralysis.	毎夜僕はじっとあの窓を見上げては一人そっと麻痺という言葉をつぶやいた。
It had always sounded strangely in my ears, like the word gnomon in the Euclid and the word simony in the Catechism.	僕の耳にはいつもそれがユークリッドのノーモンという言葉や教理問答のシモニーという言葉のように不思議な響きを与えた。
But now it sounded to me like the name of some maleficent and sinful being.	しかし今、それが僕には悪さをする罪深い存在の名前のように聞こえた。
It filled me with fear, and yet I longed to be nearer to it and to look upon its deadly work.	それは僕を恐怖で満たしたが、それでも僕はより近くにいてその致命的な作用を見たいと思った。
Old Cotter was sitting at the fire, smoking, when I came downstairs to supper.	僕が夕食のため階下に下りた時、コターのじいさんは火のそばに座り、タバコを吸っていた。
While my aunt was ladling out my stirabout he said, as if returning to some former remark of his:	叔母が僕のかゆをすくっていると、彼は前の話に戻るかのように意見を言った。
"No, I wouldn't say he was exactly...	「いや、わしは必ずしもあの人が・・・
but there was something queer...	と言いはしないがちょっとおかしなことが・・・
there was something uncanny about him.	あの人にはちょっと薄気味悪いところがあったな。
I'll tell you my opinion...."	それでなあわしの考えでは・・・」
He began to puff at his pipe, no doubt arranging his opinion in his mind.	彼はおそらく頭の中で考えを整理しているのだろう、パイプをプップッと吹かし始めた。
Tiresome old fool!	うんざりだよばかじじい！
When we knew him first he used to be rather interesting, talking of faints and worms;	知り合いとなった初めの頃には彼もフェインツやワームの話をしたりしてなかなかおもしろかったものだ。
but I soon grew tired of him and his endless stories about the distillery.	が、僕はすぐに彼と彼の蒸留所に関する果てしない話に飽き飽きしてきた。
"I have my own theory about it,"	「わしにはそれについての持論がある」
he said.	と彼は言った。
"I think it was one of those ...	「思うにそれはあの・・・
peculiar cases ....	異常な症例の一つで・・・
But it's hard to say...."	しかし言いにくいことだが・・・」
He began to puff again at his pipe without giving us his theory.	彼は持論を僕たちに教えることなく再びパイプをプップッと吹かし始めた。
My uncle saw me staring and said to me:	叔父がじっと見ている僕を見て言った。
"Well, so your old friend is gone, you'll be sorry to hear."	「まあ、そういうわけでお前の年老いた友達が死んで、お前も聞いて残念だろう。」
"Who?"	「誰？」
said I.	と僕は言った。
"Father Flynn."	「フリン神父だ。」
"Is he dead?"	「死んだの？」
"Mr. Cotter here has just told us.	「今コターさんがちょうど話していたところだ。
He was passing by the house."	家のそばを通りかかったそうだ。」
I knew that I was under observation so I continued eating as if the news had not interested me.	僕は観察されているのがわかっていたのでその知らせに興味がないかのように食べ続けた。
My uncle explained to old Cotter.	叔父はコターのじいさんに説明した。
"The youngster and he were great friends.	「この子とあの人はえらく仲が良かったんですよ。
The old chap taught him a great deal, mind you;	老人はこれにえらくたくさんのことを教え、それでねえ、
and they say he had a great wish for him."	あの人はこの子にえらく期待をかけていたそうだが。」
"God have mercy on his soul,"	「あの人の魂にお慈悲を」
said my aunt piously.	と叔母が信心深く言った。
Old Cotter looked at me for a while.	コターのじいさんはしばらく僕を見ていた。
I felt that his little beady black eyes were examining me but I would not satisfy him by looking up from my plate.	僕は彼のビーズのように小さな黒い目が僕を吟味しているのを感じたが、皿から目を上げて彼を満足させることはしなかった。
He returned to his pipe and finally spat rudely into the grate.	彼はパイプに戻り、最後に炉格子の中へ無作法につばを吐いた。
"I wouldn't like children of mine,"	「わしなら自分の子供たちには、」
he said,	彼は言った、
"to have too much to say to a man like that."	「あまりあのような人と話をさせたくないね。」
"How do you mean, Mr. Cotter?"	「どういう意味ですの、コターさん？」
asked my aunt.	と叔母は尋ねた。
"What I mean is,"	「どんな意味かって、」
said old Cotter,	コターのじいさんは言った、
"it's bad for children.	「子供によくないってことだ。
My idea is:	わしの考えはだね、
let a young lad run about and play with young lads of his own age and not be...	若いもんは同じ年頃の若いもんと走りまわったり遊んだりさせる、で、決して・・・
Am I right, Jack?"	そうだろ、ジャック？」
"That's my principle, too,"	「私もそういう主義だな」
said my uncle.	と叔父は言った。
"Let him learn to box his corner.	「自分の陣地で戦うことを学ばせること。
That's what I'm always saying to that Rosicrucian there:	そこのロージクルーシャンにいつも言っているんだ。
take exercise.	運動をしろと。
Why, when I was a nipper every morning of my life I had a cold bath, winter and summer.	なに、この私もがきの頃には毎朝、夏も冬も冷水浴をしたものだ。
And that's what stands to me now.	そしてそれが今も私の役に立っている。
Education is all very fine and large....	教育はまことに結構この上ないが・・・
Mr. Cotter might take a pick of that leg mutton,"	コターさんはあの羊の脚肉をつつくんじゃないかな」
he added to my aunt.	と彼は叔母に付け加えた。
"No, no, not for me,"	「いや、いや、私は結構」
said old Cotter.	とコターのじいさんは言った。
My aunt brought the dish from the safe and put it on the table.	叔母は戸棚からその皿を持ってきてテーブルの上に置いた。
"But why do you think it's not good for children, Mr. Cotter?"	「でもどうしてそれが子供によくないとお考えですの、コターさん？」
she asked.	と彼女は尋ねた。
"It's bad for children,"	「子供によくないのは、」
said old Cotter,	コターのじいさんは言った、
"because their mind are so impressionable.	「彼らの心はとても感じやすいからだ。
When children see things like that, you know, it has an effect...."	子供があんなものを見たら、なあ、それが影響して・・・」
I crammed my mouth with stirabout for fear I might give utterance to my anger.	僕は怒りをぶちまけてしまうのを恐れてかゆを口に詰め込んだ。
Tiresome old red-nosed imbecile!	うんざりだよ年寄りの赤鼻の大ばかが！
It was late when I fell asleep.	僕が寝入ったのは遅くなってからだった。
Though I was angry with old Cotter for alluding to me as a child, I puzzled my head to extract meaning from his unfinished sentences.	僕は僕を子供だとほのめかしたコターのじいさんに腹を立てていたけれども、彼が言い終えなかったセンテンスから意味を引き出そうと頭を悩ましていた。
In the dark of my room I imagined that I saw again the heavy grey face of the paralytic.	部屋の闇の中で僕は今また麻痺した人の重たい灰色の顔を見たように思った。
I drew the blankets over my head and tried to think of Christmas.	僕は頭まで毛布を引き上げ、クリスマスのことを考えようとした。
But the grey face still followed me.	しかし灰色の顔はなおも僕につきまとってきた。
It murmured, and I understood that it desired to confess something.	それはぶつぶつ言い、それで僕はそれが何かを告白したがっているのがわかった。
I felt my soul receding into some pleasant and vicious region;	僕は魂が心地よい堕落した領域の中に後退していくのを感じた。
and there again I found it waiting for me.	そしてそこでまた僕を待っているそれを見つけた。
It began to confess to me in a murmuring voice and I wondered why it smiled continually and why the lips were so moist with spittle.	それはささやくような声で告白を始めたが、僕はどうしてそれが頻繁に微笑むのだろう、どうしてその唇はそんなにつばで濡れているのだろうと思った。
