The Man and the Snake	男と蛇
It is of veritabyll report, and attested of so many that there be nowe of wyse and learned none to gaynsaye it, that ye serpente hys eye hath a magnetick propertie that whosoe falleth into its svasion is drawn forwards in despyte of his wille, and perisheth miserabyll by ye creature hys byte.	此は真なる報告たり、多々の実例も亦た在りし故、学と賢を知る者は反駁すまい、蛇の目には磁的なる力あり、其の催眠に欺かれる者は自らの意思に依らずして吸い寄せられ、其の一噛みで無惨な死を遂げり。
Stretched at ease upon a sofa, in gown and slippers, Harker Brayton smiled as he read the foregoing sentence in old Morryster's "Marvells of Science."	ハーカー・ブレイトンは、ガウンにスリッパという姿でソファに体をのばし、にやにや笑いながら故モリスターの『驚異の科学』を読んでいた。
"The only marvel in the matter,"	「驚異なのはただ」
he said to himself,	彼は独り言を言った。
"is that the wise and learned in Morryster's day should have believed such nonsense	「モリスターの時代の学者や賢者が、このたわごとを信じてたに違いないってことだけだ。
as is rejected by most of even the ignorant in ours."	今では大抵の馬鹿でも違うと知っているのに」
A train of reflections followed--for Brayton was a man of thought--	ブレイトンは思索家タイプだった。
and he unconsciously lowered his book without altering the direction of his eyes.	思索にふけりはじめた彼は、顔はそのまま、本を持つ手を無意識に降ろした。
As soon as the volume had gone below the line of sight, something in an obscure corner of the room recalled his attention to his surroundings.	本が視界から消えさったそのとき、薄暗い部屋の隅にある何かが彼の気を引いて現実に呼びもどした。
What he saw, in the shadow under his bed, were two small points of light, apparently about an inch apart.	彼が見たものは、ベッドの影の奥で光るふたつの小さな点だった。
They might have been reflections of the gas jet above him, in metal nail heads;	そのふたつの光はおよそ1インチほどの距離をとって並んでいる。
he gave them but little thought and resumed his reading.	彼は、頭上にあるガス灯の光を鉄釘の頭が反射しているのだろうと思い、読書を再開した。
A moment later something	しばらくしてから、何かに駈りたてられて
--some impulse which it did not occur to him to analyze	――その衝動が何かを分析しようとは思いもよらなかった
--impelled him to lower the book again and seek for what he saw before.	――ふたたび本を降ろし、さきほど目にしたものを探した。
The points of light were still there.	光はまだそこにあったが、
They seemed to have become brighter than before,	何だか輝きを増しているように見えた。
shining with a greenish luster which he had not at first observed.	最初にはなかった緑っぽい輝きが宿っていた。
He thought, too, that they might have moved a trifle--were somewhat nearer.	微妙にその間隔が狭まっているようにも思える。
They were still too much in the shadow, however, to reveal their nature and origin to an indolent attention, and he resumed his reading.	しかし、彼のものぐさな注意力にすべてを解き明かせと訴えかけるほどではなかったため、彼はやはり読書を再開した。
Suddenly something in the text suggested a thought which made him start and drop the book for the third time to the side of the sofa,	ふいに文章の中の何かに示唆を受けた彼は本をソファの傍に取り落とした。
whence, escaping from his hand, it fell sprawling to the floor, back upward.	彼の手から逃れた本は表紙を上にして床に広がった。
Brayton, half-risen, was staring intently into the obscurity beneath the bed, where the points of light shone with,	ブレイトンはすこしだけ腰を浮かし、光る点が輝いているベッドの下の暗がりに目を凝らした。
it seemed to him, an added fire.	それはさらに火気を帯びたように見えた。
His attention was now fully aroused, his gaze eager and imperative.	彼の注意力は完全に呼び覚まされ、視線には熱意が宿った。
It disclosed, almost directly beneath the foot rail of the bed, the coils of a large serpent	ベッドの横木のほぼ真下にいたのは、とぐろを巻いた蛇だった。
--the points of light were its eyes!	光はその両眼だったのだ！
Its horrible head, thrust flatly forth from the innermost coil and resting upon the outermost, was directed straight toward him,	その身の毛もよだつ首は、とぐろの中心から彼のほうに突きだされ、胴体の上に落ちついている。
the definition of the wide, brutal jaw and the idiotlike forehead serving to show the direfction of its malevolent gaze.	大きな顎と白痴のような額は、その両眼に何を捕らえているのかをはっきり示していた。
The eyes were no longer merely luminous points; they looked into his own with a meaning, a malign significance.	かつて単なる明るい点だったものは、いまや確かな悪意をもって彼の瞳をのぞきこんでいた。
