The Spider’s Thread	蜘蛛の糸
Akutagawa Ryunosuke	芥川龍之介
One day,	ある日の事でございます。
the Buddha was strolling alone along the edge of a lotus pond in Paradise.	御釈迦様（おしゃかさま）は極楽の蓮池（はすいけ）のふちを、独りでぶらぶら御歩きになっていらっしゃいました。
The blooming lotus flowers in the pond were each pure white like jewels, and the place was filled with the indescribably wondrous fragrance continually emitted from each flower’s golden center.	池の中に咲いている蓮（はす）の花は、みんな玉のようにまっ白で、そのまん中にある金色（きんいろ）の蕊（ずい）からは、何とも云えない好（よ）い匂（におい）が、絶間（たえま）なくあたりへ溢（あふ）れて居ります。
It was just morning in Paradise.	極楽は丁度朝なのでございましょう。
After a time, the Buddha paused at the edge of the pond and from between the lotus leaves that covered it saw a glimpse of the state of things below.	やがて御釈迦様はその池のふちに御佇（おたたず）みになって、水の面（おもて）を蔽（おお）っている蓮の葉の間から、ふと下の容子（ようす）を御覧になりました。
Now this celestial pond just happened to lie directly over Hell, and peering through that crystal-clear water was like looking through a magnifying glass at the River of Death and the Mountain of Needles and such.	この極楽の蓮池の下は、丁度地獄（じごく）の底に当って居りますから、水晶（すいしよう）のような水を透き徹して、三途（さんず）の河や針の山の景色が、丁度覗（のぞ）き眼鏡（めがね）を見るように、はっきりと見えるのでございます。
The Buddha saw there, in the depths of Hell, a single man writhing along with the other sinners.	するとその地獄の底に、陀多（かんだた）と云う男が一人、ほかの罪人と一しょに蠢（うごめ）いている姿が、御眼に止まりました。
This man was named Kandata, and he had been a notorious thief who had performed murder and arson and other acts of evil.	この陀多と云う男は、人を殺したり家に火をつけたり、いろいろ悪事を働いた大泥坊でございますが、
In his past, however, he had performed just one good deed:	それでもたった一つ、善い事を致した覚えがございます。
one day, when walking through the deep forest, he saw a spider crawling along the road.	と申しますのは、ある時この男が深い林の中を通りますと、小さな蜘蛛（くも）が一匹、路ばたを這（は）って行くのが見えました。
At first he raised his foot to crush it,	そこで陀多は早速足を挙げて、踏み殺そうと致しましたが、
but suddenly he changed his mind and stopped, saying,	「いや、いや、これも小さいながら、命のあるものに違いない。
“No, small though it may be, a spider, too, has life.	その命を無暗（むやみ）にとると云う事は、いくら何でも可哀そうだ。」
It would be a pity to meaninglessly end it,”	と、こう急に思い返して、とうとうその蜘蛛を殺さずに助けてやったからでございます。
Looking down upon the captives in Hell the Buddha recalled this kind act that Kandata had performed,	御釈迦様は地獄の容子を御覧になりながら、この陀多には蜘蛛を助けた事があるのを御思い出しになりました。
and thought to use his good deed as a way to save him from his fate.	そうしてそれだけの善い事をした報（むくい）には、出来るなら、この男を地獄から救い出してやろうと御考えになりました。
Looking aside, there on a jade-colored lotus leaf he saw a single spider, spinning out a web of silver thread.	幸い、側を見ますと、翡翠（ひすい）のような色をした蓮の葉の上に、極楽の蜘蛛が一匹、美しい銀色の糸をかけて居ります。
The Buddha carefully took the spider’s thread into his hand, and lowered it straight down between the jewel-like white lotuses into the depths of Hell.	御釈迦様はその蜘蛛の糸をそっと御手に御取りになって、玉のような白蓮（しらはす）の間から、遥か下にある地獄の底へ、まっすぐにそれを御下（おろ）しなさいました。
Kandata was floating and sinking along with the other sinners in the Lake of Blood at the bottom of Hell.	こちらは地獄の底の血の池で、ほかの罪人と一しょに、浮いたり沈んだりしていた陀多（かんだた）でございます。
It was pitch black no matter which way he looked, and the occasional glimpse of light that he would see in the darkness would turn out to be just the glint of the terrible Mountain of Needles.	何しろどちらを見ても、まっ暗で、たまにそのくら暗からぼんやり浮き上っているものがあると思いますと、それは恐しい針の山の針が光るのでございますから、
How lonely he must have felt!	その心細さと云ったらございません。
All about him was the silence of the grave, the only occasional sound being a faint sigh from one of the damned.	その上あたりは墓の中のようにしんと静まり返って、たまに聞えるものと云っては、ただ罪人がつく微（かすか）な嘆息（たんそく）ばかりでございます。
Those who were so evil as to be sent to this place were tired by its various torments, and left without even the strength to cry out.	これはここへ落ちて来るほどの人間は、もうさまざまな地獄の責苦（せめく）に疲れはてて、泣声を出す力さえなくなっているのでございましょう。
Even the great thief Kandata could only squirm like a dying frog as he choked in the Lake of Blood.	ですからさすが大泥坊の陀多も、やはり血の池の血に咽（むせ）びながら、まるで死にかかった蛙（かわず）のように、ただもがいてばかり居りました。
But one day,	ところがある時の事でございます。
raising up his head and glancing at the sky above the lake, in the empty darkness Kandata saw a silver spider’s thread being lowered from the ceiling so far, far away.	何気（なにげ）なく陀多が頭を挙げて、血の池の空を眺めますと、そのひっそりとした暗の中を、遠い遠い天上から、銀色の蜘蛛（くも）の糸が、
The thread seemed almost afraid to be seen, emitting a frail, constant light as it came down to just above Kandata’s head.	まるで人目にかかるのを恐れるように、一すじ細く光りながら、するすると自分の上へ垂れて参るのではございませんか。
Seeing this, Kandata couldn’t help but clap his hands in joy.	陀多はこれを見ると、思わず手を拍（う）って喜びました。
If he were to cling to this thread and climb up it, he may be able to climb out of Hell!	この糸に縋（すが）りついて、どこまでものぼって行けば、きっと地獄からぬけ出せるのに相違ございません。
Perhaps he could even climb all the way to Paradise!	いや、うまく行くと、極楽へはいる事さえも出来ましょう。
Then he would never be chased up the Mountain of Needles, nor drowned in the Lake of Blood again.	そうすれば、もう針の山へ追い上げられる事もなくなれば、血の池に沈められる事もある筈はございません。
Thinking so, he firmly grasped the spider’s thread with both hands and began to climb the thread, higher and higher.	こう思いましたから陀多（かんだた）は、早速その蜘蛛の糸を両手でしっかりとつかみながら、一生懸命に上へ上へとたぐりのぼり始めました。
Having once been a great thief, he was used to tasks such as this.	元より大泥坊の事でございますから、こう云う事には昔から、慣れ切っているのでございます。
