The Nighthawk’s Star	よだかの星
Miyazawa Kenji	宮沢賢治
Nighthawk was truly an ugly bird.	よだかは、実にみにくい鳥です。
His face was covered in splotches as if he had been splattered with miso, and his beak was flat and split all the way back to his ears.	顔は、ところどころ、味噌（みそ）をつけたようにまだらで、くちばしは、ひらたくて、耳までさけています。
His legs were so frail that he could not walk at all.	足は、まるでよぼよぼで、一間（いっけん）とも歩けません。
He was such a sight that just seeing him made other birds uncomfortable.	ほかの鳥は、もう、よだかの顔を見ただけでも、いやになってしまうという工合（ぐあい）でした。
Now Skylark was not a particularly attractive bird, either, but knowing that he looked better than Nighthawk, at least, upon seeing him in the evening he would make a sour face and turn away, silently closing his eyes.	たとえば、ひばりも、あまり美しい鳥ではありませんが、よだかよりは、ずっと上だと思っていましたので、夕方など、よだかにあうと、さもさもいやそうに、しんねりと目をつぶりながら、首をそっ方（ぽ）へ向けるのでした。
The smaller, more talkative birds would speak of him with contempt right in front of him, saying,	もっとちいさなおしゃべりの鳥などは、いつでもよだかのまっこうから悪口をしました。
“Look,	「ヘン。
it’s him again.	又（また）出て来たね。
Would you just look at that?	まあ、あのざまをごらん。
He’s truly a disgrace to birds.”	ほんとうに、鳥の仲間のつらよごしだよ。」
“Indeed.	「ね、
Look at how big his mouth is!	まあ、あのくちのおおきいことさ。
Maybe he’s actually some kind of frog.”	きっと、かえるの親類か何かなんだよ。」
And so on.	こんな調子です。
Now if he had been a real hawk then just mentioning his name would cause these insignificant little birds to tremble and go pale and cower and hide among the leaves!	おお、よだかでないただのたかならば、こんな生（なま）はんかのちいさい鳥は、もう名前を聞いただけでも、ぶるぶるふるえて、顔色を変えて、からだをちぢめて、木の葉のかげにでもかくれたでしょう。
But Nighthawk wasn’t a hawk, or even related to the hawks.	ところが夜だかは、ほんとうは鷹（たか）の兄弟でも親類でもありませんでした。
He was actually the elder brother of the beautiful Kingfisher, and of that avian jewel, Hummingbird.	かえって、よだかは、あの美しいかわせみや、鳥の中の宝石のような蜂（はち）すずめの兄さんでした。
