The Stock-Broker's Clerk	株式仲買店々員
Conan Doyle	コナンドイル
Shortly after my marriage I had bought a connection in the Paddington district.	結婚してからほどなく、私はパッディングトン区にお得意づきの医院を買った。
Old Mr. Farquhar, from whom I purchased it, had at one time an excellent general practice;	私はその医院を老ハルクハー氏から買ったのであるが、老ハルクハー氏は一時はかなり手広く患者をとっていたのであった。
but his age, and an affliction of the nature of St. Vitus's dance from which he suffered, had very much thinned it.	しかし寄る年波とセント・ビタス・ダンスをする習慣があったためすっかりからだを悪くしたので、だんだんお客をなくして淋（さび）れてしまった。
The public not unnaturally goes on the principle that he who would heal others must himself be whole, and looks askance at the curative powers of the man whose own case is beyond the reach of his drugs.	世間の人と云うものは、病人を治療する人間は、その人自身が健康でなくてはならない。
Thus as my predecessor weakened his practice declined, until when I purchased it from him it had sunk from twelve hundred to little more than three hundred a year.	つまりそれと同じような理由で、ハルクハー氏は次第に医院をさびれさせていって、私がその医院を買うまでに一年に千二百人からあった患者が三百人ほどもないくらいにまで減ってしまった。
I had confidence, however, in my own youth and energy and was convinced that in a very few years the concern would be as flourishing as ever.	けれども私は、私の若さと体力とに自信があったので、二三年の間には昔と同様に繁盛するだろうと確信していた。
For three months after taking over the practice I was kept very closely at work	私は仕事を始め出してから三ヶ月の間、最も熱心に注意深く働いた。
and saw little of my friend Sherlock Holmes, for I was too busy to visit Baker Street,	そのため、私はベーカー街に行くには余りにいそがしすぎて、ほとんどシャーロック・ホームズと会わなかった。
and he seldom went anywhere himself save upon professional business.	そして彼自身も、自分の職業上の仕事以外には、どこへも出かけなかった。
I was surprised, therefore, when, one morning in June, as I sat reading the British Medical Journal after breakfast, I heard a ring at the bell, followed by the high, somewhat strident tones of my old companion's voice.	それ故、六月のある朝、朝飯（あさはん）をすましてブリティッシ・メディカル・雑誌を読んでいると、玄関のベルが鳴り、つづいて私の親友の大きな甲高い調子の声がきこえて来たので、私はびっくりした。
``Ah, my dear Watson,''	「やあ、ワトソン君」
said he, striding into the room,	彼は部屋の中に這入（はい）って来ると云った。
``I am very delighted to see you!	「君に会えて嬉しいよ。
I trust that Mrs. Watson has entirely recovered from all the little excitements connected with our adventure of the Sign of Four.''	――君は例の『四つの暗号』事件以来、からだはすっかりいいんだろう？」
``Thank you,	「有難う。
we are both very well,''	――お蔭さまで二人とも丈夫だよ」
said I, shaking him warmly by the hand.	私は彼と友情のこもった握手をしながら云った。
``And I hope, also,''	「そう。
he continued, sitting down in the rocking-chair,	と、彼は廻転椅子の上に腰をおろしながらつづけた。
``that the cares of medical practice have not entirely obliterated the interest which you used to take in our little deductive problems.''	「医者の仕事に本気になりすぎて、僕たちの推理的探偵問題に持っていた君の興味が、全然なくなっちまわないとなお結構なんだけれどね……」
``On the contrary,''	「ところがその反対なんだよ」
I answered,	と、私は答えた。
``it was only last night that I was looking over my old notes, and classifying some of our past results.''	「つい昨夜、僕は古いノートを引っぱり出して調べて、やって来た仕事を分類したばかりなんだよ」
``I trust that you don't consider your collection closed.''	「今までを最後にして、君の蒐集を分類してもう仕事を止めちまおうと思ったわけじゃないんだろうね」
``Not at all.	「全然そうじゃないさ。
I should wish nothing better than to have some more of such experiences.''	それどころか、もっといろいろな経験を積みたいと思ってるくらいだもの。
``To-day, for example?''	「じゃ、きょうからでも、すぐ仕事にかかってくれるかい？」
``Yes,	「やるとも。
to-day, if you like.''	きょうからでも、君が必要だと云うなら……」
``And as far off as Birmingham?''	「遠くってもいいかい？
``Certainly,	「いいとも。
if you wish it.''	君がそこへ行けと云うなら」
``And the practice?''	「けれども商売のほうはどうする？」
``I do my neighbour's when he goes.	「隣の家に住んでる男がどこかへ出かける時はいつも僕が留守を預かってやっていたから、
He is always ready to work off the debt.''	その代り僕が留守をする時は、その男が代りをしてくれることになってるんだ」
``Ha!	「ハハア、
nothing could be better,''	そりア至極好都合だ」
said Holmes, leaning back in his chair and looking keenly at me from under his half-closed lids.	とホームズは椅子にかけたまま後ろにそり反（かえ）って、細めた目で私を鋭く見つめながら云った。
``I perceive that you have been unwell lately.	「君は最近風邪をひいたらしいね。
Summer colds are always a little trying.''	――夏の風邪って云う奴はどうもいかんね」
``I was confined to the house by a severe chill for three days last week.	「先週三日ばかり、馬鹿に寒気がしてね、家に閉じこめられちまったよ。
I thought, however, that I had cast off every trace of it.''	けれどもうすっかりいいつもりなんだ」
``So you have.	「そうらしいね。
You look remarkably robust.''	丈夫そうに見えるよ」
``How, then, did you know of it?''	「けれど、どうして僕が最近風邪をひいたって云うことが分かったんだい？」
``My dear fellow, you know my methods.''	「君は、いつもの僕のやり方を知ってるじゃないか」
``You deduced it, then?''	「じゃ、やっぱり推定したんだね」
``Certainly.''	「無論さ」
``And from what?''	「じゃ、何から？」
``From your slippers.''	「君のスリッパから……」
I glanced down at the new patent-leathers which I was wearing.	私は自分の穿いている護謨革（ごむがわ）の新しいスリッパを見下ろした。
``How on earth -- ''	「だが、一体どうして――？」
I began,	私は云いかけた。
but Holmes answered my question before it was asked.	がホームズは私が云い終らないうちに、私の質問に答えてくれた。
``Your slippers are new,''	「君のスリッパは新しいんだろう」
he said.	と彼は云った。
``You could not have had them more than a few weeks.	「君はそれをまだ二三週間以上は穿いてないよ。
The soles which you are at this moment presenting to me are slightly scorched.	それだのに、今、君が僕のほうにむけているそのスリッパの底は、どこか焦げたような色に変色しているんだ。
For a moment I thought	そこで僕は考えたんだ。
they might have got wet	このスリッパは湿ったに違いない。
and been burned in the drying.	そして乾かす時に焦がされたんだ、とね。
But near the instep there is a small circular wafer of paper with the shopman's hieroglyphics upon it.	――ところがそのかがとのほうに、何か商店のマークのようなものが書いてある丸い紙が貼られてるだろう。
Damp would of course have removed this.	もし全体がぬらされたものだとすると、無論そんな紙ははがれてなくちゃならないさ。
You had, then, been sitting with your feet outstretched to the fire, which a man would hardly do even in so wet a June as this if he were in his full health.''	そこで、君は腰かけていて、火に足をさし出していたんだと云うことになったんだけれど、この六月なんて云う暖い季候に、いかにスリッパが湿ったからと云って、普通の健康体の人間なら火に足をかざすなんてことはしっこないからね」
Like all Holmes's reasoning the thing seemed simplicity itself when it was once explained.	ホームズの推理はすべて、いったん説明されると、いかにも単純そのもののように見えてしまう。
He read the thought upon my features, and his smile had a tinge of bitterness.	彼は私の顔色をうかがってから、微苦笑した。
``I am afraid that I rather give myself away when I explain.''	「僕はどうも思うように説明出来ないので困るんだよ」
said he.	と彼は云った。
``Results without causes are much more impressive.	「原因の分らない結果と云う奴のほうが、実際深く印象されるからね。
You are ready to come to Birmingham, then?''	――それはそうと、君はバーミングハムへ来てくれられるんだね？」
``Certainly.	「無論行くとも。
What is the case?''	――どんな事件なんだい？」
``You shall hear it all in the train.	「汽車の中で話すよ。
My client is outside in a four-wheeler.	――この事件の依頼人が表の四輪馬車の中にいるから。
Can you come at once?''	すぐいかれるかい？」
``In an instant.''	「ああ、すぐ」
I scribbled a note to my neighbour,	私はすぐ隣の住んでいる男に手紙を書いた。
rushed upstairs to explain the matter to my wife, and joined Holmes upon the doorstep.	そして二階へ駈け上って、妻に理由を話し、入口の敷居の上に立っていたホームズと一しょになった。
``Your neighbour is a doctor.''	「お隣さんって云うのは、お医者さんかい？」
said he, nodding at the brass plate.	と、彼は隣の家の真鍮の門札をのぞき込みながら云った。
``Yes,	「ああ、そうだ。
he bought a practice as I did.''	僕と同じように、医院を買ったんだ」
``An old-established one?''	「だいぶ古くからあった医院だったのかい？」
``Just the same as mine.	「僕が買った医院と同時に開かれたものだ。
Both have been ever since the houses were built.''	家が建てられて以来、ずっと二軒とも医院だったらしい」
``Ah!	「ハハア、
then you got hold of the best of the two.''	すると君はそのうちではやるほうを買ったんだね」
``I think I did.	「ああ、そうしたつもりなんだ。
But how do you know?''	けれどどうしてそれが分かる？」
``By the steps, my boy.	「玄関の階段を見れば分かるさ、君。
Yours are worn three inches deeper than his.	君の家のは隣ののよりは三インチも余計にへってるもの。
But this gentleman in the cab is my client, Mr. Hall Pycroft.	――ところで馬車の中にいる男は、依頼人のホール・ピイクロフトと云う男だがね、
Allow me to introduce you to him.	今、君を紹介するから。
Whip your horse up, cabby, for we have only just time to catch our train.''	――オイ、馭者君、汽車にカチカチに間に合うくらいしか時間がないから、いそいで飛ばしてくれ」
The man whom I found myself facing was a well-built, fresh-complexioned young fellow, with a frank, honest face and a slight, crisp, yellow moustache.	私が向き合って坐ったその依頼人と云う男は、あけっ放しな正直そうな顔つきをした、薄いちぢれた黄色い髭をはやした男で、体格のガッシリした活々とした様子の若者だった。
He wore a very shiny top-hat and a neat suit of sober black,	彼はピカピカ光るシルクハットを冠（かぶ）って、手入れのとどいた地味な黒い服を着ていた。
which made him look what he was	がそれは彼が、軽快な若い都会人、
-- a smart young City man, of the class who have been labelled cockneys, but who give us our crack volunteer regiments, and who turn out more fine athletes and sportsmen than any body of men in these islands.	――それも代表的なロンドンっ児で、この国の他のどの階級よりもより多くの義勇兵と競争者と運動家とを出す階級に属している人間であることを、物語っていた。
His round, ruddy face was naturally full of cheeriness, but the corners of his mouth seemed to me to be pulled down in a half-comical distress.	そして彼の丸々とした血色のいい顔は、自然に愉快さで満されていたが、しかしその口の端には、彼が半分はむしろ喜劇的な不幸のためにすっかり沈んでいるらしい所が見えた。
It was not, however, until we were in a first-class carriage and well started upon our journey to Birmingham that I was able to learn what the trouble was which had driven him to Sherlock Holmes.	もっとも彼がどんな不幸に会って、シャーロック・ホームズの所へ飛び込んで来たかと云うことについては、私たちが一等車に乗り込んで、バーミングハムの旅に旅立ってからようやくきくことが出来たのではあったけれど……。
``We have a clear run here of seventy minutes,''	「七十分間この汽車で走るんだが……」
Holmes remarked.	とホームズは云った。
``I want you, Mr. Hall Pycroft, to tell my friend your very interesting experience	「ねえ、ホール・ピイクロフト［＃「ピイクロフト」は底本では「ビイクロフト」］さん、あなたの出会った今度の興味深い事件を、私の友達にも話してやって下さいませんか。
exactly as you have told it to me, or with more detail if possible.	私に話して下すったと同じように正確に、いや、もし願われるなら、それよりも精密に。
It will be of use to me to hear the succession of events again.	――私ももう一度事件の関係をおききしたほうが、いろいろ参考にもなるんです。
It is a case, Watson, which may prove to have something in it, or may prove to have nothing,	――ワトソン君、つまりこの事件の中に何事かがあるか、あるいは何もないかをしらべればいいんだ。
but which, at least, presents those unusual and outre features	しかし少くも事件は、実に奇妙な常規を逸したものなんだ。
which are as dear to you as they are to me.	そしてそれは私にも君にも非常に興味のある事件なんだよ。
Now, Mr. Pycroft.	――どうぞピイクロフトさん、お話しになって下さい。
I shall not interrupt you again.''	私はもうしゃべりませんから……」
Our young companion looked at me with a twinkle in his eye.	私たちの若い同行者は、目の玉をクルリと廻して私を見た。
``The worst of the story is,'' said he, ``that I show myself up as such a confounded fool.	「今度のことで一番に悪かったことは、私が私自身を、すっかり狼狽しちまって、まるで馬鹿のように振舞ったと云う所にあるんです。
Of course it may work out all right,	――無論、それでも私は全力をつくしてやったんです。
and I don't see that I could have done otherwise;	私にはそれより外に出来ることがあるとは思えなかったんです。
but if I have lost my crib and get nothing in exchange I shall feel what a soft Johnny I have been.	けれども、もし私が切札をなくしてその代りに何もとらなかったら、私は自分を、何と云う馬鹿な英国人だろうと感じたでしょう。
I'm not very good at telling a story, Dr. Watson,	――ワトソンさん、私はお話するのが、余り上手ではありません。
but it is like this with me:	――けれどありのままを申上げましょう。
``I used to have a billet at Coxon & Woodhouse's, of Draper Gardens, but they were let in early in the spring through the Venezuelan loan, as no doubt you remember, and came a nasty cropper.	私は呉服屋街のコクソンの店に務めていたんですが、この春大きな損をしまして、たぶん御存じかと思いますが、店がいけなくなっちまったんです。
I have been with them five years,	私はそこに五年おりました。
and old Coxon gave me a ripping good testimonial when the smash came,	だものですから、いよいよ店が破産する時に、私には実に立派な証明書をくれました。
but of course we clerks were all turned adrift, the twenty-seven of us.	――無論、我々事務員は、みんなで二十七人もいたんですが、店が潰れると同時に、みんな散り散りばらばらになってしまいました。
I tried here and tried there, but there were lots of other chaps on the same lay as myself,	――私はあっちへもこっちへも口を頼んでみたんですが、しかしそこにいる連中の運命もまた、私の経験した運命と同じような位置におかれている奴ばかりなんです。
and it was a perfect frost for a long time.	そんなわけで、私は長い間、全く失業状態におちてしまいました。
I had been taking three pounds a week at Coxon's, and I had saved about seventy of them,	私はコクソンの店にいる時は、一週に三ポンドもらっていましたので、それを貯金して七十磅（ポンド）持っていました。
but I soon worked my way through that and out at the other end.	私はそのお金のあるうちに、何か仕事をさがし出さなくてはならないのです。
I was fairly at the end of my tether at last,	けれどほどなくそのお金もなくなってしまいました。
