The Swineherd	ブタ飼い王子
Hans Christian Andersen	ハンス・クリスチャン・アンデルセン
ONCE upon a time lived a poor prince;	むかし、まずしい王子さまがおりました。
his kingdom was very small, but it was large enough to enable him to marry,	その国はとっても小さかったのですが、だれかと結婚しようってくらいには十分な大きさでした。
and marry he would.	そして、その王子さまはある人と結婚したいと思っていたのです。
It was rather bold of him that he went and asked the emperor’s daughter:	それにしても、この王子さまが皇帝さまの娘にむかって
“Will you marry me?”	「結婚してくれますか？」
but he ventured to do so,	それでも王子さまはそう言ったのです。
for his name was known far and wide,	なんたって、王子さまの名前は、たくさんの人が知っているのです。
and there were hundreds of princesses who would have gladly accepted him,	かれが結婚を申し込めば、「はい」とか「よろこんで」と答えるお姫さまだって、数え切れないほどいるでしょう。
but would she do so?	じゃあ、そのお姫さまはなんて答えたでしょうか。
Now we shall see.	さて、そこからこの物語が始まるわけです。
On the grave of the prince’s father grew a rose-tree,	まず、王子さまのお父さんが眠っているお墓には、一本のバラの木が生えていました。
the most beautiful of its kind.	とってもきれいなバラの木でした。
It bloomed only once in five years, and then it had only one single rose upon it, but what a rose!	しかもこのバラは、五年にいちどしか花を咲かせないうえに、咲くときにもたったのひとつしか花を咲かせないバラなのです。
It had such a sweet scent that one instantly forgot all sorrow and grief when one smelt it.	けれど、そのいい香りといったら、かぐだけでそれまでの心配事や悲しい思いもすべて忘れてしまうほどでした。
He had also a nightingale,	それに、王子さまはナイチンゲールも飼っていました。
which could sing as if every sweet melody was in its throat.	このナイチンゲールは、その小さなのどの中にすばらしいメロディーを住ませているのかと思わせるほどに、すてきに歌うことができるのでした。
This rose and the nightingale he wished to give to the princess;	王子さまはこのバラとナイチンゲールをお姫さまにあげることにしました。
and therefore both were put into big silver cases and sent to her.	そこで、それらを大きな銀色の箱につめこんで、お姫さまへ送りました。
The emperor ordered them to be carried into the great hall	皇帝さまはその箱を大きなホールへ運ばせました。
where the princess was just playing “Visitors are coming” with her ladies-in-waiting;	そこではお姫さまと侍女たちが「お客さまごっこ」をして遊んでいました。
when she saw the large cases with the presents therein, she clapped her hands for joy.	そしてお姫さまはプレゼントの箱を見つけると、手をたたいてよろこびました。
“I wish it were a little pussy cat,”	「まあ、その中身がかわいい子ネコだっらたいいのに！」
she said.	お姫さまはそう言いましたが、
But then the rose-tree with the beautiful rose was unpacked.	それはバラの木でした。
“Oh, how nicely it is made,”	「まあ、なんてきれいに作ったバラなんでしょう！」
exclaimed the ladies.	侍女たちは口々に言いました。
“It is more than nice,”	「きれいだというだけじゃない。
said the emperor,	なんてすばらしいんだろう！」
“it is charming.”	皇帝さまが言いました。
The princess touched it and nearly began to cry.	しかしお姫さまはバラにさわると、いまにも泣きそうになりました。
“For shame, pa,”	「きゃあ、お父さま！」
she said,	お姫さまが叫びました。
“it is not artificial, it is natural!”	「これ、作りものじゃなくって、本物の花だわ！」
“Let us first see what the other case contains before we are angry,”	「まあ、怒るまえに、もうひとつの箱の中身を見てみようじゃないか」
said the emperor;	皇帝さまが言いました。
then the nightingale was taken out, and it sang so beautifully that no one could possibly say anything unkind about it.	するとナイチンゲールが飛び出してきて、とっても愉快な声で歌いましたから、すぐにはだれも文句を言うことができませんでした。
“Superbe,	「シュペルブ！
charmant,”	シャルマン！」
said the ladies of the court,	侍女たちはフランス語でおどろきの声をあげました。
for they all prattled French, one worse than the other.	侍女たちはフランス語をたしなんでいたからですが、おどろきの声は誰かが口を出すごとにひどくなっていきました。
“How much the bird reminds me of the musical box of the late lamented empress,”	「その鳥の歌声は、なくなった皇后さまが持っていらしたオルゴールを思い出させますな。
said an old courtier, “it has exactly the same tone, the same execution.”	年とった家臣が言いました。
“You are right,”	「ほんとに、そうじゃな！」
said the emperor, and began to cry like a little child.	皇帝さまはそう言って思い返すと、子どものように泣きました。
“I hope it is not natural,”	「それでも、その鳥が本物じゃなかったらいいんだけど」
said the princess.	お姫さまが言いました。
“Yes, certainly it is natural,”	「いいえ、これは本物の鳥でございます」
replied those who had brought the presents.	この箱を運んできた者が言いました。
“Then let it fly,”	「それなら、その鳥は飛ばしてやりなさい」
said the princess,	お姫さまは言いました。
and refused to see the prince.	そして、王子さまが会いにくるのを絶対に許そうとはしませんでした。
But the prince was not discouraged.	けれども王子さまはめげませんでした。
He painted his face, put on common clothes, pulled his cap over his forehead,	かれは自分の顔に茶色と黒の泥を塗りつけて、耳が隠れるまで帽子をかぶりました。
and came back.	そして、皇帝さまのお屋敷の門をたたいたのです。
“Good day, emperor,”	「ごめんください、皇帝さま！
he said,	このお屋敷でわたしを雇ってくださいませんか？」
“could you not give me some employment at the court?”	王子さまが言いました。
But wait a moment; it just comes into my mind,	「ほお、そうか。
I require somebody to look after my pigs,	それならブタの世話を見てもらおうかな。
for I have a great many.”	なんたって、ブタがいっぱいおるもんでな」
Thus the prince was appointed imperial swineherd,	そうして王子さまは皇帝さまのところで「ブタ飼い」の仕事をすることになりました。
and as such he lived in a wretchedly small room near the pigsty;	そして、ブタ小屋のそばにある小さな汚い小屋をいただきました。
there he worked all day long,	王子さまはそこに座り込むと、何やら仕事を始めました。
and when it was night he had made a pretty little pot.	そして夕方には、かわいい小さなつぼを作りあげました。
There were little bells round the rim,	つぼのまわりには、たくさんの鈴がついていました。
and when the water began to boil in it, the bells began to play the old tune:	つぼのお湯が沸くと、そのベルがとってもすてきな音を鳴らして、昔ながらのメロディを奏でるのでした。
“A jolly old sow once lived in a sty, Three little piggies had she,”	「おお、愛しのアウグスティン、もう何にもない、ない、ない」
