The Tell-Tale Heart	暴露させる心臓
TRUE!	本当なのです。
- nervous - very, very dreadfully nervous I had been	私は神経質に、それもかなり酷い神経質になっていたのでございます。
and am;	それは今も続いております。
but why will you say that I am mad?	それなのに、どういうわけ理由であなた様は私の気がふれているなどとおっしゃるのでしょうか？
The disease had sharpened my senses	病気のせいで神経が過敏になっていただけのことでございます。
- not destroyed - not dulled them.	私の精神は鈍りも壊れもしてはおりません。
Above all was the sense of hearing acute.	何よりも聴覚が人一倍鋭くなっていたのです。
I heard all things in the heaven and in the earth.	私には天上と地上のどんな音でも聞き取ることができました。
I heard many things in hel.l	地獄の音もたくさん耳にしました。
How, then, am I mad?	それなのに、どうして私の気がふれているのでしょうか？
Hearken!	それなら、どうぞよくお聴きになって下さいませ。
and observe how healthily - how calmly I can tell you the whole story.	私がいかにまともに、いかに落ち着いて事の一部始終をお話できるかお聴きになるとよろしいでしょう。
It is impossible to say how first the idea entered my brain;	どうしてこういう考えが最初に頭に浮かんだのか自分でもわかりません。
but once conceived, it haunted me day and night.	でも、いったん思いついてしまうと朝から晩までその考えが頭について離れなくなってしまったのでございます。
Object there was none.	目的などあろうはずもございません。
Passion there was none.	怒りで恨みが募っていたいうわけでもないのです。
I loved the old man.	私はあの老人を愛しておりました。
He had never wronged me.	老人から不当な扱いを受けたことはついぞございません。
He had never given me insult.	私を侮辱するようなことは決してございませんでした。
For his gold I had no desire.	あの老人の財産がほしいと望んだこともありません。
I think it was his eye!	ああ、そうです、あの老人の目だったのです！
yes,	そうですとも。
it was this!	まちがいございません。
He had the eye of a vulture - a pale blue eye, with a film over it.	あの禿鷹のような眼、膜の張ったどんよりとしたあの眼なのでございます。
Whenever it fell upon me, my blood ran cold;	あの眼で見られると決まって体中の血が凍り付いてしまったようになるのです。
and so by degrees - very gradually - I made up my mind to take the life of the old man,	そういうわけで私は徐々に、次第次第に、あの老人の命をうばってやろうと心に決めたのでございます。
