Greetings/Leave-Takings	Ｉ．　基礎編　　よく会話で使用される目的別の表現
Introductions	2. 紹介
Asking for Information	3. 尋ねる
Expressing Appreciation	4. 感謝する
Complaining	5. 苦情を言う
Apologizing	6. 謝る
Making Requests	7. 頼む
Accepting and Agreeing	8. 承諾する。同意する
Refusing	9. 断わる
Giving Feedback and Asking for Clarification	10. 返事をする。確かめる
On the Plane	1. 機内で
Finding Your Seat	A. 席を探す
Sitting Down	B. 着席
Taking Off	C. 離陸
Serving Drinks	D. 飲物のサービス
Serving Meals	E. 食事のサービス
Duty Free Shopping	F. 免税サービス
Miscellaneous	G. 機内の種々のできごと
Problems on the Plane	H. 機内でのトラブル
At the Airport	2. 空港で
Changing Planes	A. トランジット
Immigration	B. 入国審査
Picking up Luggage	C. 荷物の受取
At Customs	D. 税関で
At the Money Exchange	E. 両替
Meeting Someone at the Airport	F. 出迎え
Lost Baggage	G. 荷物の紛失
From the Airport to the City	3. 空港から町へ
Inquiring about Transportation	A. 乗り物を探す
Sharing a Taxi	B. タクシーの相乗り
Purchasing Tickets for the Airport Bus	C. 空港バスの切符を買う
Taking the Airport Bus	D. 空港バスに乗る
Renting a Private Limousine	E. リムジンを貸し切る
Checking into a Hotel	4. ホテルにチェックインする
Finding a Hotel	A. ホテルを探す
Checking in with a Reservation	B. 予約のしてあるホテルにチェックイン
Checking in without a Reservation	C. 予約なしでチェックインする
Having Your Baggage Taken to your Room	D. 部屋に荷物を運ばせる
Problems with Checking In	E. チェックインのトラブル
Services at the Hotel	5. ホテルのサービス
Wake-up Call	A. モーニングコール
Room Service	B. ルームサービス
Safety Deposit Boxes	C. 貸金庫
Asking about Facilities	D. 施設を尋ねる
Laundry Service	E. 洗濯のサービス
Problems at the Hotel	F. ホテルでのトラブル
Making a Phone Call	6. 電話
Making a Local Call	A. 市内電話をかける
Using a Pay Phone	B. 公衆電話を使う
Using a Telephone in a Hotel	C. ホテルの電話を使用する
Using Someone Else's Phone	D. 電話を借りる
If Your Party is Not Available	E. 留守の場合
Making a Long Distance Call	F. 長距離電話をかける
Collect Calls	G. 受信人払いの電話
Hotel Telephone Charges	H. ホテルの電話料金
Handling Money	7. 金銭の扱い
Getting Change	A. 小銭を入手する
Paying the Bill	B. 支払いをする
Cashing Traveler's Checks	C. トラベラーズチェックを現金にする
Paying with a Credit Card	D. クレジットカードでの支払い
Mistakes on Bills	E. 勘定書きが違う
Meals	8. 食事（各種）
Ordering Breakfast	A. 朝食の注文
Ordering Lunch	B. 昼食の注文
At a Hamburger Shop	C. ハムバーガー店で
At a Coffee Shop	D. コーヒーショップで
At a Bar	E. バーで
Mistakes in Orders	F. 注文したものと違うものが来る
At the Restaurant	9. レストランで
Making a Reservation	A. 予約をする
Cancelling a Reservation	B. 予約を取り消す
Visiting a Restaurant	C. レストランに行く
Being Seated	D. 席に着く
At the Table	E. テーブルで
Ordering a Meal	F. 食事の注文をする
During the Meal	G. 食事中
Ordering Dessert	H. デザートの注文
Paying the Bill	I. 勘定を払う
Getting Around Town	10. 町を歩く
At a Tourist Information Center	A. 観光案内所で
Asking Directions	B. 道を尋ねる
On the Street	C. 道で
Arranging Transportation	D. 交通の手配
Finding Your Way	E. 道に迷う
City Transportation	11. 市内の交通機関
Asking about City Transportation	A. 交通機関を尋ねる
Taking a Taxi	B. タクシーに乗る
Taking a City Bus	C. 市バスに乗る
Taking the Subway	D. 地下鉄に乗る
Taking a Shuttle	E. シャトルバスに乗る
Trouble with a Taxi	F. タクシーのトラブル
Sightseeing	12. 観光
Obtaining Sightseeing Information	A. 観光情報を入手する
Going on a Tour	B. ツアーに参加する
Talking with the Guide	C. ガイドとの会話
While Sightseeing	D. 観光で
Getting Your Picture Taken	E. 写真を撮ってもらう
Finding a Bathroom	F. トイレが分からない
Shopping	13. ショッピング
Just Looking	A. ウインドウショッピング
At a Department Store	B. デパートで
At a Souvenir Shop	C. おみやげ店で
At a Jewelry Store	D. 宝石店で
At a Ladies' Clothing Shop	E. 婦人服店で
At a Drugstore	F. 薬局で
Returning Merchandise	G. 買ったものが壊れている
Entertainment	14. 娯楽
Obtaining Information about Plays	A. 芝居の情報を入手する
Buying Theater Tickets	B. 芝居の切符を買う
Movies	C. 映画
At the Movie Theater	D. 映画館で
In the Museum	E. 博物館で
No Photographs	F. 撮影禁止
Security	G. 荷物検査
At the Post Office	15. 郵便局で
Sending a Letter	A. 手紙を送る
Buying Stamps and Postcards	B. 切手とはがきを買う
Sending a Parcel	C. 小包を送る
Sending Books	D. 本を送る
Using Overnight Mail	E. 翌日配達郵便で送る
Problems at the Post Office	F. 郵便局でのトラブル
Renting a Car	16. レンタカーを借りる
Asking for a Car	A. 車を頼む
Giving Information	B. 情報を提供する
Arranging Insurance	C. 保険をかける
Making Arrangements to Return the Car	D. 車を返す手続きをする
Returning the Car	E. 車を返す
Long Distance Transportation	17. 長距離の交通機関
Inquiring about Schedules and Fares	A. スケジュールと料金を尋ねる
Making Airline Reservations	B. 飛行機の予約をする
Reconfirming Reservations	C. 予約の再確認をする
Making Train Reservations	D. 列車の予約をする
Taking a Long Distance Bus	E. 長距離バスに乗る
Going on Tours and Cruises	F. 宿泊を伴う旅行に参加する
Problems with Long Distance Transportation	G. 長距離交通機関の問題
Social Events	18. 社交行事
Making Plans	A. 計画を立てる
Making Arrangements	B. 準備をする
Arriving at a Party	C. パーティーに加わる
Attending a Sports Event	D. スポーツ観戦をする
Problems with Social Events	E. 社交行事の問題
Barbers and Beauty Salons	19. 理髪店と美容院
Making an Appointment	A. 予約をする
Arriving at the Beauty Shop	B. 美容院に着く
Telling the Beautician What You Want	C. 美容師にどのようにするかを言う
Getting a Permanent	D. パーマネントをかける
At a Barber Shop	E. 理髪店で
Loss & Theft	20. 紛失、盗難
At the Hotel	A. ホテルで
Forgetting Something at a Store	B. 店で忘れ物をする
At the Lost and Found	C. 遺失物取扱所で
At the Police Station	D. 警察で
Reissuing a Credit Card	E. クレジットカードの再発行
Sickness and Injury	21. 病気や負傷
At a Hotel	A. ホテルで
An Injury on the Street	B. 道でけがをして
Making an Appointment with a Dentist	C. 歯医者の予約をする
At the Doctor's Office	D. 医院で
Describing Symptoms	E. 症状を伝える
Discussing Treatment	F. 治療を理解する
Visiting American Families	22. アメリカ人家庭の訪問
Receiving an Invitation	A. 招待を受ける
Refusing an Invitation	B. 招待を断わる
At the Door	C. 玄関で
In the Living Room	D. リビングルームで
At the Table	E. 食卓で
After Dinner	F. 食事を終えて
Saying Goodbye	G. 帰宅
On Business	23. 仕事で
Making an Appointment	A. 会う約束を取る
Arriving for an Appointment	B. アポイントをとり訪問する
Meeting a New Business Acquaintance	C. 新しい仕事のパートナーと会う
Selling to an American Company	D. アメリカの会社に売り込む
Arranging to Send a Fax	E. ファクシミリを送る手配をする
