There was a certain island in the sea,	海の中にとある島があった。
the only inhabitants of which were an old man, whose name was Prospero, and his daughter Miranda, a very beautiful young lady.	そこには、プロスペロウという名の老人と、その娘で名前をミランダというとても美しい娘が２人だけで暮らしていた。
She came to this island so young that she had no memory of having seen any other human face than her father's.	ミランダは幼い頃にこの島にやってきたので、父の顔以外に、人間の顔を見た覚えがなかった。
They lived in a cave or cell, made out of a rock;	２人は岩でできたほら穴（すなわち岩屋）に住んでいた。
it was divided into several apartments, one of which Prospero called his study;	そこにはいくつか部屋があって、その１つをプロスペロウは書斎と呼んでいた。
there he kept his books, which chiefly treated of magic,	彼はそこに、魔術について書かれた本などを収めていた。
a study at that time much affected by all learned men:	魔術に関する研究は、当時は研究者がこぞって愛用していたのだ。
and the knowledge of this art he found very useful to him;	プロスペロウが身につけた魔術の知識は、彼にとっておおいに役に立った。
for being thrown by a strange chance upon this island, which had been enchanted by a witch called Sycorax,	というのは、プロスペロウは妙な巡り合わせでこの島に打ち上げられたのであるが、そのとき島にはシコラックスという魔女によって魔法がかけられていたのである。
who died there a short time before his arrival,	シコラックスは、プロスペロウがこの島に流れつく少し前に死んでいた。
Prospero, by virtue of his art, released many good spirits that Sycorax had imprisoned in the bodies of large trees,	プロスペロウは魔術を駆使して、大木の幹の中に閉じこめられていた、たくさんの善良なる精霊たちを解放したのだ。
because they had refused to execute her wicked commands.	なぜ精霊たちが閉じこめられていたかというと、シコラックスのよこしまな命令に従うのを拒んでいたからである。
These gentle spirits were ever after obedient to the will of Prospero.	精霊たちはおとなしい性格を持っており、解放された後はプロスペロウの意志に従っていた。
Of these Ariel was the chief.	その頭はエアリエルというものであった。
The lively little sprite Ariel had nothing mischievous in his nature,	陽気な小妖精エアリエルは、生まれつきいたずらをするような性格ではなかった。
except that he took rather too much pleasure in tormenting an ugly monster called Caliban,	ただ、キャリバンという名の醜い怪物をいじめておもしろがる悪いくせがあった。
for be owed him a grudge	エアリエルはキャリバンに恨みを持っていた。
because he was the son of his old enemy Sycorax.	キャリバンが旧敵シコラックスの息子だったからだ。
