The Time Machine	タイムマシン
The Time Traveller (for so it will be convenient to speak of him) was expounding a recondite matter to us.	時間旅行者（と便宜上呼んでおく）はわれわれにとっては難解な事柄を述べ立てていた。
His grey eyes shone and twinkled, and his usually pale face was flushed and animated.	その灰色の目は輝き、きらめいて、そしていつもは青白い顔も紅潮して生き生きとしている。
The fire burned brightly, and the soft radiance of the incandescent lights in the lilies of silver caught the bubbles that flashed and passed in our glasses.	火が明るく燃え、銀の百合の中の白熱光からの柔らかい放射が、われわれのグラスの中をきらめきながらたちのぼるあぶくをとらえている。
Our chairs, being his patents, embraced and caressed us rather than submitted to be sat upon, and there was that luxurious after-dinner atmosphere when thought roams gracefully free of the trammels of precision.	われわれの椅子は、かれの発明品なので、単に漫然と座られるにとどまらず、われわれを包み込み愛撫して、そこにはあの思考が厳密性の束縛を逃れて優雅に奔走する、晩餐後の豪華な雰囲気があった。
And he put it to us in this way--marking the points with a lean forefinger--as we sat and lazily admired his earnestness over this new paradox (as we thought it:) and his fecundity.	そしてかれは――論点を細い人差し指で印しつつ――われわれが座ってこの新しいパラドックス（とわれわれが思ったもの）についてのかれの真剣さと活力について、怠惰に感嘆するのを前に、このようにして説明してくれたのだった。
`You must follow me carefull.	「わたしの話に慎重についてきてほしい。
I shall have to controvert one or two ideas that are almost universally accepted.	ほとんど全面的に受け容れられている観念をいくつか覆さざるを得ないでしょう。
The geometry, for instance, they taught you at school is founded on a misconception.'	たとえば学校で教わった幾何学は、ある誤解に基づいているのです」
`Is not that rather a large thing to expect us to begin upon?'	「われわれの手始めとするには、それはいささか話がでかくはありませんかね」
said Filby, an argumentative person with red hair.	と赤毛の議論好きなフィルビーが述べた。
`I do not mean to ask you to accept anything without reasonable ground for it.	「合理的な根拠なしに何かを受け容れろと要求するつもりはありません。
You will soon admit as much as I need from you.	あなたたちはじきに、わたしが必要なだけのことを認めることになるのですし。
You know of course that a mathematical line, a line of thickness NIL, has no real existence.	みなさんはもちろん、数学的な線、厚みなしの線は本当の意味では実在しないということはご存じですよね。
They taught you that?	そこまでは教わりましたか？
Neither has a mathematical plane.	数学的な面もそうです。
These things are mere abstractions.'	こうしたものはただの抽象概念です」
`That is all right,'	「それはそのとおり」
said the Psychologist.	と心理学者。
`Nor, having only length, breadth, and thickness, can a cube have a real existence.'	「同じく、長さと幅と厚さを持つだけの立方体も現実には存在し得ません」
`There I object,'	「それには反対します」
said Filby.	とフィルビー。
`Of course a solid body may exist.	「固体はもちろん存在できますよ。
All real things--'	あらゆる現実のモノは――」
`So most people think.	「ほとんどの人はそう考えます。
But wait a moment.	でもちょっと待ってくださいよ。
Can an INSTANTANEOUS cube exist?'	瞬間的な立方体は存在できるでしょうか？」
`Don't follow you,'	「よくわかりませんが」
said Filby.	とフィルビー。
`Can a cube that does not last for any time at all, have a real existence?'	「ちょっとの時間すら保たない立方体は、本当に実在しているといえますか？」
Filby became pensive.	フィルビーは考え込んでしまった。
`Clearly,'	時間旅行者は続けた。
the Time Traveller proceeded,	「明らかに、すべての実体は4つの方向に延長を持たなくてはなりません。
it must have Length, Breadth, Thickness, and--Duration.	長さ、幅、厚さ、そして――期間です。
But through a natural infirmity of the flesh, which I will explain to you in a moment, we incline to overlook this fact.	でも肉体の自然な弱点（これについてはすぐに説明しますが）によって、われわれはこの事実を見過ごしがちなのです。
There are really four dimensions, three which we call the three planes of Space, and a fourth, Time.	実際には次元は4つあって、そのうち3つはわれわれが空間の3方向と呼ぶもので、4つめが時間です。
There is, however, a tendency to draw an unreal distinction between the former three dimensions and the latter,	でも、最初の3つと最後の時間との間に、実在しない区別をする傾向があります。
because it happens that our consciousness moves intermittently in one direction along the latter from the beginning to the end of our lives.'	なぜならわれわれの意識は絶え間なく時間にそって一方向に、人生の始まりから終わりへと移動するからです」
`That,'	「それは」
said a very young man, making spasmodic efforts to relight his cigar over the lamp;	とあるとても若い男が、ランプで葉巻に火をつけ直そうとしてスパスパと痙攣じみた努力をしつつ述べた。
`that . . . very clear indeed.'	「それは……非常にはっきりしていますね」
`Now, it is very remarkable that this is so extensively overlooked,'	「さて、これがかくも徹底して見過ごされているというのは、実に驚くべきことです」
continued the Time Traveller, with a slight accession of cheerfulness.	と時間旅行者は、ちょっと陽気さを増して続けた。
`Really this is what is meant by the Fourth Dimension,	「実はこれこそが4次元というものなのです。
though some people who talk about the Fourth Dimension do not know they mean it.	ただし4次元の話をする人の中には、自分が時間のことを語っているとは気がついていない人もいますが。
It is only another way of looking at Time.	それは単に、別の見方をした時間でしかないのです。
THERE IS NO DIFFERENCE BETWEEN TIME AND ANY OF THE THREE DIMENSIONS OF SPACE	時間と、空間の3つの次元との間には、なんらちがいはありません。
EXCEPT THAT OUR CONSCIOUSNESS MOVES ALONG IT.	唯一の差は単にわれわれの意識が時間に沿って動くというだけです。
But some foolish people have got hold of the wrong side of that idea.	でも一部の愚かな人々は、この考え方を変な捉え方をしていますよ。
You have all heard what they have to say about this Fourth Dimension?'	この4次元について、そういう人が何を語っているかお聴きになっていますよね？」
`_I_ have not,'	「わしは聞いとらんぞ」
said the Provincial Mayor.	と地区長官。
`It is simply this.	「単にこういうことです。
That Space, as our mathematicians have it, is spoken of as having three dimensions,	空間は、われらが数学者諸君によれば、3つの次元を持つかのように言われています。
which one may call Length, Breadth, and Thickness,	長さ、幅、厚さといってもいいでしょう。
and is always definable by reference to three planes, each at right angles to the others.	そしてそれは常に、お互いに直角に交わる3つの平面を参照することで定義できる、と。
But some philosophical people have been asking why THREE dimensions particularly	でも一部の哲学的な人々は、なぜことさら3つの次元なのか、と考えました
--why not another direction at right angles to the other three?	――ほかの3平面と直角に交わるもう一つの方向があったっていいじゃないか？
--and have even tried to construct a Four-Dimension geometry.	――そして4次元幾何学を構築しようとさえしたのです。
Professor Simon Newcomb was expounding this to the New York Mathematical Society only a month or so ago.	サイモン・ニューコーム教授は、これをニューヨーク数学会にほんの一月ほど前に提案していましたよ。
You know how on a flat surface, which has only two dimensions,	2次元しかない平面上に3次元固体の絵を表現できますね。
we can represent a figure of a three-dimensional solid, and similarly they think that by models of thee dimensions they could represent one of four	だから同じようにして、3次元の模型によってかれらは4次元の固体を表現できると考えているのです
--if they could master the perspective of the thing.	――もしその透視法さえつかめれば、というわけです。
See?'	ご理解いただけましたか？」
`I think so,'	「まあなんとか」
murmured the Provincial Mayor;	と地区長官はつぶやいた。
and, knitting his brows, he lapsed into an introspective state, his lips moving as one who repeats mystic words.	そして眉根をよせて、長考状態に入り込み、その唇を神秘的な呪文を唱える者のように動かしていた。
`Yes, I think I see it now,'	「うん、わかったと思う」
he said after some time, brightening in a quite transitory manner.	しばらくしてかれは、突然うって変わったように明るく述べた。
`Well, I do not mind telling you I have been at work upon this geometry of Four Dimensions for some time.	「では言わせていただきますが、このわたしも4次元幾何学についてはかなり前から研究していたのです。
Some of my results are curious.	いくつかの結果は奇妙なものです。
For instance, here is a portrait of a man at eight years old,	たとえば、ここに8歳の男性の肖像があります。
another at fifteen, another at seventeen, another at twenty-three, and so on.	こちらは15歳、こちらは17、こちらは23、という具合です。
All these are evidently sections,	これらは明らかに、いわば断面図です。
as it were, Three-Dimensional representations of his Four-Dimensioned being, which is a fixed and unalterable thing.	固定され改変不可能な4次元の存在の、3次元表現というわけです」
`Scientific people,'	これが適切に理解されるだけの間をおいて、時間旅行者は続けた。
proceeded the Time Traveller, after the pause required for the proper assimilation of this,	「科学的な人々は、
`know very well that Time is only a kind of Space.	時間が空間の一種だということをよく知っています。
