What The Tortoise Said To Achilles	亀がアキレスに言ったこと
Achilles had overtaken the Tortoise, and had seated himself comfortably on its back.	アキレスは亀に追いついて、亀の背中に気持よさそうに座っていました。
"So you've got to the end of our race-course?"	「それじゃ、あなたは私達の競走路の終点に到着したってことですね？」
said the Tortoise.	と亀が言いました。
"Even though it does consist of an infinite series of distances?	「距離の無限級数からできてるっていうのに？
I thought some wiseacre or other had proved that the thing couldn't be done?"	知ったかぶりの連中がそんなことできっこないって証明したはずですが？」
"It can be done,"	「できるさ。」
said Achilles.	とアキレスはいいました。
"It has been done!	「やったんだ。
Solvitur ambulando.	歩行シテ解決セリ。
You see	君知ってるだろ。
the distances were constatntly diminishing:	距離ったって一定に減ってくんだ。
and so -"	それで…」
"But if they had been constantly increasing?"	「でも、一定で増えていくなら？」
the Tortoise interrupted.	と亀が口をはさみました。
"How then?"	「その時はどうなります？」
"Then I shouldn't be here,"	「そんときは、僕はここにいないさ。」
Achilles modestly replied;	とアキレスは謙遜して答えました。
"and you would have got several times round the world, by this time!"	「君は今ごろ世界を何周もまわってるさ。」
"You flatter me	「よろばせてくれますね。
- flatten, I mean," said the Tortoise;	--いや、よろめかせてと言うつもりでした。
"for you are a heavy weight, and no mistake!	なにしろ、あなたはとても重々しい方だから、間違えようもなく！
Well now, would you like to hear of a race-course,	ところである競走路のことを聞きたくありませんか。
that most people fancy they can get to the end of in two or three steps, while it really consists of an infinite number of distances, each one longer than the previous one?"	たいていの人が二、三歩で終点に着けると思ってしまうのですが、ところがどっこい、実際は無限の個数の距離からできていて、それぞれの距離はその前のものより長いんですよ。」
"Very much indeed!"	「とても聞きたいね。」
said the Grecian warrior,	とギリシャの戦士は言いました。
as he drew from his helmet (few warriors possessed pockets in those days) an enormous note-book and a pencil.	そして自分の兜から（その時代、ポケットを持ってる戦士なんてほとんどいませんでしたから）大きなノートと鉛筆を引っ張りだしました。
"Proceed!	「続けて！
And speak slowly, please!	でもゆっくり話してくれたまえ。
Short-hand isn't invented yet!"	まだ速記なんて発明されていないのだからな。」
"That beautiful First Proposition of Euclid!"	「ユークリッドのあの美しい第一命題」
the Tortoise murmured dreamily.	と亀は夢見るようにつぶやきました。
"You admire Euclid?"	「ユークリッドには感服されます？」
"Passionately!	「情熱的に！
So far, at least, as one can admire a treatise that won't be published for some centuries to come!"	少なくとも、数世紀たたないと出版されないひとつの学術論文に感服する程にはな。」
"Well, now, let's take a little bit of the argument in that First Proposition	「では、この第一命題の論議をちょっとばかり取り上げてみましょう。
- just two steps, and the conclusion drawn from them.	--ちょうど二つの前提とそれから導かれた結論ですが。
Kindly enter them in your note-book.	すみませんがノートに書き加えてくださいな。
And, in order to refer to them conveniently, let's call them A, B, and Z:	それで言及するとき便利なようにＡ、Ｂ、Ｚと呼ぶことにしましょう。
(A) Things that are equal to the same are equal to each other.	（Ａ）同一のものに等しいものは、お互いに等しい。
(B) The two sides of the Triangle are things that are equal to the same.	（Ｂ）三角形の二つの辺は同一のものに等しい。
(Z) The two sides of this Triangle are equal to each other.	（Ｚ）この三角形の二つの辺は、お互いに等しい。
"Readers of Euclid will grant, I suppose, that Z follows logically from A and B, so that anyone who accepts A and B is true, must accept Z as true?"	ユークリッドの読者なら、ＺがＡとＢから論理的に導かれ、それでＡとＢが真と認めるなら、Ｚも真と認めなければならないということに同意すると思いますね。」
"Undoubtedly!	「そうだとも！
The youngest child in a High School - as soon as High Schools are invented, which will not be till some two thousand years later - will grant that."	高校の一番小さなガキでも--それも高校というものが考案されるやすぐに、しかし二千年も先のことだが--それに同意するだろうよ。」
"And if some reader had not yet accepted A and B as true, he might still accept the Sequence as a valid one, I suppose?"	「で、ＡとＢが真とは認めないのに、結論は正当なものだと認めるような読者がいるかも知れませんね。」
"No doubt such a reader might exist.	「確かにそんな読者がいるだろうよ。
He might say 'I accept as true the Hypothetical Proposition that, if A and B be true, Z must be true; but I don't accept A and B as true.'	そいつは『ＡとＢが真ならばＺも真でなければならないという仮言的命題は真であると認めますが、ＡとＢは真だとは認めません。』と言うんだろう。
Such a reader would do wisely in abandoning Euclid, and taking to football."	そんな読者はユークリッドはあきらめて、サッカーをやるのが賢明だろうよ。」
"And might there not also be some reader who would say 'I accept A and B as true, but I don't accept the Hypothetical'?"	「それで中には『ＡとＢは真だと認めるんだけど、仮言的命題は認めない』という読者だっているとは思いませんか。」
"Certainly there might.	「確かにいるかも知れないな。
He, also, had better take to football."	そいつもサッカーをやったほうがいいだろうさ。」
"And neither of these readers,"	「で、こうした読者はどちらも」
the Tortoise continued,	と亀は続けました。
"is as yet under any logical necessity to accept Z as true?"	「今のところＺが真であると認める論理的必然性はないわけですよね？」
"Quite so,"	「まさしくそうだ。」
Achilles assented.	とアキレスは同意しました。
"Well, now, I want you to consider me as a reader of the second kind,	「では私が二番目の種類の読者だと考えてみてください。
and to force me, logically, to accept Z as true."	そして私がＺが真であると論理的に認めざるを得なくしてみてください。」
"A tortoise playing football would be - "	「サッカーをする亀なんて--」
Achilles was beginning.	とアキレスは始めました。
" - an anomaly, of course,"	「--変わってますよ、もちろん。」
the Tortoise hastily interrupted.	と亀はあわてて口をはさみました。
"Don't wander from the point.	「論点をはずさないでくださいな。
Let's have Z first, and football afterwards!"	Ｚを先にやって、フットボールは後回しにしましょう。」
"I'm to force you to accpt Z, am I?"	「僕が君にＺを認めさせるのだな？」
Achilles said musingly.	とアキレスは物思いに耽りながら言いました。
"And your present position is that you accept A and B, but you don't accept the Hypothetical -"	「で、君の今の立場は君はＡとＢを認めるが仮言的命題は認めないと--」
"Let's call it C,"	「それをＣと呼びましょう。」
said the Tortoise.	と亀が言いました。
" - but you don't accept: (C) If A and B are true, Z must be true."	「--しかし君は
"That is my present position,"	「それが私の今の立場です。」
said the Tortoise.	と亀が言いました。
"Then I must ask you to accept C."	「そこで僕が君にＣを認めるように頼まなければならない。」
"I'll do so,"	「認めましょう。」
said the Tortoise,	と亀が言いました。
"as soon as you've entered it in that note-book of yours.	「あなたのノートに書き加えてくれたらすぐに。
What else have you got in it?"	そのノートに他に何がかいてあるのですか？」
"Only a few memoranda,"	「メモがちょっとだけ。」
said Achilles, nervoiusly fluttering the leaves:	アキレスは神経質そうにページをパラパラさせて言いました。
"a few memoranda of - of the battles in which I have distinguished myself!"	「僕が戦でたてた手柄のメモが少しだけ。」
"Plenty of blank leaves, I see!"	「白いページがいっぱいありますね。」
the Tortoise cherily remarked.	亀が嬉しそうに感想を言いました。
"We shall need them all!"	「それが全部いるようになりますよ！」
(Achilles shuddered.)	（アキレスはぞっとしました。）
"Now write as I dictate:	「さて、私が言う通りに書いてください。
(A) Things that are equal to the same are equal to each other.	（Ａ）同一のものに等しいものは、お互いに等しい。
(B) The two sides of this triangle are things that are equal to the same.	（Ｂ）三角形の二つの辺は同一のものに等しい。
(C) If A and B are true, Z must be true.	（Ｃ）もしＡとＢが真ならば、Ｚも真でなければならない。
(Z) The two sides of this Triangle are equal to each other."	（Ｚ）この三角形の二つの辺は、お互いに等しい。」
"You should call it D, not Z,"	「ＺじゃなくてＤと呼ぶべきじゃないのかい。」
said Achilles.	とアキレスが言いました。
"It comes next to the other three.	「他の三つの次にあるんだし。
If you accept A and B and C, you must accept Z."	君がＡとＢとＣを認めるのなら、Ｚも認めなければならないのだよ。」
"And why must I?"	「なぜ私が認めなければならないのですか？」
"Because it follows logically from them.	「それから論理的に導かれるからさ。
If A and B and C are true, Z must be true.	ＡとＢとＣが真ならば、Ｚも真でなければならない。
You don't dispute that, I imagine?"	それに疑いをさしはさむのではないだろうね？」
"If A and B and C are true, Z must be true,"	「ＡとＢとＣが真ならば、Ｚも真でなければならない。」
the Tortoise thoughtfully repeated.	亀は思慮深げに繰り返しました。
