Harlem.	ニューヨーク市ハーレム。
Mrs. Fink had dropped into Mrs. Cassidy's flat one flight below.	ミセス・フィンクは1階下のミセス・カシディの部屋に降りていった。
"Ain't it a beaut?"	「ねえ、きれいじゃない？」
said Mrs. Cassidy.	とミセス・カシディは言った。
She turned her face proudly for her friend Mrs. Fink to see.	誇らしげに首を回し、ミセス・フィンクに顔が見えるようにする。
One eye was nearly closed, with a great, greenish-purple bruise around it.	片目の回りに青黒い痣ができていて、ほとんどふさがっている。
Her lip was cut and bleeding a little and there were red finger-marks on each side of her neck.	唇は切れ、ほんの少し血が流れており、首の両側には赤い手形がついている。
"My husband wouldn't ever think of doing that to me,"	「うちのひとは私にそんなことしようなんて考えもしないけどな」
said Mrs. Fink, concealing her envy.	とミセス・フィンクは羨ましいのを隠しながら言った。
"I wouldn't have a man," declared Mrs. Cassidy, "that didn't beat me up at least once a week.	「少なくとも1週間に一度くらいは私をぶってくれない男なんてごめんよ。
Shows he thinks something of you.	ちょっとくらいは気にかけてるって示してもらわないと。
Say!	そうよ！
but that last dose Jack gave me wasn't no homeopathic one.	でもジャックが最後にくれたのはひと味違ってたのよ。
I can see stars yet.	まだ目の前で星がとびかってるもの。
But he'll be the sweetest man in town for the rest of the week to make up for it.	でもあのひとはその償いにその週のあとの日はずっと優しくしてくれるんだから。
This eye is good for theater tickets and a silk shirt waist at the very least."	この目にだって芝居のチケットとシルクのブラウスくらいのことはありそうよ」
"I should hope,"	「うちのひとは」
said Mrs. Fink, assuming complacency,	ミセス・フィンクは自慢げなふりをして言った。
"that Mr. Fink is too much of a gentleman ever to raise his hand against me."	「とっても立派な紳士だから私に手を上げようなんて考えもしないのよ」
"Oh, go on, Maggie!"	「無理しないことね、マギー」
said Mrs. Cassidy, laughing and applying witch hazel,	とミセス・カシディはマンサクの膏薬を塗りながら笑い飛ばした。
"you're only jealous.	「あんた、妬んでるんでしょう。
Your old man is too frapped and slow to ever give you a punch.	あんたんとこのひとはパンチ一発お見舞いしてくれない鈍いひとだもんね。
He just sits down and practises physical culture with a newspaper when he comes home	家に帰ってきたらただ椅子に座って新聞で今日なにがあったかを眺めるばかり
--now ain't that the truth?"	――どう、図星でしょう」
"Mr. Fink certainly peruses of the papers when he comes home,"	「うちのひとは確かに家に帰ってきたらじっと新聞を読んでるけど」
acknowledged Mrs. Fink, with a toss of her head;	とミセス・フィンクは頭をつんとそらしつつ認めた。
"but he certainly don't ever make no Steve O'Donnell out of me just to amuse himself--that's a sure thing."	「でも、面白半分にわたしをスティーブ・オドネルみたいにはしません――それは絶対よ」
Mrs. Cassidy laughed the contented laugh of the guarded and happy matron.	ミセス・カシディは毎日の生活が充実した既婚女性特有の満足げな笑い声を立てた。
With the air of Cornelia exhibiting her jewels, she drew down the collar of her kimono and revealed another treasured bruise,	自分の宝石を見せびらかすコーネリアさながらの態度で、ミセス・カシディは着ていたキモノの襟をくつろげて別の痣をミセス・フィンクの目にさらした。
maroon-colored, edged with olive and orang--a bruise now nearly well, but still to memory dear.	オリーブ色とオレンジ色に縁取られた栗色の痣――ほとんどよくなっていたが、愛すべ
Mrs. Fink capitulated.	ミセス・フィンクは抵抗を諦めた。
The formal light in her eye softened to envious admiration.	瞳に宿っていた堅苦しい光が和らぎ、うらやましげな賞賛の色を帯びた。
She and Mrs. Cassidy had been chums in the downtown paper-box factory before they had married, one year before.	2人は、1年前、結婚する前は下町の紙箱工場で働く友達同士だった。
Now she and her man occupied the flat above Mame and her man.	そしていまは、マギーとその夫が階上の部屋を、その下の部屋にメイムとその夫が暮らすようになっていた。
Therefore she could not put on airs with Mame.	だから、メイムには気を許していた。
"Don't it hurt when he soaks you?"	「殴たれたとき、痛くないの？」
asked Mrs. Fink, curiously.	とミセス・フィンクが好奇心から尋ねた。
"Hurt!"	「痛いって！」
--Mrs. Cassidy gave a soprano scream of delight.	――ミセス・カシディはソプラノで喜びの叫びをあげた。
"Well, say--did you ever have a brick house fall on you?	「うーん、あのね――煉瓦の家の下敷きになった経験、ない？
--well, that's just the way it feels--just like when they're digging you out of the ruins.	――そうね、ちょうどそんな感じよ――ちょうど、その瓦礫のなかから掘り出されるときみたいな感じ。
Jack's got a left that spells two matinees and a new pair of Oxfords--and his right!	ジャックの左1発で、お芝居2回分とオックスフォード靴1足は出てきてね
--and his right!	――それに右といったら！
--well, it takes a trip to Coney and six pairs of openwork, silk lisle threads to make that good."	――そうね、コニー・アイランド行き1回に、すかし細工いりのライル織りシルク・ストッキングが6組くらいのことはあるわね」
"But what does he beat you for?"	「でもあのひとはなんで殴ったりするの？」
inquired Mrs. Fink, with wide-open eyes.	とミセス・フィンクは目を見張って問う。
"Silly!"	「お馬鹿さんね！」
said Mrs. Cassidy, indulgently.	とミセス・カシディは優しく言った。
"Why, because he's full.	「そりゃあ酔っ払ってるからよ。
It's generally on Saturday nights."	ふつうは土曜日の夜のことだから」
"But what cause do you give him?"	「でもなんでそんなことされるの？」
persisted the seeker after knowledge.	と知識の探求者は食い下がった。
