THE FIR TREE	もみの木
Hans Christian Andersen	ハンス・クリスティアン・アンデルセン
Out in the woods stood a nice little Fir Tree.	まちそとの森（もり）に、いっぽん、とてもかわいらしい、もみの木がありました。
The place he had was a very good one: the sun shone on him: as to fresh air, there was enough of that, and round him grew many large-sized comrades, pines as well as firs.	そのもみの木は、いいところにはえていて、日あたりはよく、風とおしも十分（じゅうぶん）で、ちかくには、おなかまの大きなもみの木や、はりもみの木が、ぐるりを、とりまいていました。
But the little Fir wanted so very much to be a grown-up tree.	でもこの小さなもみの木は、ただもう大きくなりたいと、そればっかりねがっていました。
He did not think of the warm sun and of the fresh air;	ですから森のなかであたたかいお日さまの光のあたっていることや、すずしい風の吹くことなどは、なんともおもっていませんでした。
he did not care for the little cottage children that ran about and prattled when they were in the woods looking for wild-strawberries.	また黒いちごや、オランダいちごをつみにきて、そこいらじゅうおもしろそうにかけまわって、べちゃくちゃおしゃべりしている百姓のこどもたちも、気にかからないようでした。
The children often came with a whole pitcher full of berries, or a long row of them threaded on a straw, and sat down near the young tree	こどもたちは、つぼいっぱい、いちごにしてしまうと、そのあとのいちごは、わらでつないで、ほっとして、小さいもみの木のそばに、腰（こし）をおろしました。
and said,	そして
"Oh, how pretty he is!	「やあ、ずいぶんかわいいもみの木だなあ。」
What a nice little fir!"	と、いいいいしました。
But this was what the Tree could not bear to hear.	けれど、そんなことをいわれるのが、このもみの木は、いやで、いやで、なりませんでした。
At the end of a year he had shot up a good deal, and after another year he was another long bit taller;	つぎの年、もみの木は新芽（しんめ）ひとつだけはっきりのび、そのつぎの年には、つづいてまた芽ひとつだけ大きくなりました。
for with fir trees one can always tell by the shoots how many years old they are.	そんなふうで、もみの木の歳（とし）は、まいねんふえてゆく節（ふし）のかずを、かぞえて見ればわかりました。
"Oh!	小さいもみの木は、ためいきをついて、こういいました。
Were I but such a high tree as the others are,"	わたしも、ほかの木のように大きかったら、さぞいいだろうなあ。
"Then I should be able to spread out my branches, and with the tops to look into the wide world!	そうすれば、枝（えだ）をうんとのばして、たかい梢（こずえ）の上から、ひろい世のなかを、見わたすんだけど。
Then would the birds build nests among my branches: and when there was a breeze, I could bend with as much stateliness as the others!"	そうなれば、鳥はわたしの枝に巣（す）をかけるだろうし、風がふけば、ほかの木のように、わたしも、おうように、こっくりこっくりしてみせてやるのだがなあ。」
Neither the sunbeams, nor the birds, nor the red clouds which morning and evening sailed above him, gave the little Tree any pleasure.	こんなふうでしたから、もみの木は、お日さまの光を見ても、とぶ鳥を見ても、それから、あさゆう、頭（あたま）の上をすうすうながれていく、ばらいろの雲を見ても、ちっともうれしくありませんでした。
In winter,	やがて冬になりました。
when the snow lay glittering on the ground,	ほうぼう雪が白くつもって、きらきらかがやきました。
a hare would often come leaping along, and jump right over the little Tree.	するとどこからか一ぴきの野うさぎが、まい日のように来て、もみの木のあたまをとびこえとびこえしてあそびました。
Oh, that made him so angry!	――ああ、じつにいやだったらありません。
But two winters were past, and in the third the Tree was so large that the hare was obliged to go round it.	――でも、それからのち、ふた冬とおりこすと、もみの木はかなり、せいが高くなりましたから、うさぎはもうただ、そのまわりを、ぴょんぴょん、はねまわっているだけでした。
"To grow and grow,	「ああうれしい。
to get older and be tall,"	だんだんそだっていって、今に大きな年をとった木になるんだ。
thought the Tree--	世のなかにこんなにすばらしいことはない。」
"that, after all, is the most delightful thing in the world!"	もみの木は、こんなことを考（かんが）えていました。
In autumn the wood-cutters always came and felled some of the largest trees.	秋になると、いつも木こりがやって来て、いちばん大きい木を二、三本きりだします。
This happened every year;	これは、まい年のおきまりでした。
and the young Fir Tree, that had now grown to a very comely size, trembled at the sight;	そのときは、見あげるほど高い木が、どしんという大きな音をたてて、地面（じめん）の上にたおされました。
for the magnificent great trees fell to the earth with noise and cracking, the branches were lopped off, and the trees looked long and bare;they were hardly to be recognised;	そして枝をきりおとされ、太（ふと）いみきのかわをはがれ、まるはだかの、ほそっこいものにされて、とうとう、木だかなんだかわけのわからないものになると、この若いもみの木は、それをみてこわがってふるえました。
and then they were laid in carts, and the horses dragged them out of the wood.	けれども、それが荷車（にぐるま）につまれて、馬にひかれて、森を出ていくとき、もみの木はこうひとりごとをいって、ふしぎがっていました。
Where did they go to?	みんな、どこへいくんだろう。
What became of them?	いったいどうなるんだろう。
In spring, when the swallows and the storks came, the Tree asked them,	春になって、つばめと、こうのとりがとんで来たとき、もみの木はさっそくそのわけをたずねました。
"Don't you know where they have been taken?	「ねえ、ほんとにどこへつれて行かれたんでしょうね。
Have you not met them anywhere?"	あなたがた。
The swallows did not know anything about it;	つばめはなんにもしりませんでした。
but the Stork looked musing,	けれどもこうのとりは、しきりとかんがえていました。
nodded his head, and said,	そしてながいくびを、がってん、がってんさせながら、こういいました。
"Yes; I think I know;	「そうさね、わたしはしっているとおもうよ。
I met many ships as I was flying hither from Egypt; on the ships were magnificent masts,	それはね、エジプトからとんでくるとちゅう、あたらしい船（ふね）にたくさん、わたしは出あったのだが、どの船にもみんな、りっぱなほばしらが立っていた。
and I venture to assert that it was they that smelt so of fir.	わたしはきっと、このほばしらが、おまえさんのいうもみの木だとおもうのだよ。
I may congratulate you,	そこで、なんべんでも、わたしはおことづけをいいます。
for they lifted themselves on high most majestically!"	大きくなるんだ、大きくなるんだってね。」
"Oh, were I but old enough to fly across the sea!	「まあ、わたしも、遠い海をこえていけるくらいな、大きい木だったら、さぞいいだろうなあ。
But how does the sea look in reality?	けれどこうのとりさん、いったい海ってどんなもの。
What is it like?"	それはどんなふうに見えるでしょう。」
"That would take a long time to explain,"	「そうさな、ちょっとひとくちには、とてもいえないよ。」
said the Stork, and with these words off he went.	こうのとりはこういったまま、どこかへとんでいってしまいました。
"Rejoice in thy growth!"	そのとき、空の上でお日さまの光が、しんせつにこういってくれました。
said the Sunbeams.	「わかいあいだが、なによりもいいのだよ。
"Rejoice in thy vigorous growth, and in the fresh life that moveth within thee!"	ずんずんのびて、そだっていくわかいときほど、たのしいことはないのだよ。」
And the Wind kissed the Tree,	すると、風も、もみの木にやさしくせっぷんしてくれました。
and the Dew wept tears over him;	つゆもはらはらと、しおらしいなみだを、かけてくれました。
but the Fir understood it not.	けれどももみの木には、それかどういうわけかわかりませんでした。
When Christmas came, quite young trees were cut down:	クリスマスがちかくなってくると、わかい木がなんぼんもきりたおされました。
trees which often were not even as large or of the same age as this Fir Tree,	なかには、このもみの木よりもわかい小さいのがありましたし、またおない年ぐらいのもありました。
who could never rest, but always wanted to be off.	ですからもみの木は、じぶんも早くよその世界（せかい）へでたがって、まいにち、気が気でありませんでした。
These young trees, and they were always the finest looking, retained their branches; they were laid on carts, and the horses drew them out of the wood.	そういうわかい木たちは、なかでも、ことに枝ぶりの美しい木でしたから、それなりきられて、車につまれて、馬にひかれて、森をでていきました。
"Where are they going to?"	「どこへいくんだろう。
