TALES OF TROY: ULYSSES THE SACKER OF CITIES	トロイア物語：都市の略奪者ユリシーズ
by Andrew Lang	著：アンドリュー・ラング
The Boyhood and Parents of Ulysses	ユリシーズの少年時代と両親
How People Lived in the Time of Ulysses	ユリシーズの時代の人々の暮らし
The Wooing of Helen of the Fair Hands	美しき手のヘレネーへの求婚
The Stealing of Helen	ヘレネーの略取
Trojan Victories	トロイア方の勝利
Battle at the Ships	船辺りの戦い
The Slaying and Avenging of Patroclus	パトロクロスの殺害と敵討ち
The Cruelty of Achilles, and the Ransoming of Hector	アキレウスの残虐行為とヘクトールの身請け
How Ulysses Stole the Luck of Troy	どうやってユリシーズはトロイアの幸運の宝を盗んだか
The Battles with the Amazons and Memnon--the Death of Achilles	アマゾーン族やメムノーンとの戦い--アキレウスの死
Ulysses Sails to seek the Son of Achilles.--The Valour of Eurypylus	ユリシーズ、アキレウスの息子を探しに船出--エウリュピュロスの勲
The Slaying of Paris	パリスの殺害
How Ulysses Invented the Device of the Horse of Tree	どうやってユリシーズは木馬の装置を発明したか
The End of Troy and the Saving of Helen	トロイアの最後とヘレネーの救出
THE BOYHOOD AND PARENTS OF ULYSSES	ユリシーズの少年時代と両親
Long ago, in a little island called Ithaca, on the west coast of Greece, there lived a king named Laertes.	はるかな昔、ギリシアの西の岸のイタケーという小さな島に、ラーエルテースという王がいた。
His kingdom was small and mountainous.	その王国は小さく山がちであった。
People used to say that Ithaca "lay like a shield upon the sea," which sounds as if it were a flat country.	イタケーは「海に浮かぶ盾のよう」と言われたが、そう聞くと、あたかも平らな国のごとくに思われよう。
But in those times shields were very large, and rose at the middle into two peaks with a hollow between them,	だが、当時の盾は、極めて大きく、真ん中が二つの峰のように突きだして、その間がくぼんでいたのだ。
so that Ithaca, seen far off in the sea, with her two chief mountain peaks, and a cloven valley between them, looked exactly like a shield.	であるから、イタケー島も、海の上から離れて望めば、二つの峰とその間に裂け目の谷があり、まさしく盾のごとくに見えたのだ。
The country was so rough that men kept no horses,	その国は起伏に富んでいたために、馬を飼ってはいなかった。
for, at that time, people drove, standing up in little light chariots with two horses;	なぜならば、当時は二頭立ての小さな軽い二輪戦車のうえに立って走らせていたからなのだ。
they never rode, and there was no cavalry in battle:	誰も騎馬せず、戦にも騎兵はおらず、
men fought from chariots.	戦車に乗って戦っていた。
When Ulysses, the son of Laertes, King of Ithaca grew up, he never fought from a chariot, for he had none, but always on foot.	イタケー王ラーエルテースの子、ユリシーズは長じても、戦車を持たぬゆえ、決して戦車では戦わず、常に徒歩だちであった。
If there were no horses in Ithaca, there was plenty of cattle.	イタケーには馬はおらぬとはいえ、家畜ならば豊かで、
The father of Ulysses had flocks of sheep, and herds of swine, and wild goats, deer, and hares lived in the hills and in the plains.	ユリシーズの父は羊や豚を幾群も飼っており、また丘や平地には野性の山羊や鹿、兎がいた。
The sea was full of fish of many sorts, which men caught with nets, and with rod and line and hook.	海には様々な魚が満ちあふれ、人々は網を使い、竿、糸、釣針を使っては漁をした。
Thus Ithaca was a good island to live in.	かくもイタケーは住みよき島であった。
The summer was long, and there was hardly any winter;	夏は長く、冬はほとんどなくて、ほんの数週間寒いだけ。
only a few cold weeks, and then the swallows came back, and the plains were like a garden, all covered with wild flowers--violets, lilies, narcissus, and roses.	その後、燕は戻り、平地には菫、百合、水仙、薔薇といった野性の花々におおわれ、まるで庭のようであった。
With the blue sky and the blue sea, the island was beautiful.	空も海も青く、島は美しかった。
White temples stood on the shores;	海辺には白い神殿が建ち、
and the Nymphs, a sort of fairies, had their little shrines built of stone, with wild rose-bushes hanging over them.	妖精の類であるニンフには石造りの小さな社があり、その上には野性の薔薇の茂みが垂れ下がっていた。
Other islands lay within sight, crowned with mountains, stretching away, one behind the other, into the sunset.	見えるかぎりに他の島々が、山々を戴き、次から次に重なりあって夕暮れの中に続いていた。
Ulysses in the course of his life saw many rich countries, and great cities of men, but, wherever he was, his heart was always in the little isle of Ithaca,	ユリシーズは、その生涯にわたって、豊かな国や多くの人が住む都市をたくさん見てきたけれど、でもどこにいようと、その心はいつもイタケーの小さな島にあった。
