The Acorns and the Wildcat	どんぐりと山猫
Miyazawa Kenji	宮沢賢治
One Saturday evening, Ichiro received a curious postcard.	おかしなはがきが、ある土曜日の夕がた、一郎のうちにきました。
September 19th Mr. Kaneta Ichiro,	かねた一郎さま　九月十九日
I hop you are doing fyne.	あなたは、ごきげんよろしいほで、けっこです。
Tomoroww, we have trublesom trial, so come pleese.	あした、めんどなさいばんしますから、おいでんなさい。
No wepons pleese.	とびどぐもたないでくなさい。
From, the wildcat	山ねこ　拝
The handwriting was terrible, and the ink so thick that it stuck to his fingers.	字はまるでへたで、墨（すみ）もがさがさして指につくくらいでした。
But Ichiro was very happy.	けれども一郎はうれしくてうれしくてたまりませんでした。
He carefully put the postcard in his school bag, and jumped and leapt about his house.	はがきをそっと学校のかばんにしまって、うちじゅうとんだりはねたりしました。
Even after he went to bed he thought of nothing but the wildcat’s meowish face and what the troublesome trial would be like, and couldn’t fall asleep until very late.	ね床（どこ）にもぐってからも、山猫のにゃあとした顔や、そのめんどうだという裁判のけしきなどを考えて、おそくまでねむりませんでした。
When he did wake up, it was fully morning.	けれども、一郎が眼（め）をさましたときは、もうすっかり明るくなっていました。
Going outside, the mountains around him stood up as if they had been made just then, and lined up under a perfectly blue sky.	おもてにでてみると、まわりの山は、みんなたったいまできたばかりのようにうるうるもりあがって、まっ青なそらのしたにならんでいました。
Ichiro hurried to finish his breakfast, and then, alone, climbed the river valley road upstream.	一郎はいそいでごはんをたべて、ひとり谷川に沿ったこみちを、かみの方へのぼって行きました。
A clear wind whooshed and the chestnut tree scattered a rain of nuts.	すきとおった風がざあっと吹（ふ）くと、栗（くり）の木はばらばらと実をおとしました。
Ichiro looked up at the chestnut tree	一郎は栗の木をみあげて、
and asked,	「栗の木、栗の木、やまねこがここを通らなかったかい。」
“Chestnut tree!	とききました。
The chestnut tree quieted down some,	栗の木はちょっとしずかになって、
and answered,	「やまねこなら、けさはやく、馬車でひがしの方へ飛んで行きましたよ。」
“The wildcat?	と答えました。
“East? That would be the direction I’m headed in.	「東ならぼくのいく方だねえ、
How strange.	おかしいな、
Well, I’ll just try going on a little further.	とにかくもっといってみよう。
Thank you, chestnut tree!”	栗の木ありがとう。」
The chestnut tree remained silent, and dropped another rain of nuts.	栗の木はだまってまた実をばらばらとおとしました。
Ichiro traveled a little further and came to the Fluting Falls.	一郎がすこし行きますと、そこはもう笛（ふえ）ふきの滝（たき）でした。
The Fluting Falls was a white stone cliff with a small hole in its middle.	笛ふきの滝というのは、まっ白な岩の崖（がけ）のなかほどに、小さな穴があいていて、
Water rushed out of the hole with a sound like a flute, and formed a roaring waterfall in the valley below.	そこから水が笛のように鳴って飛び出し、すぐ滝になって、ごうごう谷におちているのをいうのでした。
Ichiro faced the falls and shouted,	一郎は滝に向いて叫（さけ）びました。
“Hullo, hullo!	「おいおい、
Fluting Falls!	笛ふき、
Did the wildcat pass by?”	やまねこがここを通らなかったかい。」
The falls whistled an answer:	滝がぴーぴー答えました。
