AROUND THE WORLD IN EIGHTY DAYS	80日間世界一周
Chapter 1	第一章：
In Which Phileas Fogg and Passepartout Accept Each Other, the One as Master, the Other as Man	フィリアス・フォッグとパスパルトゥーが主従契約を結ぶこと
Mr. Phileas Fogg lived, in 1872, at No.7, Saville Row, Burlington Gardens.	時は千八百七十二年、フィリアス・フォッグという人がバーリントン・ガーデンズ・サヴィル街七番地に住んでいた。
He was one of the most noticeable members of the Reform Club, though he seemed always to avoid attracting attention.	彼自身はいつも人目を避けるようにしていたのだろうが、彼はリフォーム・クラブのメンバーの中で注目に値する人物であった。
This Phileas Fogg was a puzzling gentleman, about whom little was known, except that he was a polished man of the world.	フィリアス・フォッグは、上品なふるまいをする紳士であるという以外にはほとんど分からないことだらけという、なぞめいた人物であった。
People said that he resembled the poet Byron - at least that his head was Byronic;	人々は
but he was a bearded, peaceful Byron, who might live on a thousand years without growing old.	もっとも、彼はひげを生やしており、穏和で、千年生きていても年をとらなかったバイロンのようであった。
Certainly Phileas Fogg was an Englishman,	まちがいなく彼は英国人であった。
but it was more doubtful whether he was a Londoner.	しかしロンドン生まれであるかどうかは疑問が残る。
He was never seen on 'Change, nor at the Bank, nor in the counting-rooms of the "City";	取引所でも銀行でも、シティーのいかなる商店でも、その姿を見ることはなかった。
no ships ever came into London docks of which he was the owner;	ロンドンのドックに彼が船主である船が来たこともなかったし、
he had no public employment;	いかなる役職にも就いていなかった。
he had never been entered at any of the Inns of Court, either at the Temple, or Lincoln's Inn, or Gray's Inn.	彼は弁護士学校に通ったことはなく、二つのテンプル、リンカーンズ・イン、グレース・インのいずれの会員にもなっていなかった。
Nor had he ever pleaded in the Court of Chancery, or in the Exchequer, or the Queen's Bench, or the Ecclesiastical Courts.	彼は大法官府でも財務府でも王座裁判所でも宗教裁判所でも、弁論を繰りひろげたことがなかった。
He certainly was not a manufacturer;	彼はもちろん職人ではなかったし、
nor was he a merchant or a gentleman farmer.	商人でも農場経営者でもなかった。
His name was strange to the scientific and learned societies, and he never was known to take part in the sage deliberations of the Royal Institution or the London Institution, the Artisan's Association, or the Institution of Arts and Sciences.	彼の名前は科学者の間でも他の意味での学者の間でも知られておらず、王立研究所でもロンドン協会でも熟練工の組合でも芸術や科学の協会でも（議論の中でさえも）知られていなかった。
He belonged, in fact, to none of the numerous societies which swarm in the English capital.	事実彼は、英国の中心地にうじゃうじゃ発生した、多くの集団のどれにも属していなかった。
Phileas Fogg was a member of the Reform, and that was all.	フィリアス・フォッグはリフォーム・クラブのメンバーであり、そしてそれが彼の肩書きのすべてであった。
The way in which he got admission to this exclusive club was simple enough.	リフォーム・クラブという高級なクラブに、フィリアス・フォッグが入会を許された理由はごく単純であった。
He was recommended by the Barings,	ベアリング商会によってクラブに推薦されたのだ。
with whom he had an open credit.	フィリアス・フォッグは、確実な信用をそこに積み重ねていた。
His checks were regularly paid at sight from his account current, which was always flush.	彼の小切手は常に彼名義の当座預金から正確に決済されていたのである。
Was Phileas Fogg rich?	彼は金持ちだったのか？
Undoubtedly.	もちろんそうである。
But those who knew him best could not imagine how he had made his fortune,	しかし、彼をもっともよく知る人でも、どうやってその財産を得たのかは想像できなかった。
and Mr. Fogg was the last person to whom to go for the information.	その情報を得るのに彼ほど不適当な人物はいなかった。
He was not lavish, nor, on the contrary, avaricious;	彼には浪費癖はなく、さりとて欲深ではなかった。
for, whenever be knew that money was needed for a noble, useful, or benevolent purpose, he supplied it quietly and sometimes anonymously.	何か高尚なことや有益なことや慈善目的のためにお金が必要なことが生じたときには、無言で、時には名前を明かさずに寄付をしていたのである。
He was, in short, the least communicative of men.	彼は要するに口数の少ない男であった。
He talked very little, and seemed all the more mysterious for his taciturn manner.	本当に少ししか話さず、その寡黙な態度によってよりミステリアスに見えた。
His daily habits were quite open to observation;	彼の習慣は観察しやすい。
but whatever he did was so exactly the same thing that he had always done before,	というのは、いつも自分が以前にしたことを正確になぞっていたからだ。
that the wits of the curious were fairly puzzled.	ものずきな人々は、このことに大いに当惑していた。
Had he traveled?	彼は旅をしたことがあるのだろうか？
It was likely,	たぶん、その答えはYesであろう。
for no one seemed to know the world more familiarly.	というのは、彼ほど世界をよく知っている人は他にいなかったからだ。
There was no spot so secluded that he did not appear to have an intimate acquaintance with it.	どんなに浮世離れした土地であっても、彼はそこに関する独自の知識を披露した。
He often corrected, with a few clear words, the thousand conjectures advanced by members of the club as to lost and unheard-of travelers, pointing out the true probabilities, and seeming as if gifted with a sort of second sight,	行方不明の旅行者に関してクラブの会員たちが議論しているときに、彼はしばしばわずか数語でもって議論を修正し、別の方向からまるで真実を見通しているかのような予言を表明してきた。
so often did events justify his predictions.	すると事態は彼の予言どおりに進んだのである。
He must have traveled everywhere,	きっとあらゆる場所を旅行してきたに違いない。
at least in the spirit.	少なくとも想像はしてきただろう。
It was at least certain that Phileas Fogg had not been away from London for many years.	ここ数年、フィリアス・フォッグがロンドンを離れなかったことは間違いない。
Those who were honored by a better acquaintance with him than the rest, declared that nobody could pretend to have ever seen him anywhere else.	彼のことをよく知る人たちは、いつもいる場所以外の所にフィリアス・フォッグが姿を見せたと宣言できる人はいないだろうと言っていた。
His sole pastimes were reading the papers and playing whist.	彼の趣味といえるものは、新聞を読むこととホイストで遊ぶことであった。
He often won at this game, which, as a quiet one, harmonized with his nature;	彼はこのゲームでよく勝ったが、その時もいつもの習慣に従ってもの静かであった。
but his winnings never went into his purse, being reserved as a fund for his charities.	ただ、その勝ち分が彼の財布の中にはいることはなく、チャリティーのための資金として取り置かれていた。
Mr. Fogg played, not to win, but for the sake of playing.	フォッグ氏は、勝つためではなく遊ぶために遊んでいた。
The game was in his eyes a contest, a struggle with a difficulty, yet a motionless, unwearying struggle, congenial to his tastes.	ホイストは彼にとっては競技であり、困難を伴う闘いであるにもかかわらず、体を動かすことがなく、疲れない闘いであることから、彼の趣味にあっていた。
Phileas Fogg was not known to have either wife or children,	フィリアス・フォッグに妻子がいるのかどうかは明らかでない
which may happen to the most honest people;	（これは誠実な人によく起こりうることである）。
neither relatives nor near friends, which is certainly more unusual.	そして親類はともかく友人さえもいない、これは確かに異常といえる。
He lived alone in his house in Saville Row,	彼はサヴィル街にひとりで住んでいた。
where none ever entered.	誰も訪ねてはこなかった。
A single servant sufficed to serve him.	彼は朝晩の食事をクラブで食べていた。
He breakfasted and dined at the club, at hours mathematically fixed, in the same room, at the same table,	その時間は毎日同じであり、食べる部屋やテーブルまで決まっていた。
never taking his meals with other members, much less bringing a guest with him.	他のメンバーと食事をすることも、彼がお客を連れてくることもなかった。
He went home at exactly midnight, only to retire at once to bed.	そしてきっかり夜中の十二時に、ただ寝るためだけにサヴィル街の屋敷に帰るのであった。
He never used the cosy chambers which the Reform provides for its favored members.	フィリアス・フォッグは、クラブがメンバーのために用意した、いごこちの良い寝室を決して使わなかった。
He passed ten hours out of the twenty-four in Saville Row, either in sleeping or making his toilet.	二十四時間のうち十時間は、寝たり身支度をしたりするために自宅で過ごしていた。
When he chose to take a walk it was with a regular step in the entrance hall with its mosaic flooring, or in the circular gallery with its dome supported by twenty red Ionic columns, and illumined by blue painted windows.	ときどき散歩をすることもあったが、その時も規則正しい歩調で、モザイク模様にしてある表玄関か、丸い屋根がついている円形の回廊（十二本のイオニア様式の柱で支えられており、青く塗られた窓で明かりを取り込んでいる）を歩くのだった。
When he breakfasted or dined all the resources of the club - its kitchens and pantries, its buttery and dairy - aided to crowd his table with their most succulent foods.	彼が食事をするときには、クラブの持つすべての台所や貯蔵所や出入りの商人たちによって提供された、最もみずみずしい食べ物が、テーブルの上に所狭しと並べられるのだった。
He was served by the gravest waiters, in dress coats, and shoes with swan-skin soles,	彼のために、燕尾服に身を包み、羽毛付きの白鳥皮で覆われたソールを持つ靴をはいたウエイターが給仕をした。
who presented the viands in special porcelain, and on the finest linen.	給仕たちによって、素晴らしい陶器製の食器にのったごちそうが、リンネル製のテーブル掛けの上に運ばれてくるのである。
Club decanters, of a lost mould, contained his sherry, his port, and his cinnamon-spiced claret;	クラブのデカンターには、彼がキープしているシェリー酒、ポートワイン、シナモンなどの香料入りのクラレットなどが保管されていた。
while his beverages were refreshingly cooled with ice,	飲み物は氷で常に冷やされていた。
brought at great cost from the American lakes.	そのための氷が莫大なコストをかけてアメリカの湖水から運ばれていた。
If to live in this style is to be eccentric, it must be confessed that there is something good in eccentricity.	もしもこのスタイルで生活するのか偏屈というのならば、偏屈にも良いところがあることを認めなければなるまい。
The mansion in Saville Row, though not sumptuous, was exceedingly comfortable.	サヴィル街の屋敷は、豪邸とはいえないまでも、きわめて便利にできていた。
The habits of its occupant were such as to demand but little from the sole servant, but Phileas Fogg required him to be almost superhumanly prompt and regular.	フィリアス・フォッグは従者をひとりだけ雇っていた。
On this very 2nd of October he had dismissed James Forster,	この十月二日に、フィリアス・フォッグは従者として雇ってきたジェームス・フォスターを解雇した。
because that luckless youth had brought him shaving-water at eighty-four degrees Fahrenheit instead of eighty-six;	その理由は、この不幸な青年が、ひげそり用のお湯として華氏八十四度のお湯（本来は八十六度でなければならなかった）を持ってきたからだった。
and he was awaiting his successor,	フィリアス・フォッグは後任の者を待っていた。
who was due at the house between eleven and half-past eleven.	その人は朝十一時から十一時三十分のあいだに家に来るはずであった。
Phileas Fogg was seated squarely in his armchair,	フィリアス・フォッグは肘掛け椅子に四角ばって座っていた。
his feet close together like those of a grenadier on parade, his hands resting on his knees,	パレードの歩兵のように閉じていた足の、そのひざに手を置いていた。
his body straight, his head erect.	頭から腰までピンと立っていた。
He was steadily watching a complicated clock which indicated the hours, the minutes, the seconds, the days, the months and the years.	彼は絶え間なく、日付・時刻を正確に刻む時計を見ていた。
At exactly half-past eleven Mr. Fogg would, according to his daily habit, quit Saville Row, and go to the Reform.	フォッグ氏は十一時半きっかりに、それまでの習慣通りにサヴィル街からクラブへと出かけていくのである。
A rap at this moment sounded on the door of the cosy apartment where Phileas Fogg was seated, and James Forster, the dismissed servant, appeared.	その時、フィリアス・フォッグは小さなほうの客間にいた。
"The new servant,"	「新しい従者でございます。」
said he.	とジェームス・フォスターが言った。
A young man of thirty advanced and bowed.	その後ろから三十代と思われる青年が進み出て、一礼した。
"You are a Frenchman, I believe,"	「たぶん君はフランス人だね。」
asked Phileas Fogg,	フィリアス・フォッグは尋ねた。
"and your name is John?"	「名前はジョンだね？」
"Jean, if monsieur pleases,"	「失礼ながら、ジャンでございます。」
replied the newcomer,	新しく来た男は答えた。
Jean Passepartout,	「ジャン・パスパルトゥーと申します。
a surname which has clung to me because I have a natural aptness for going out of one business into another.	このパスパルトゥーという姓は、私がどんな状況であっても仕事を進めることからついた、あだ名でございます。
I believe I'm honest, monsieur, but, to be outspoken, I've had several trades.	ムッシュー、私は自分があなたの信用に値するものと信じていますが、ずばずばものをいう気性からか、職業を転々としてきました。
I've been an itinerant singer, a circus-rider,	私は歌手として旅をしていたことがありますし、サーカスの軽業師となったこともあります。
when I used to vault like Leotard, and dance on a rope like Blondin.	レオタールがやるようなこともいたしましたし、ブロンダンがやるような綱渡りをしたこともあります。
Then I got to be a professor of gymnastics, so as to make better use of my talents;	それから、自分の才能を生かすべく、体操の教師をしていました。
and then I was a sergeant fireman at Paris, and assisted at many a big fire.	その後にはパリの消防士をしておりまして、多くの火災に出動いたしました。
But I left France five years ago, and, wishing to taste the sweets of domestic life, took service as a valet here in England.	しかし、急に家庭的な雰囲気が味わいたくなりまして、五年前にフランスを後にして、ここイングランドで従者として勤めてまいりました。
Finding myself out of place, and hearing that Monsieur Phileas Fogg was the most exact and settled gentleman in the United Kingdom, I have come to monsieur in the hope of living with him a tranquil life,	たまたま職を辞しておりましたときに、この連合王国ではフィリアス・フォッグ、つまりあなた様のことですが、もっとも几帳面なおかたであり、昔と変わらぬ生活を送る紳士であるとお聞きしまして、あなた様とともに静かな生活を送りたいと考えたのでございます。
and forgetting even the name of Passepartout."	できますれば、『パスパルトゥー』という名前を捨て去りたいと願っております。」
"Passepartout suits me,"	「パスパルトゥーとは気に入った。」
responded Mr. Fogg.	フォッグ氏は答えた。
"You are well recommended to me. I hear a good report of you.	「推薦状では君のことを大変よくほめてある。
You know my conditions?"	私の条件は知っているね？」
"Yes, monsieur.	「はい、ムッシュー。」
"Good!	「上出来だ！
What time is it?"	ところで今何時かね。」
"Twenty-two minutes after eleven,"	聞かれたパスパルトゥーは、ポケットから巨大な銀時計を取り出して、
returned Passepartout, drawing an enormous silver watch from the depths of his pocket.	「十一時二十二分過ぎであります。」
"You are too slow,"	「遅れてるぞ。」
said Mr. Fogg.	とフォッグ氏は言った。
"Pardon me, monsieur, it is impossible -"	「しかし、まさかそんな――。」
