THE STORY OF THE YEAR	「年」の話
IT was near the end of January, and a terrible fall of snow was pelting down,	一月の末ぢかいころで、雪がおそろしく、ふりつゞけてゐました。
and whirling through the streets and lanes;	町の通や小路では、ぴゆう／＼渦をまいてふきとんでゐました。
the windows were plastered with snow on the outside, snow fell in masses from the roofs.	家々の窓がらすの外がはは、まつ白におほひつぶされ、屋根々々からは、つもつた雪が、かたまつて、どゝん／＼と、おちつづけてゐます。
Every one seemed in a great hurry;	人々は、あわてさわぎ、
they ran, they flew, fell into each other's arms,	走つたり飛んだり、おたがひに腕につかまり合つて立ちすくんでゐたりしました。
holding fast for a moment as long as they could stand safely.	つかまつてゐるその一瞬間だけは安全な気がしましたが、はなれゝば吹きたふされさうでした。
Coaches and horses looked as if they had been frosted with sugar.	馬車や馬やは、砂糖が氷りついたようになつてゐます。
The footmen stood with their backs against the carriages, so as to turn their faces from the wind.	馬丁たちは、風に顔をそむけるために、後向きになつて、馬車の背中へもたれすがつてゐます。
The foot passengers kept within the shelter of the carriages, which could only move slowly on in the deep snow.	輪だちが雪にくひこんで馬車はのそり／＼としか動かないので、かち歩きの人々は、てん／゛＼にその馬車の、片方のかげにはひつて、ちゞこまつてゐました。
At last the storm abated,	その雪あらしがやつと止みました。
and a narrow path was swept clean in front of the houses;	そこは、町の、或せまい横町で、そこでは、家々のまへだけがきれいに雪かきが出来てゐました。
when two persons met in this path they stood still,	だから、もしだれかと行き合ふと、二人ともおたがひに、だまつて、ぢつとして立つてゐます。
for neither liked to take the first step on one side into the deep snow to let the other pass him.	だれだつて、じぶんの方から、ゆづつて、ふかい雪の中へよけどくのはいやですから。
There they stood silent and motionless, till at last, as if by tacit consent, they each sacrificed a leg and buried it in the deep snow.	でも、そのうちに二人は、黙つたなり、話をつけ合ひでもしたように、おのおの、片方の足だけを、ぎせいにして、ぐざりと、深い雪の中に突つこんで、からだをかはし合つて、とほりすぎるのでした。
Towards evening, the weather became calm.	夕方近くなりますと、すつかり、しづかに晴れ上りました。、
The sky, cleared from the snow, looked more lofty and transparent,	空は拭きとつたように雲がきえて、これまでよりは、ずつとたかく、ずつと、すきとほつてゐます。
while the stars shone	そのうちに星が光り出しました。
with new brightness and purity.	その星も、こと／゛＼く真あたらしいように見え、
The frozen snow crackled under foot,	夜どほし、それはきつい冷えかたで、いてついた雪はみし／＼、と、ひゞわれました。
and was quite firm enough to bear the sparrows, who hopped upon it in the morning dawn.	これなら、夜があけて、雀たちが上つ皮へおりてとまつても、めりこむ気づかひはなささうでした。
They searched for food in the path which had been swept,	雀たちは朝が来ると、雪かきの出来たところへおりて、そつちこつちと、ぴよん／＼走りあるきました。
but there was very little for them, and they were terribly cold.	でも食べものはちつとも見つからず、からだも寒くて／＼たまりません。
"Tweet, tweet,"	「ちゆつ／＼」
said one to another;	と、一人の雀が、仲間の小さな雀に話しかけました。
they call this a new year, but I think it is worse than the last.	──「ね、人間は、年があらたまつたなんて喜んでゐるが、わしたちに言はせれば、こんな年では去年より、ずつとわるい。
We might just as well have kept the old year;	去年をにがさなければよかつた。
I'm quite unhappy, and I have a right to be so."	これぢや、まつたくつまらない」
"Yes, you have;	「ほんとだ。
and yet the people ran about and fired off guns, to usher in the new year,"	人間たちはそら新年が来ると言つて走りまはり、お祝ひの爆音をぽん／＼上げた。
