The policeman on the beat moved up the avenue impressively.	その警官は巡回区域の通りをこれ見よがしに歩いていた。
The impressiveness was habitual and not for show,	これ見よがしなのは習慣的なものであって、だれに見せようというわけではなかった。
for spectators were few.	というのも、見物人はほとんどいなかったからだ。
The time was barely 10 o'clock at night, but chilly gusts of wind with a taste of rain in them had well nigh depeopled the streets.	時間はまだ夜10時にもなっていなかったが、小雨を含んだ冷たい風が通りから人々を追いたてていた。
Trying doors as he went, twirling his club with many intricate and artful movements, turning now and then to cast his watchful eye adown the pacific thoroughfare, the officer, with his stalwart form and slight swagger,	行く先々の戸口を確かめながら、警棒をくるくると複雑かつ巧みに振りまわしつつ、ときおり急に首を回して公道に用心深い目を向け、若干ふんぞりかえって歩く体つきのがっしりした警官。
made a fine picture of a guardian of the peace.	平和の守り手のみごとな絵姿である。
The vicinity was one that kept early hours.	このあたりは夜早く寝静まり朝早く目覚める一画だった。
Now and then you might see the lights of a cigar store or of an all-night lunch counter;	煙草屋や終夜営業の定食屋の照明がときどき目につく。
but the majority of the doors belonged to business places that had long since been closed.	が、大部分が商業地区に属するため、戸口は軒並みとっくに閉ざされていた。
When about midway of a certain block the policeman suddenly slowed his walk.	あるブロックの中ほどまできたところで、とつぜん、警官は歩くスピードを落とした。
In the doorway of a darkened hardware store a man leaned, with an unlighted cigar in his mouth.	灯りを落とした金物屋の戸口に、葉巻をくわえた1人の男がもたれかかっていた。
As the policeman walked up to him the man spoke up quickly.	警官が近づいていくと男はあわててしゃべりだした。
"It's all right, officer,"	「なんでもないよ、お巡りさん」
he said, reassuringly.	と男は言った。
"I'm just waiting for a friend.	「友だちを待ってるだけ。
It's an appointment made twenty years ago.	20年前の約束なんだよ。
Sounds a little funny to you, doesn't it?	妙な話と思いなさったね？
Well, I'll explain if you'd like to make certain it's all straight.	そうだな、ちっとも後ろ暗いことじゃねえってのを確認しておきたいんだったら、説明してやるよ。
About that long ago there used to be a restaurant where this store stands--'Big Joe' Brady's restaurant."	そのころはこの店が立ってるところにレストランがあってね――“ビッグ・ジョー”ブレイディーのレストランが」
"Until five years ago,"	「5年前までの話ですね」
said the policeman.	と警官。
"It was torn down then."	「それから取り壊された」
The man in the doorway struck a match and lit his cigar.	戸口にいた男は葉巻に火をつけようとマッチをすった。
The light showed a pale, square-jawed face with keen eyes, and a little white scar near his right eyebrow.	その火灯りが男の顔を照らし出した。顔色は青白く、あごはしゃくれ、目つきはするどく、右の眉のあたりには傷跡があった。
His scarfpin was a large diamond, oddly set.	スカーフピンは妙なセッティングの大きなダイアモンドだった。
"Twenty years ago to-night," said the man,	「20年前の今日、
"I dined here at 'Big Joe' Brady's with Jimmy Wells, my best chum, and the finest chap in the world.	おれはここにあった“ビッグ・ジョー”ブレイディーの店で大の親友ジミー・ウェルズと飯を食った。
He and I were raised here in New York,	おれもあいつもここニューヨークで育ったんだ。
just like two brothers, together.	お互い兄弟みたいにしてね。
I was eighteen and Jimmy was twenty.	おれは18、ジミーは20だった。
The next morning I was to start for the West to make my fortune.	次の日の朝、おれは一山当てようと西部に出発した。
You couldn't have dragged Jimmy out of New York;	ジミーはニューヨークをどうしても出たがらなくてな。
he thought it was the only place on earth.	あいつにとっての世界はここだけだったんだ。
Well, we agreed that night that we would meet here again exactly twenty years from that date and time,	とにかく、おれとあいつはあの日あの時刻からきっちり20年後にもういちど会おうと約束した。
no matter what our conditions might be or from what distance we might have to come.	そのときにおたがいがどんな立場になっていようと、どんなに遠く離れていようとかならずまた会おうと。
We figured that in twenty years each of us ought to have our destiny worked out and our fortunes made,	20年後にはおたがい道も定まって、財産もできてるだろうと計算していたわけだ。
whatever they were going to be."	それがどういうものかは別としてね」
"It sounds pretty interesting,"	「かなり興味深い話です」
said the policeman.	と警官は言った。
"Rather a long time between meets, though, it seems to me.	「再会までの時間がちょっと長すぎるような気もしますけどね。
Haven't you heard from your friend since you left?"	その友だちは、別れた後に手紙を書いてこなかったんですか？」
"Well, yes, for a time we corresponded," said the other.	「まあ、しばらくはやりとりもあったんだがね。
"But after a year or two we lost track of each other.	1、2年するとお互いに消息がつかめなくなってさ。
You see, the West is a pretty big proposition, and I kept hustling around over it pretty lively.	ほら、西部はかなりでかいところだし、おれもあちこちかなり活発に渡り歩いてたからな。
But I know Jimmy will meet me here	だがおれはジミーがおれと会うためにここにくるのがちゃんと分かってるんだ。
if he's alive,	生きてさえいればね。
for he always was the truest, stanchest old chap in the world.	あいつは誰よりも誠実なやつだったんだから。
He'll never forget.	あいつは絶対に忘れっこない。
I came a thousand miles to stand in this door to-night, and it's worth it if my old partner turns up."	このドアの前にくるまでの一千マイルも、あの昔の相棒に会えるんだったら十二分に報われるってもんだよ」
The waiting man pulled out a handsome watch,	待ちつづける男は凝った懐中時計を取りだした。
the lids of it set with small diamonds.	上蓋には小さなダイアモンドがいくつもあしらってある。
"Three minutes to ten," he announced.	「10時3分前。
"It was exactly ten o'clock when we parted here at the restaurant door."	ちょうどその時刻におれたちはあのレストランのドアのところで別れたんだ」
"Did pretty well out West, didn't you?" asked the policeman.	「西部ではかなりうまくいったんでしょうね？」
"You bet!	「そのとおり！
I hope Jimmy has done half as well.	ジミーがおれの半分でもうまくやっててくれればいいんだが。
He was a kind of plodder, though, good fellow as he was.	あいつはこつこつやるタイプだったからな、いいやつではあるんだけど。
I've had to compete with some of the sharpest wits going to get my pile.	おれはおれが積み上げてきたものを横取りしようとする頭の切れる連中と渡りあってこなきゃならんかったんだ。
A man gets in a groove in New York.	ニューヨークにいるやつはみんな型にはまっちまう。
It takes the West to put a razor-edge on him."	触れれば切れるような人間を育てるには西部にかぎるよ」
The policeman twirled his club and took a step or two.	警官はくるくると警棒を回し、少し足を踏み出した。
"I'll be on my way.	「さて、私はもう行きます。
Hope your friend comes around all right.	その友だちがちゃんときてくれるといいですね。
Going to call time on him sharp?"	その時間きっちりまでしか待たないおつもりですか？」
"I should say not!" said the other.	「まさか！
"I'll give him half an hour at least.	少なくとも30分は待ってやるとも。
If Jimmy is alive on earth he'll be here by that time.	ジミーがこの世のどこかで生きてるんだったらそのときまでにはここにきてくれるだろうから。
So long, officer."	じゃあな、お巡りさん」
"Good-night, sir,"	「おやすみなさい」
said the policeman, passing on along his beat, trying doors as he went.	と警官は言い、巡回にもどって、行く先々のドアを確かめつつ去っていった。
There was now a fine, cold drizzle falling, and the wind had risen from its uncertain puffs into a steady blow.	空模様はいまや小雨になり、そっとひと吹きという案配だった風もびゅうびゅうと吹きつけはじめた。
The few foot passengers astir in that quarter hurried dismally and silently along with coat collars turned high and pocketed hands.	その地域に足を伸ばしていた数えるほどの通行人が、憂鬱そうに押し黙り、コートの襟を立てて両手をポケットに突っ込んだまま走っていく。
And in the door of the hardware store the man who had come a thousand miles to fill an appointment, uncertain almost to absurdity, with the friend of his youth, smoked his cigar and waited.	金物屋の戸口では、若き日々の友人との、不確かで、馬鹿げているとさえ言えそうな約束を果たすために千マイルのかなたからやってきた男が、葉巻をふかしながら待ちつづけていた。
About twenty minutes he waited,	男は20分ほど待った。
and then a tall man in a long overcoat, with collar turned up to his ears, hurried across from the opposite side of the street.	するとそこに、ロングコートを着、その襟で耳元まで隠した背の高い男が向かいの通りから駈けてきた。
He went directly to the waiting man.	そして待ちつづける男のもとにまっすぐやってきた。
"Is that you, Bob?"	「ボブか？」
he asked, doubtfully.	と男は疑わしげに尋ねた。
"Is that you, Jimmy Wells?"	「ジミー・ウェルズか？」
cried the man in the door.	戸口にいた男が叫んだ。
"Bless my heart!"	「なんということだ！」
exclaimed the new arrival,	と新来の男が大声を上げた。
grasping both the other's hands with his own.	相手の両手をにぎりしめながら。
"It's Bob, sure as fate.	「ボブだ、ほんとうにボブだ。
I was certain I'd find you here if you were still in existence.	おまえがまだ生きてるんならきっとここで会えると信じていたよ。
Well, well, well!	なんと言ったらいいだろう！
--twenty years is a long time.	――20年ってのは長い時間だった。
The old gone, Bob;	あの場所はなくなっちまったよ、ボブ、
I wish it had lasted, so we could have had another dinner there.	そうでなきゃあ今夜もあそこでディナーにできたんだがなあ。
How has the West treated you, old man?"	おまえ、西部ではどうしてる？」
"Bully;	「最高だね。
it has given me everything I asked it for.	欲しいものはなんだって手に入る。
You've changed lots, Jimmy.	おまえはずいぶん変わったようだな、ジミー。
I never thought you were so tall by two or three inches."	おれより2インチも3インチものっぽだったとは思ってなかったよ」
"Oh, I grew a bit after I was twenty."	「いや、おれは20過ぎから少し背が伸びてね」
"Doing well in New York, Jimmy?"	「ニューヨークではうまくやってるのか、ジミー？」
"Moderately.	「まあまあだな。
I have a position in one of the city departments.	市役所に勤めてるんだ。
Come on, Bob; we'll go around to a place I know of,	行こう、ボブ。いい場所を知ってるんだ。
and have a good long talk about old times."	そこで心行くまで昔のことを話そうぜ」
The two men started up the street, arm in arm.	2人の男は腕を組んで通りを歩いていった。
The man from the West, his egotism enlarged by success, was beginning to outline the history of his career.	西部からきた男は、成功によって肥大したエゴイズムゆえに、かれの経歴のあらましを語りはじめた。
The other, submerged in his overcoat, listened with interest.	相手はオーバーに身を隠すようにして、興味深げに耳を傾けていた。
At the corner stood a drug store, brilliant with electric lights.	角には電灯まばゆいドラッグストアが立っていた。
When they came into this glare each of them turned simultaneously to gaze upon the other's face.	その灯りが2人を照らし出したとき、2人はおたがいの顔を同時に見交わした。
The man from the West stopped suddenly and released his arm.	そのとたん、西部からきた男は立ち止まり、腕をふりはらった。
"You're not Jimmy Wells,"	「おめえ、ジミー・ウェルズじゃねえな」
he snapped.	とかみつくように言った。
"Twenty years is a long time, but not long enough to change a man's nose from a Roman to a pug."	「20年は長い時間だが、人間の鼻を鷲鼻から獅子鼻に変えるほど長くはあるめえ」
"It sometimes changes a good man into a bad one,	「善人を悪人に変えてしまうことはあってもね」
said the tall man.	と背の高い男が言った。
"You've been under arrest for ten minutes, 'Silky' Bob.	「おまえはもう10分前から逮捕されているんだぞ、“シルキー”ボブ。
Chicago thinks you may have dropped over our way and wires us she wants to have a chat with you.	シカゴはうちの管轄におまえが潜りこんだかもしれんと考えてな、おまえに聞いてみたいことがあると電報を打ってきている。
Going quietly, are you?	おとなしくきてくれるな、ん？
That's sensible.	それが分別というものだ。
Now, before we go on to the station here's a note I was asked to hand you.	ところで、駅に行く前にこの手紙を渡しておこう。
You may read it here at the window.	そこの窓のところで読んでみるといい。
It's from Patrolman Wells."	ウェルズ巡査からだ」
The man from the West unfolded the little piece of paper handed him.	西部からきた男は手渡された小さな紙切れを広げた。
His hand was steady when he began to read, but it trembled a little by the time he had finished.	読み始めていたときはしっかりしていた手も、読み終わったときには少し震えていた。
The note was rather short.	手紙はむしろ短かった。
‾"Bob:	『ボブへ。
I was at the appointed place on time.	おれは時間どおり約束の場所に行ってきた。
I was at the appointed place on time.  When you struck the match to light your cigar I saw it was the face of the man wanted in Chicago.	おまえが葉巻に火をつけようとマッチをすったとき、おれはその顔がシカゴで手配されている男の顔だと気づいた。
Somehow I couldn't do it myself,	なんにせよ、おれはおれの手でおまえを捕らえるのが忍びなかった。
so I went around and got a plain clothes man to do the job.	だからおれはその場を去り、仕事を私服刑事に任せたのだ。
JIMMY."‾	ジミーより。』
