THE YELLOW FACE	黄色な顔
Conan Doyle	コナンドイル
[ In publishing these short sketches based upon the numerous cases in which my companion's singular gifts have made us the listeners to, and eventually the actors in, some strange drama, it is only natural that I should dwell rather upon his successes than upon his failures.	私は私の仲間の話をしようとすると、我知らず失敗談よりも成功談が多くなる。
And this not so much for the sake of his reputation	――しかしこれは何も、私の仲間の名声のためにそうするわけではない。
-- for, indeed, it was when he was at his wit's end that his energy and his versatility were most admirable	なぜなら事実において、私の仲間の努力と、多種多様な才能とは真（しん）に称讃すべきものではあったけれども、それでもなお、彼の思案に余るような場合があったからだ。
-- but because where he failed it happened too often that no one else succeeded, and that the tale was left forever without a conclusion.	ただどうかしてそんな場合にぶつかって私の仲間が失敗したような所では、他（た）の者もまた誰一人成功したものはなく、事件は未解決のまま残されるわけである。
Now and again, however, it chanced that even when he erred the truth was still discovered.	けれど時々、ちょっとした機会から、彼がどんな風にしてその真相を誤解したかと云うことが、後から発見されたこともある。
I have notes of some half-dozen cases of the kind,	私はそんな場合を五つ六つ書き止めておいた。
the adventure of the Musgrave Ritual and that which I am about to recount are the two	そのうち今ここですぐお話出来るものが二つある。
which present the strongest features of interest. ]	そしてそれはそれらのうちでも一番面白いものである。
Sherlock Holmes was a man who seldom took exercise for exercise's sake.	シャーロック・ホームズと云う男は、滅多に、身体を鍛えるために運動などをする男ではなかった。
Few men were capable of greater muscular effort, and he was undoubtedly one of the finest boxers of his weight that I have ever seen;	が、彼よりはげしい肉体労働に堪（た）え得る人間はほとんどなかったし、また確かに彼は、彼と同体量の拳闘家としては私の会ったことのある人のうちでは最も優れた拳闘家の一人だった。
but he looked upon aimless bodily exertion as a waste of energy, and he seldom bestirred himself save where there was some professional object to be served.	しかし彼は努力の浪費になるような無益な肉体的労働をちゃんと見分けて、何か職業上の目的のある場合でなくては、決して肉体を使うようなことはなかった。
Then he was absolutely untiring and indefatigable.	だから彼は絶対に疲れると云うことを知らずに、実に精力絶倫であった。
That he should have kept himself in training under such circumstances is remarkable,	その代り彼は不断からいかなる場合に処しても困らないだけの肉体の力を養っていた。
but his diet was usually of the sparest, and his habits were simple to the verge of austerity.	食事は常に出来るだけ貧しいものをとり、厳格に過ぎるくらい簡易な生活振りだった。
Save for the occasional use of cocaine, he had no vices,	だが、時々、コカインをのむこと以外には、何も悪いことはしなかった。
and he only turned to the drug as a protest against the monotony of existence when cases were scanty and the papers uninteresting.	そのコカインも、事件が簡単すぎたり、また新聞がつまらなかったりして退屈でどうにもしようがないような時だけに、気慰めにのむに過ぎないのであった。
One day in early spring he had so far relaxed as to go for a walk with me in the Park,	それは早春のある日のことであったが、彼はノンビリした気持ちで私と公園へ散歩に出かけた。
where the first faint shoots of green were breaking out upon the elms, and the sticky spear-heads of the chestnuts were just beginning to burst into their five-fold leaves.	楡（にれ）の木は若芽を吹き出しかけ、栗の木の頂きには若葉が出はじめていた。
For two hours we rambled about together, in silence for the most part, as befits two men who know each other intimately.	私たちは、特に話さなければならないような話題もなかったので、碌（ろく）に口もきき会わずに二時間近くブラブラした。
It was nearly five before we were back in Baker Street once more.	そして再びべーカー通りに帰って来たのは、もう五時近くであった。
``Beg pardon, sir,''	「壇那さま、お留守にお客さまがお見えになりました」
said our page-boy as he opened the door.	と、彼が入口（いりぐち）の戸をあけると、給仕の子供が云った。
Holmes glanced reproachfully at me.	ホームズは非難するかのように私をジロッと見た。
``So much for afternoon walks!''	「少し散歩が長すぎたな」
said he.	と云って、それから給仕に向って云った。
``Has this gentleman gone, then?''	「それで、そのお客さまは帰っちまったのか？」
``Yes, sir.''	「ええ」
``Didn't you ask him in?''	「中へ這入（はい）ってお待ちするようには言わなかったのかね？」
``Yes, sir, he came in.''	「いえ、中へお通ししたんです」
``How long did he wait?''	「どのくらい待ってたのかね」
``Half an hour, sir.	「三十分ばかり。
He was a very restless gentleman, sir a-walkin' and a-stampin' all the time he was here.	――でも、大変せっかちな壇那でしてね、ここにいらっしゃる間も始終、歩き廻ったり足踏みをしたりしていらっしゃいました。
I was waitin' outside the door, sir, and I could hear him.	私、戸の外でお待ちしておりましたもので、よくそれが分りましたよ。
At last he outs into the passage,	けれどもそのうちにとうとう外へ出て来て、
and he cries,	「帰って来ないようじゃないか」
`Is that man never goin' to come?'	とおっしゃるんです。
Those were his very words, sir.	ですから私は申し上げました。
`You'll only need to wait a little longer,'	「ほんのもう少しお待ちになって下さい」
says I.	って。
`I'll be back before long.'	すると
And with that he ups and he outs, and all I could say wouldn't hold him back.''	それから私、まだいろいろ申上げたんですけれど、でもお引き止め出来ませんでした」
``Well, well, you did your best,''	「よしよし、結構結構」
said Holmes as we walked into our room.	とホームズは云って、私達は部屋の中に這入った。
``It's very annoying, though, Watson.	「こりゃアちょっと厄介（やくかい）だね、ねえワトソン君。
I was badly in need of a case,	どうもよほどむずかしい事件らしいよ。
and this looks, from the man's impatience, as if it were of importance.	訪ねて来たと云う男がイライラしていたと云うことから推察しても、重大な事らしいね。
Hullo! that's not your pipe on the table.	――オヤ、テーブルの上にあるパイプは君のじゃないだろう。
He must have left his behind him.	今来た男が置き忘れていったに違いないな。
A nice old brier with a good long stem of what the tobacconists call amber.	こりゃよく使いこんである。
I wonder how many real amber mouthpieces there are in London?	僕はそう思うんだが、ホン物の琥珀のパイプが、いくつロンドンにあるかね。
Some people think that a fly in it is a sign.	なかには、『琥珀の中の蝿』がホン物のしるしだと思っているものもあるようだけれども
Well, he must have been disturbed in his mind	――しかしそれはそれとしといて、今来た男はよほど気が顛到（てんとう）していたに違いないな。
to leave a pipe behind him which he evidently values highly.''	何しろ大切にしていたに違いないパイプをおき忘れてくくらいなんだから……」
``How do you know that he values it highly?''	「君にはどうしてそのパイプを大切にしてたってことが分るんだい？」
I asked.	と、私はきいた。
``Well,	「そりゃ分るよ。
I should put the original cost of the pipe at seven and sixpence.	そのパイプは買った時は七シルリングくらいしたろう。
Now it has, you see, been twice mended,	けれど君にも分るようにそれから二度修繕してあるね。
once in the wooden stem and once in the amber.	一度は木の所を、一度は琥珀の所を。
Each of these mends, done, as you observe, with silver bands,	――しかもホラご覧の通り両方とも銀で修繕してあるだろう。
must have cost more than the pipe did originally.	だからパイプの値段は買った時より遥かに高くなっているよ。
The man must value the pipe highly when he prefers to patch it up rather than buy a new one with the same money.''	それに人間って奴は、同じ金を払って新しいものを買うより、むしろ修繕したりなんかしたパイプのほうをずっと大切にするものだからね」
``Anything else?''	「それから？」
I asked,	と、私はつづけてきいた。
for Holmes was turning the pipe about in his hand and staring at it in his peculiar pensive way.	ホームズはそのパイプを手の中でいじくりながら、彼独特の考え深そうな目つきでじっと見詰めていた。
He held it up and tapped on it with his long, thin forefinger, as a professor might who was lecturing on a bone.	がやがてそれをつまみ上げると、ちょうど何かの骨について講議をしている大学の教授がよくやるように、細長い食指（しょくし）でその上を軽くたたいて、言葉を続けた。
``Pipes are occasionally of extraordinary interest,''	「パイプと云うものは実際途法もなく趣味のあるものだからね。
``Nothing has more individuality, save perhaps watches and bootlaces.	――まず懐中時計と靴紐（くつひも）とをぬかすとこのくらい個々の特異性を持ってるものはないだろう。
The indications here, however, are neither very marked nor very important.	けれど今の場合は、そんなことはどうでもいいんだ。
The owner is obviously a muscular man, left-handed, with an excellent set of teeth, careless in his habits, and with no need to practise economy.''	――とにかくこのパイプの持主は、体格の立派な男で、左利きで、歯が丈夫で、身なりに一向かまわない、そしてそんなに倹約して暮す必要のない男だってことは確かだね」
My friend threw out the information in a very offhand way, but I saw that he cocked his eye at me to see if I had followed his reasoning.	私の友達はなんでもないような調子でそう云ったが、しかし私には、彼が彼の推理に私が同意したかどうかを見定めるために、じっと私を見詰めるのが分った。
``You think a man must be well-to-do if he smokes a seven-shilling pipe?''	「君は七シルリングのパイプで煙草を吸う男は裕福でなくちゃならないと思うのかね」
said I.	と、私は云った。
``This is Grosvenor mixture at eightpence an ounce,''	「このパイプで吸ってた煙草は一オンス八ペンスするグロスベノウ・ミクスチュアだ」
Holmes answered,	ホームズは答えた。
``As he might get an excellent smoke for half the price, he has no need to practise economy.''	「よし半分の値段の煙草を吸ったとしても、贅沢だ」
``And the other points?''	「なるほど。
``He has been in the habit of lighting his pipe at lamps and gasjets.	「この男は煙草の火をランプやガスでつけてたようだね。
You can see that it is quite charred all down one side.	その片がわがすっかりコゲて［＃「て」は底本では「で」］るのが分るだろう。
Of course a match could not have done that.	マッチじゃこんな風にはならないよ。
Why should a man hold a match to the side of his pipe?	マッチの火じゃパイプのへりは焼けないからね。
But you cannot light it at a lamp without getting the bowl charred.	しかしランプではどうしたって穴をこがさずにはつけられないよ。
And it is all on the right side of the pipe.	しかもこいつは右側がこげている。
From that I gather that he is a left-handed man.	そこで僕はこの男が左利きだと推察したんだ。
You hold your own pipe to the lamp and see how naturally you,	――君のパイプをランプの所へ持ってってみたまえ。
being right-handed, hold the left side to the flame.	右の手でだよ、すると自然にパイプの左側が穴にあたるようになるから。
You might do it once the other way, but not as a constancy.	けれどその反対にすると、それと同じようにゃいかないから。
This has always been held so.	つまりこれを始終やってたんだね。
Then he has bitten through his amber.	――それからこの男は琥珀の所を噛みつぶしている。
It takes a muscular, energetic fellow, and one with a good set of teeth, to do that.	それは体格のいい勢力家（せいりょくか）がよくやるし、また歯の丈夫な人がよくやることだよ。
But if I am not mistaken I hear him upon the stair, so we shall have something more interesting than his pipe to study.''	――オット、奴（やっこ）さんたしかに階段を登って来るらしいぞ、さあこうなるとパイプの詮議立てなんかしているより面白くなるて……」
An instant later our door opened,	と云っているとほどなく、私達の部屋の入口が開かれた。
and a tall young man entered the room.	そして背の高い若い男が這入って来た。
He was well but quietly dressed in a dark gray suit and carried a brown wideawake in his hand.	彼は暗い灰色の品（しな）のよい上品な服を着て、褐色の中折帽（なかおれぼう）を手に持っていた。
I should have put him at about thirty, though he was really some years older.	実際はそれより二三年は年をとっていたのだが、私は卅歳（さんじっさい）ぐらいと見当をつけた。
``I beg your pardon,''	「ごめん下さい」
said he with some embarrassment,	と彼は、まごつきながら云った。
``I suppose I should have knocked.	「ノックしなければなりませんでしたでしょうか？
Yes, of course I should have knocked.	――いえ、そりア無論私はノックすべきでした。
The fact is that I am a little upset, and you must put it all down to that.''	けれど実は私、少しあわてておりましたもので、どうぞ御勘弁下さい」
He passed his hand over his forehead like a man who is half dazed,	彼は目まいした人がするように手で額の汗を拭いた。
and then fell rather than sat down upon a chair.	そして腰かけると云うよりはむしろ倒れるように椅子に腰をおろした。
``I can see that you have not slept for a night or two,''	「あなたは二晩ほどお休みになりませんね」
said Holmes in his easy, genial way.	とホームズは彼独特の気安い愛想（あいそう）のよい調子で云った。
``That tries a man's nerves more than work, and more even than pleasure.	「それが労働よりも歓楽よりも一番からだにこたえますよ。
May I ask how I can help you?''	――何か私で出来ることがあったらご遠慮なくおっしゃって下さい」
``I wanted your advice, sir.	「あなたに相談にのっていただきたいんです。
I don't know what to do,	私は途方に暮ているんです。
and my whole life seems to have gone to pieces.''	私の生涯は滅茶滅茶（めちゃめちゃ）になろうとしているんです」
``You wish to employ me as a consulting detective?''	「あなたは私を探偵顧問にお雇いになりたいんですか？」
``Not that only.	「それだけじゃアありません。
I want your opinion as a judicious man -- as a man of the world.	世界的な人物のあなたに、
I want to know what I ought to do next.	これからどうすべきか云っていただきたいんです。
I hope to God you'll be able to tell me.''	そうしていただければ私はあなたをおがみます」
He spoke in little, sharp, jerky outbursts,	彼は昂奮して口ばたの筋肉をふるわせながら、まるで何かが爆発した時のように鋭い激しい調子でしゃべった。
and it seemed to me that to speak at all was very painful to him, and that his will all through was overriding his inclinations.	それで私は、彼にとってはしゃべることが非常に苦痛なんで、もう彼の理性では彼の感情を制御しきれなくなっているのだ、と云うことが分った。
``It's a very delicate thing,''	それはデリケートな気持ちの問題です」
said he.	と彼は云った。
``One does not like to speak of one's domestic affairs to strangers.	「二人の男と関係した人妻の品行の善悪をきめるってえことは、恐ろしいことです。
It seems dreadful to discuss the conduct of one's wife with two men whom I have never seen before.	しかもその男と私はまだ会ったことがないんです。
It's horrible to have to do it.	それなのにそうしなければならないってことは、恐ろしいことです。
But I've got to the end of my tether,	私はもうどうしていいか分からなくなってしまいました。
and I must have advice.''	私は助けてもらいたいんです」
``My dear	「ねえ、君。
Mr. Grant Munro -- ''	グラント・マンローさん……」
began Holmes.	ホームズは始めた。
Our visitor sprang from his chair.	「エッ？」
``What!''	私達の訪問客は椅子から飛び上（あが）った。
he cried,	そして、
``you know my name?''	「私の名前をご存じなんですか？」
``If you wish to preserve your incognito,''	「だって、あなたは御自分のお名前を匿（か）くしていらっしゃりたいなら、帽子の内側へ名前を書くことをおやめにならなくちゃ、
said Holmes, smiling,	――でなければせめて、話してる相手の人間に、帽子の外側を見せるようにしていらっしゃらなければ駄目ですよ」
``I would suggest that you cease to write your name upon the lining of your hat, or else that you turn the crown towards the person whom you are addressing.	とホームズは笑いながら言った。
I was about to say that my friend and I have listened to a good many strange secrets in this room,	「全くの話、この部屋では、私達はずいぶんたくさんな秘密をききましたよ。
and that we have had the good fortune to bring peace to many troubled souls.	でも幸いなことに、私達はずいぶん大勢の悩んでいる人々に平和をもたらしてあげました。
I trust that we may do as much for you.	ですから、たぶん私は、あなたにもそうして上げることが出来ると信じます。
Might I beg you, as time may prove to be of importance, to furnish me with the facts of your case without further delay?''	けれど、手遅れになるといけませんから、ぐずぐずしないで手取早（てっとりばや）く、正直にあなたの事件をすっかりお話しになってくれませんか」
Our visitor again passed his hand over his forehead, as if he found it bitterly hard.	私達の訪問客はもう一度、辛（つら）い仕事にぶつかったぞと云わんばかりに、額（ひたい）へ手をやった。
From every gesture and expression I could see that he was a reserved, self-contained man,	私は彼のその動作と表情とから、彼は無口で自制力の強い男だと云うことが分かった。
with a dash of pride in his nature, more likely to hide his wounds than to expose them.	そして胸のうちにまだ一抹の自尊心があって、自分の負った傷をかくしたいと思っているらしいことが分った。
Then suddenly, with a fierce gesture of his closed hand, like one who throws reserve to the winds, he began:	しかし彼は手を握りしめて苦しそうな身振りをしたが、やがて急に、束縛から解き放されたようにしゃべり出した。
``The facts are these, Mr. Holmes,''	「事実はこうなんです、ホームズさん」
said he.	彼は云った。
``I am a married man and have been so for three years.	「私は移転して三年になるんですが、
During that time my wife and I have loved each other as fondly and lived as happily as any two that ever were joined.	その間私たちは、大概の新婚夫婦がそうであるように、お互に深く愛し合って、幸福に暮しておりました。
We have not had a difference,	私たちは何一つ違ったところはありませんでした。
not one,	ただの一所（ひとところ）も、
in thought or word or deed.	――思想でも、言葉でも、動作でも。
And now, since last Monday, there has suddenly sprung up a barrier between us,	――ところが、先週の月曜日以来と云うもの、私たちの間には急に隔たりが出来たんです。
and I find that there is something in her life	私は彼女の生活に何物かのあることに気がついたんです。
and in her thoughts of which I know as little as if she were the woman who brushes by me in the street.	そしてまた彼女の心に関しては、街で行き違う見ず知らずの女の心と同じように、何も私は知っていなかったんです。
We are estranged,	――私たちは全く赤の他人になってしまいました。
and I want to know why.	私はその原因が知りたいんです。
``Now there is one thing that I want to impress upon you before I go any further, Mr. Holmes.	――そう、そう、その前にあなたにぜひ記憶しておいていただきたいことがあります、ホームズさん。
Effie loves me.	――エフィは私を愛しております。
Don't let there be any mistake about that.	この点については絶対に間違いはありません。
She loves me with her whole heart and soul,	彼女は彼女の全身を捧げて私を愛しております。
and never more than now.	しかも今ほど愛していたことはないでしょう。
I know it.	私はそれを知りました。
I feel it.	私はそれを感じます。
I don't want to argue about that.	――私はその点については議論をしたくありません。
A man can tell easily enough when a woman loves him.	男と云うものは女が自分を愛してくれている時には、容易にそれを話すことが出来るものです。
But there's this secret between us,	――しかし私たちの間には秘密があるんです。
and we can never be the same until it is cleared.''	私にはそれを拭（ぬぐ）わずにほうっておくことは出来ません」
``Kindly let me have the facts, Mr. Munro,''	「どうもまだはっきりしないんですが、マンローさん」
said Holmes with some impatience.	と、ホームズは少しイライラして云った。
``I'll tell you what I know about Effie's history.	「エフィの前身について申上げましょう。
She was a widow when I met her first,	私が初めてエフィに会った時、彼女は未亡人だったんです。
though quite young	廿五（にじゅうご）になったばかりで、
-- only twenty-five.	――まだ本当に若かったんですけれど。
Her name then was Mrs. Hebron.	その頃、彼女はヘブロン夫人と云っていました。
She went out to America when she was young and lived in the town of Atlanta, where she married this Hebron, who was a lawyer with a good practice.	彼女は若い時、アメリカへいってアトランタの町に住んでいたのですが、そこで当時相当にやっていた弁護士のヘブロンと結婚したんです。
They had one child,	彼等は子供が一人ありました。
but the yellow fever broke out badly in the place, and both husband and child died of it.	しかし黄疸（おうだん）がはやって、子供も夫もそれで死んでしまいました。
I have seen his death certificate.	私は彼女の夫の死亡証明書を見たことがあります。
This sickened her of America, and she came back to live with a maiden aunt at Pinner, in Middlesex.	――そんなわけで彼女はアメリカがすっかり嫌になって、バイナーにいる独り者の叔母の所へ帰って来たんです。
I may mention that her husband had left her comfortably off,	――彼女の夫は彼女に生活して行けるだけのものは残していってくれました。
and that she had a capital of about four thousand five hundred pounds, which had been so well invested by him that it returned an average of seven per cent.	ですから彼女は年七分の利に廻る四千五百磅（ポンド）の株券を持っていました。
She had only been six months at Pinner when I met her;	――私が彼女に会ったのは、彼女がバイナーに来てようやく六ヶ月たったばかりの頃でした。
we fell in love with each other, and we married a few weeks afterwards.	そうして私たちはお互に恋し合い、数週間後に結婚したんです。
``I am a hop merchant myself,	――ところで私自身はホップの卸商（おろししょう）です。
and as I have an income of seven or eight hundred,	私は年に七八百磅（ポンド）の収入がありますから、私たちは別に不自由はしておりません。
we found ourselves comfortably off and took a nice eighty-pound-a-year villa at Norbury.	それに私はノーブリーに年に八磅（ポンド）あがるちょっとした別荘を持っております。
Our little place was very countrified, considering that it is so close to town.	――私たちの住んでいる所は都会に近い割にしては、実に田舎らしい所です。
We had an inn and two houses a little above us, and a single cottage at the other side of the field which faces us, and except those there were no houses until you got halfway to the station.	家（うち）のすぐ近くに宿屋が一軒と人家（じんか）が二軒と、それから広っ場（ぱ）の向う側に小屋が一つあるきりで、あとは停車場（ていしゃば）へ行くまで半道（はんみち）もの間家（うち）一軒ありません。
My business took me into town at certain seasons,	――私は商売で定（きま）った期間だけ町に行きます。
but in summer I had less to do,	しかし夏の間は行きません。
and then in our country home my wife and I were just as happy as could be wished.	――こんな風にして、私たちはこの田舎家（いなかや）で、思う存分幸福に暮していたんです。
I tell you that there never was a shadow between us until this accursed affair began.	全く、この呪うべき事件が始まるまで、私たちの間には何の影もさしたことはなかったのです。
``There's one thing I ought to tell you before I go further.	――それに、ここでもう一つあなたに申上げておかなくてはならないことがあります。
When we married, my wife made over all her property to me	それは私たちが結婚した時、彼女は彼女の財産を全部私名義にしてしまったことです。
-- rather against my will,	――私はむしろそれに反対したんです。
for I saw how awkward it would be if my business affairs went wrong.	と云うのは、もし私が商業上で失敗したら、困ったことになりますからね。
However, she would have it so, and it was done.	けれど彼女はきかないでそうしちまったんです。
Well,	――そうです。
about six weeks ago	ちょうど六週間ばかり前のことでありました。
she came to me.	彼女は私の所へやって来て
```Jack,'	「ねえ、ジャック」
said she,	と申すのです。
`when you took my money you said that if ever I wanted any I was to ask you for it.'	「いつか私の財産をあなたの名にした時、あなたはそうおっしゃったわね、もしお前がどれだけでも入要（いりよう）になったら、そう云えって……」
```Certainly'	「そう云ったとも、あれは全部お前のものだもの」
said I.	と私は答えました。
'' `Well,'	「そう？
said she,	――じア、私、百磅（ポンド）入要なの」
`I want a hundred pounds.'	と彼女は申しました。
``I was a bit staggered at this,	私はその金額をきいてちょっと考えたんです。
for I had imagined it was simply a new dress or something of the kind that she was after.	だって、たぶん着物か何かそんなものが買いたいんだろうと思ってたからです。
```What on earth for?'	で、私は訊ねました。
I asked.	「何に使うの？」
'' `Oh,'	「まあ。
said she in her playful way,	あなたは、俺はお前の銀行家（ぎんこうか）だってそうおっしゃったじゃアないの。
`you said that you were only my banker, and bankers never ask questions, you know.'	――銀行家って、何（なん）にお金を使うかなんて訊ねるものじゃないのよ、分かったでしょう」
```If you really mean it, of course you shall have the money,'	「本当に必要なら、無論あげるよ」
said I.	私は申しました。
```Oh, yes, I really mean it.'	「ええ、本当に入るのよ」
'' `And you won't tell me what you want it for?'	「それなら、何（なん）に使うのか云わなくちゃいけないね」
```Some day, perhaps,	「いつかは申上げるわ、たぶん。
but not just at present, Jack.'	でも今は云えないのよ、ジャック」
``So I had to be content with that,	こんなわけで私は納得させられてしまいました。
though it was the first time that there had ever been any secret between us.	これがつまり、私達の間に秘密が這（は）いり込んで来たそもそもの初めなんです。
I gave her a check,	――私は彼女に小切手を書いてやりました。
and I never thought any more of the matter.	そしてそのままそんな事は忘れていました。
It may have nothing to do with what came afterwards,	後になって何か事件さえ起きなければ、それでなんでもなかったのです。
but I thought it only right to mention it.	けれど私はそれを思い出させられるような事件にぶつかってしまったんです。
``Well,	それは、
I told you just now that there is a cottage not far from our house.	――さきほど私は、私たちの家のじき近くに離れ家（や）が一つあると申しましたね。
There is just a field between us,	――その離れ家と私たちの家（うち）との間には、広っ場があるんです。
